player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rk_rec,yds_rec,tgt_rec,day_rec,g_number_rec,date_rec,age_rec,team_rec,home_away_rec,opp_rec,result_rec,tgt_2_rec,rec_rec,yds_2_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,x1_rec,pos_rec,draft_rec,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,date_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Christian McCaffrey,RB,NO,15.856591642492656,36,0.4404608789581293,3,CAR,vs. NO,1 out of 5 stars,A+,17.6,199,7,4,Sun,3,2022-09-25,26-110,CAR,home,NOR,W 22-14,4,2,7,3.5,0,50,1.8,0,RB,1-8,4,108,25,NA,3,2022-09-25,26-110,CAR,home,NOR,W 22-14,25,108,4.3,0,5,NA,1-8,12.5,14.2
Kenneth Gainwell,RB,WAS,6.56540461090033,13,0.50503112391541,3,PHI,at WAS,2 out of 5 stars,F,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,3,NA,3,2022-09-25,23-195,PHI,away,WAS,W 24-8,3,6,2,0,0,NA,5-150,0.6000000000000001,6.2
Kareem Hunt,RB,PIT,13.604691959063969,16,0.850293247441498,3,CLE,vs. PIT,3 out of 5 stars,C+,10.4,156,14,4,Thu,3,2022-09-22,27-047,CLE,home,PIT,W 29-17,4,3,14,4.7,0,75,3.5,1,RB,3-86,27,47,12,NA,3,2022-09-22,27-047,CLE,home,PIT,W 29-17,12,47,3.9,0,3,NA,3-86,7.6000000000000005,12.3
Boston Scott,RB,WAS,4.747905661587955,13,0.36522351242984274,3,PHI,at WAS,2 out of 5 stars,F,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,2,NA,3,2022-09-25,27-151,PHI,away,WAS,W 24-8,2,0,0,0,0,NA,6-201,0,4.8
J D McKissic,RB,PHI,9.476880927698854,15,0.6317920618465903,3,WAS,vs. PHI,4 out of 5 stars,D,7.6,91,32,9,Sun,3,2022-09-25,29-041,WAS,home,PHI,L 8-24,9,6,32,5.3,0,66.7,3.6,3,RB,0,81,8,3,NA,3,2022-09-25,29-041,WAS,home,PHI,L 8-24,3,8,2.7,0,0,NA,0,7,8
Brandon Bolden,RB,TEN,9.603648468152672,12,0.8003040390127226,3,LV,at TEN,2 out of 5 stars,F,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,17,3,NA,3,2022-09-25,32-242,LVR,away,TEN,L 22-24,3,17,5.7,0,1,NA,0,1.7000000000000002,9.8
Zack Moss,RB,MIA,5.936658960957596,11,0.5396962691779632,3,BUF,at MIA,3 out of 5 stars,F,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,46,4,NA,3,2022-09-25,24-284,BUF,away,MIA,L 19-21,4,46,11.5,0,1,NA,3-86,4.6000000000000005,3.2
Rex Burkhead,RB,CHI,7.526426460016099,11,0.6842205872741908,3,HOU,at CHI,3 out of 5 stars,F,6.4,132,21,5,Sun,3,2022-09-25,32-085,HOU,away,CHI,L 20-23,5,4,21,5.3,0,80,4.2,0,RB,6-190,75,9,3,NA,3,2022-09-25,32-085,HOU,away,CHI,L 20-23,3,9,3,0,0,NA,6-190,5,5.7
Nyheim Hines,RB,KC,6.591010029292251,13,0.5070007714840193,3,IND,vs. KC,3 out of 5 stars,D+,7.7,120,23,6,Sun,3,2022-09-25,25-317,IND,home,KAN,W 20-17,6,5,23,4.6,0,83.3,3.8,1,RB,4-104,84,7,3,NA,3,2022-09-25,25-317,IND,home,KAN,W 20-17,3,7,2.3,0,1,NA,4-104,5.500000000000001,7.1
Khalil Herbert,RB,HOU,7.056581915392904,15,0.47043879435952696,3,CHI,vs. HOU,4 out of 5 stars,D,7.3,170,12,2,Sun,3,2022-09-25,24-157,CHI,home,HOU,W 23-20,2,2,12,6,0,100,6,0,RB,6-217,1,157,20,NA,3,2022-09-25,24-157,CHI,home,HOU,W 23-20,20,157,7.9,2,8,NA,6-217,29.900000000000002,7.7
Dontrell Hilliard,RB,LV,18.452028432158297,13,1.419386802473715,3,TEN,vs. LV,3 out of 5 stars,F,3.3,100,30,1,Sun,3,2022-09-25,27-211,TEN,home,LVR,W 24-22,1,1,30,30,0,100,30,1,RB,0,66,14,2,NA,3,2022-09-25,27-211,TEN,home,LVR,W 24-22,2,14,7,0,0,NA,0,4.9,20.4
Jerick McKinnon,RB,IND,4.6269082070117165,12,0.385575683917643,3,KC,at IND,3 out of 5 stars,F,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,20,7,NA,3,2022-09-25,30-145,KAN,away,IND,L 17-20,7,20,2.9,0,0,NA,3-96,2,7.5
Eno Benjamin,RB,LAR,5.113858075778012,12,0.4261548396481677,3,ARI,vs. LAR,2 out of 5 stars,F,5.1,194,7,4,Sun,3,2022-09-25,23-165,ARI,home,LAR,L 12-20,4,2,7,3.5,0,50,1.8,0,RB,7-222,65,16,5,NA,3,2022-09-25,23-165,ARI,home,LAR,L 12-20,5,16,3.2,0,1,NA,7-222,3.3000000000000003,7.1
Breece Hall,RB,CIN,4.1348672367236725,14,0.2953476597659766,3,NYJ,vs. CIN,3 out of 5 stars,C,9,53,53,11,Sun,3,2022-09-25,21-117,NYJ,home,CIN,L 12-27,11,6,53,8.8,0,54.5,4.8,3,RB,2-36,36,39,8,NA,3,2022-09-25,21-117,NYJ,home,CIN,L 12-27,8,39,4.9,0,2,NA,2-36,12.200000000000001,9.8
Dameon Pierce,RB,CHI,4.918450081957163,15,0.3278966721304775,3,HOU,at CHI,3 out of 5 stars,C+,10.6,133,21,2,Sun,3,2022-09-25,22-218,HOU,away,CHI,L 20-23,2,2,21,10.5,0,100,10.5,1,RB,4-107,12,80,20,NA,3,2022-09-25,22-218,HOU,away,CHI,L 20-23,20,80,4,1,5,NA,4-107,17.1,6.3
Raheem Mostert,RB,BUF,2.7764916888431106,15,0.18509944592287403,3,MIA,vs. BUF,3 out of 5 stars,C-,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,8,NA,3,2022-09-25,30-169,MIA,home,BUF,W 21-19,8,11,1.4,0,2,NA,0,1.1,6.6
Isiah Pacheco,RB,IND,2.5153846153846153,12,0.20961538461538465,3,KC,at IND,3 out of 5 stars,F,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,9,3,NA,3,2022-09-25,22-207,KAN,away,IND,L 17-20,3,9,3,0,0,NA,7-251,0.9,6.4
Cam Akers,RB,ARI,2.294066153279166,15,0.15293774355194442,3,LAR,at ARI,2 out of 5 stars,C,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,12,NA,3,2022-09-25,23-095,LAR,away,ARI,W 20-12,12,61,5.1,1,3,NA,2-52,12.100000000000001,3.6
Tyler Allgeier,RB,SEA,1.5025773195876289,11,0.13659793814432988,3,ATL,at SEA,3 out of 5 stars,F,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,6,NA,3,2022-09-25,22-163,ATL,away,SEA,W 27-23,6,25,4.2,0,1,NA,5-151,2.5,3
Justice Hill,RB,NE,0.8513060569992124,11,0.07739145972720113,3,BAL,at NE,3 out of 5 stars,F,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,6,NA,3,2022-09-25,24-315,BAL,away,NWE,W 37-26,6,60,10,0,2,NA,4-113,6,1.8
J K Dobbins,RB,NE,0,17,0,3,BAL,at NE,3 out of 5 stars,D,5.6,145,17,2,Sun,3,2022-09-25,23-282,BAL,away,NWE,W 37-26,2,2,17,8.5,0,100,8.5,1,RB,2-55,50,23,7,NA,3,2022-09-25,23-282,BAL,away,NWE,W 37-26,7,23,3.3,0,0,NA,2-55,5,0
Mark Ingram II,RB,CAR,0,17,0,3,NO,at CAR,3 out of 5 stars,D-,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Travis Etienne Jr,RB,LAC,0,14,0,3,JAC,at LAC,4 out of 5 stars,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
Darrell Henderson Jr,RB,ARI,0,20,0,3,LAR,at ARI,2 out of 5 stars,C+,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2
Jeff Wilson Jr,RB,DEN,0,13,0,3,SF,at DEN,3 out of 5 stars,B-,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
Melvin Gordon III,RB,SF,0,15,0,3,DEN,vs. SF,2 out of 5 stars,C-,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Mark Andrews,TE,NE,13.790461082787536,26,0.5304023493379822,3,BAL,at NE,3 out of 5 stars,A,13.7,16,89,13,Sun,3,2022-09-25,27-019,BAL,away,NWE,W 37-26,13,8,89,11.1,2,61.5,6.8,6,TE,3-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,14.4
Cooper Kupp,WR,ARI,25.045304976282445,40,0.6261326244070611,3,LAR,at ARI,3 out of 5 stars,A+,19.1,66,44,6,Sun,3,2022-09-25,29-102,LAR,away,ARI,W 20-12,6,4,44,11,0,66.7,7.3,3,WR,3-69,57,20,1,NA,3,2022-09-25,29-102,LAR,away,ARI,W 20-12,1,20,20,1,1,NA,3-69,14.4,25.8
Travis Kelce,TE,IND,12.61717389448503,33,0.3823386028631827,3,KC,at IND,3 out of 5 stars,A+,14.1,49,58,8,Sun,3,2022-09-25,32-355,KAN,away,IND,L 17-20,8,4,58,14.5,1,50,7.3,3,TE,3-63,105,1,1,NA,3,2022-09-25,32-355,KAN,away,IND,L 17-20,1,1,1,0,1,NA,3-63,13.9,14.9
Deebo Samuel,WR,DEN,7.842284946393525,22,0.356467497563342,3,SF,at DEN,2 out of 5 stars,A,13.4,34,73,8,Sun,3,2022-09-25,26-253,SFO,away,DEN,L 10-11,8,5,73,14.6,0,62.5,9.1,3,WR,2-36,92,6,5,NA,3,2022-09-25,26-253,SFO,away,DEN,L 10-11,5,6,1.2,0,0,NA,2-36,10.4,11.9
Dalton Schultz,TE,NYG,7.068258390609197,15,0.4712172260406131,3,DAL,at NYG,2 out of 5 stars,F,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
Ja Marr Chase,WR,NYJ,15.22645212009644,32,0.47582662875301374,3,CIN,at NYJ,4 out of 5 stars,A+,15.8,101,29,10,Sun,3,2022-09-25,22-208,CIN,away,NYJ,W 27-12,10,6,29,4.8,1,60,2.9,2,WR,1-5,123,-2,2,NA,3,2022-09-25,22-208,CIN,away,NYJ,W 27-12,2,-2,-1,0,0,NA,1-5,11.7,16.1
