player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rate_pas,att_pas,day_pas,g_number_pas,date_pas,age_pas,team_pas,home_away_pas,opp_pas,result_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_2_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,pos_pas,draft_pas,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Josh Allen,QB,BAL,27.47207976022679,40,0.6868019940056699,4,BUF,at BAL,4 out of 5 stars,A+,25.4,68.4,36,Sun,4,NA,26-134,BUF,away,BAL,W 23-20,19,36,17,52.8,213,1,1,0,2.8,2.8,68.4,1,12,2.7,5.9,5.22,4.76,11.2,QB,1-7,19,70,11,Sun,4,26-134,BUF,away,BAL,W 23-20,11,70,6.4,1,5,QB,1-7,24.52,30
Justin Herbert,QB,HOU,17.102054033646063,32,0.5344391885514395,4,LAC,at HOU,4 out of 5 stars,B+,18.7,113.2,39,Sun,4,NA,24-206,LAC,away,HOU,W 34-24,27,39,12,69.2,340,2,0,0,5.1,0,113.2,1,2,2.5,8.7,9.74,9.45,12.6,QB,1-6,123,-5,4,Sun,4,24-206,LAC,away,HOU,W 34-24,4,-5,-1.3,0,0,QB,1-6,21.1,20.4
Tom Brady,QB,KC,16.64173074162679,28,0.5943475264866711,4,TB,vs. KC,3 out of 5 stars,B,17.6,114.7,52,Sun,4,NA,45-060,TAM,home,KAN,L 31-41,39,52,13,75,385,3,0,0,5.8,0,114.7,1,12,1.89,7.4,8.56,8.17,9.9,QB,6-199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,11.8
Aaron Rodgers,QB,NE,14.629425218568864,26,0.562670200714187,4,GB,vs. NE,2 out of 5 stars,C+,17.2,89.1,35,Sun,4,NA,38-304,GNB,home,NWE,W 27-24 (OT),21,35,14,60,251,2,1,1,5.7,2.9,89.1,1,7,2.78,7.2,7.03,6.64,12,QB,1-24,109,1,1,Sun,4,38-304,GNB,home,NWE,W 27-24 (OT),1,1,1,0,0,QB,1-24,17.14,12.7
Matthew Stafford,QB,SF,11.893956479394296,26,0.4574598645920883,4,LAR,at SF,3 out of 5 stars,C,16.6,71,48,Mon,4,NA,34-238,LAR,away,SFO,L 9-24,32,48,16,66.7,254,0,1,1,0,2.1,71,7,54,12.73,5.3,4.35,2.82,7.9,QB,1-1,90,6,2,Mon,4,34-238,LAR,away,SFO,L 9-24,2,6,3,0,0,QB,1-1,9.76,13.9
Joe Burrow,QB,MIA,18.6873499784235,32,0.5839796868257344,4,CIN,vs. MIA,3 out of 5 stars,A,21.5,115.9,31,Thu,4,NA,25-293,CIN,home,MIA,W 27-15,20,31,11,64.5,287,2,0,0,6.5,0,115.9,1,6,3.13,9.3,10.55,10.03,14.4,QB,1-1,85,6,5,Thu,4,25-293,CIN,home,MIA,W 27-15,5,6,1.2,0,0,QB,1-1,20.08,20.5
Jalen Hurts,QB,JAX,22.45581305881358,37,0.606913866454421,4,PHI,vs. JAC,4 out of 5 stars,A,24.7,72.7,25,Sun,4,NA,24-056,PHI,home,JAX,W 29-21,16,25,9,64,204,0,1,1,0,4,72.7,2,13,7.41,8.2,6.36,5.41,12.8,QB,2-53,42,38,16,Sun,4,24-056,PHI,home,JAX,W 29-21,16,38,2.4,1,4,QB,2-53,16.96,28.8
Kyler Murray,QB,CAR,17.577880518717517,33,0.532663046021743,4,ARI,at CAR,4 out of 5 stars,B+,19.2,96.7,32,Sun,4,NA,25-056,ARI,away,CAR,W 26-16,23,32,9,71.9,207,2,1,1,6.3,3.1,96.7,1,1,3.03,6.5,6.31,6.09,9,QB,1-1,56,26,12,Sun,4,25-056,ARI,away,CAR,W 26-16,12,26,2.2,1,3,QB,1-1,23.88,20.3
Kirk Cousins,QB,NO,13.73609128223977,29,0.4736583200772334,4,MIN,at NO,2 out of 5 stars,B,17.9,84.6,38,Sun,4,NA,34-044,MIN,away,NOR,W 28-25,25,38,13,65.8,273,1,1,0,2.6,2.6,84.6,3,23,7.32,7.2,6.53,5.49,10.9,QB,4-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,16.4
Ryan Tannehill,QB,IND,15.477400253553848,20,0.7738700126776924,4,TEN,at IND,4 out of 5 stars,D-,15.4,125.6,21,Sun,4,NA,34-067,TEN,away,IND,W 24-17,17,21,4,81,137,2,0,0,9.5,0,125.6,3,21,12.5,6.5,8.43,6.5,8.1,QB,1-8,81,9,5,Sun,4,34-067,TEN,away,IND,W 24-17,5,9,1.8,0,1,QB,1-8,14.38,14
