defense,TEAM,OPP,MATCHUP,START/SIT,proj_points,ID_yah,First Name_yah,Last Name_yah,ID + Name_yah,Position_yah,Team_yah,Opponent_yah,Game_yah,Time_yah,Salary_yah,FPPG_yah,Injury Status_yah,Starting_yah
Las Vegas Raiders,LV,at PIT,3 out of 5 stars,D-,6.1,nfl.t.13$nfl.g.2448939,Las Vegas,Raiders,nfl.t.13$nfl.g.2448939 - Las Vegas Raiders,DEF,LV,PIT,LV@PIT,8:15PM EST,11,5.1,NA,NA
Houston Texans,HOU,at TEN,3 out of 5 stars,F,6,nfl.t.34$nfl.g.2448925,Houston,Texans,nfl.t.34$nfl.g.2448925 - Houston Texans,DEF,HOU,TEN,HOU@TEN,1:00PM EST,13,5.6,NA,NA
New York Giants,NYG,at MIN,3 out of 5 stars,F,5.8,nfl.t.19$nfl.g.2448917,New York,Giants,nfl.t.19$nfl.g.2448917 - New York Giants,DEF,NYG,MIN,NYG@MIN,1:00PM EST,11,6.1,NA,NA
Miami Dolphins,MIA,vs. GB,3 out of 5 stars,F,5.8,nfl.t.15$nfl.g.2448945,Miami,Dolphins,nfl.t.15$nfl.g.2448945 - Miami Dolphins,DEF,MIA,GB,GB@MIA,1:00PM EST,14,5.9,NA,NA
Green Bay Packers,GB,at MIA,2 out of 5 stars,F,5.7,nfl.t.9$nfl.g.2448945,Green Bay,Packers,nfl.t.9$nfl.g.2448945 - Green Bay Packers,DEF,GB,MIA,GB@MIA,1:00PM EST,10,5.8,NA,NA
Carolina Panthers,CAR,vs. DET,1 out of 5 stars,F,5.7,nfl.t.29$nfl.g.2448901,Carolina,Panthers,nfl.t.29$nfl.g.2448901 - Carolina Panthers,DEF,CAR,DET,DET@CAR,1:00PM EST,15,6.6,NA,NA
Arizona Cardinals,ARI,vs. TB,2 out of 5 stars,F,5.7,nfl.t.22$nfl.g.2448951,Arizona,Cardinals,nfl.t.22$nfl.g.2448951 - Arizona Cardinals,DEF,ARI,TB,TB@ARI,8:20PM EST,14,6.7,NA,NA
Indianapolis Colts,IND,vs. LAC,3 out of 5 stars,F,5.6,nfl.t.11$nfl.g.2448957,Indianapolis,Colts,nfl.t.11$nfl.g.2448957 - Indianapolis Colts,DEF,IND,LAC,LAC@IND,8:15PM EST,11,6.6,NA,NA
Atlanta Falcons,ATL,at BAL,3 out of 5 stars,F,5.6,nfl.t.1$nfl.g.2448896,Atlanta,Falcons,nfl.t.1$nfl.g.2448896 - Atlanta Falcons,DEF,ATL,BAL,ATL@BAL,1:00PM EST,10,5.1,NA,NA
Chicago Bears,CHI,vs. BUF,3 out of 5 stars,F,5.3,nfl.t.3$nfl.g.2448904,Chicago,Bears,nfl.t.3$nfl.g.2448904 - Chicago Bears,DEF,CHI,BUF,BUF@CHI,1:00PM EST,10,3.9,NA,NA
Seattle Seahawks,SEA,at KC,1 out of 5 stars,F,4.9,nfl.t.26$nfl.g.2448914,Seattle,Seahawks,nfl.t.26$nfl.g.2448914 - Seattle Seahawks,DEF,SEA,KC,SEA@KC,1:00PM EST,13,6.5,NA,NA
