,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
51,Mike Evans,TAM,29,WR,1,1,7,5,71,14.2,1,5,20,5,71,71.4%,10.1,,,,0,,,,,5,14.2,71,1,0
52,Sterling Shepard,NYG,29,WR,1,0,4,2,71,35.5,1,1,65,2,71,50.0%,17.8,,,,0,,,,,2,35.5,71,1,0
53,Rex Burkhead,HOU,32,RB,1,0,8,5,30,6,0,1,8,5,30,62.5%,3.8,14,40,0,1,8,2.9,40,14,19,3.7,70,0,0
54,Kareem Hunt,CLE,27,RB,1,0,4,4,24,6,1,2,24,4,24,100.0%,6,11,46,1,3,24,4.2,46,11,15,4.7,70,2,0
55,Dontrell Hilliard,TEN,27,RB,1,0,4,3,61,20.3,2,3,31,3,61,75.0%,15.3,2,8,0,0,5,4,8,2,5,13.8,69,2,0
56,James Robinson,JAX,24,RB,1,1,2,1,3,3,1,1,3,1,3,50.0%,1.5,11,66,1,3,22,6,66,11,12,5.8,69,2,0
57,Noah Brown,DAL,26,WR,1,1,9,5,68,13.6,0,4,22,5,68,55.6%,7.6,,,,0,,,,,5,13.6,68,0,0
58,Isiah Pacheco,KAN,22,RB,2,0,0,0,0,,0,0,0,0,0,0.0%,,7,34,0.5,2,22,4.9,34,7,7,4.9,34,1,0.5
59,Rashaad Penny,SEA,26,RB,1,1,3,2,7,3.5,0,1,4,2,7,66.7%,2.3,12,60,0,2,26,5,60,12,14,4.8,67,0,1
60,Keenan Allen,LAC,30,WR,1,1,4,4,66,16.5,0,2,42,4,66,100.0%,16.5,,,,0,,,,,4,16.5,66,0,0
61,Kyle Philips,TEN,23,WR,1,0,9,6,66,11,0,3,21,6,66,66.7%,7.3,,,,0,,,,,6,11,66,0,1
62,Deebo Samuel,SFO,26,WR,1,1,7,2,14,7,0,0,8,2,14,28.6%,2,8,52,1,3,27,6.5,52,8,10,6.6,66,1,1
63,Chase Edmonds,MIA,26,RB,1,1,4,4,40,10,0,3,15,4,40,100.0%,10,12,25,0,0,7,2.1,25,12,16,4.1,65,0,0
64,Travis Etienne,JAX,23,RB,1,0,4,2,18,9,0,1,23,2,18,50.0%,4.5,4,47,0,2,27,11.8,47,4,6,10.8,65,0,1
65,Zay Jones,JAX,27,WR,1,1,9,6,65,10.8,0,4,18,6,65,66.7%,7.2,,,,0,,,,,6,10.8,65,0,0
66,Jerick McKinnon,KAN,30,RB,2,0,3,2.5,15.5,6.2,0.5,1,18,2.5,15.5,83.3%,5.2,4,17,0,0.5,18,4.3,17,4,6.5,5,32.5,1,0
67,Amon-Ra St. Brown,DET,23,WR,1,1,12,8,64,8,1,3,29,8,64,66.7%,5.3,,,,0,,,,,8,8,64,1,0
68,Greg Dortch,ARI,24,WR,1,1,9,7,63,9,0,3,24,7,63,77.8%,7,,,,0,,,,,7,9,63,0,0
69,Jauan Jennings,SFO,25,WR,1,1,6,4,62,15.5,0,2,44,4,62,66.7%,10.3,,,,0,,,,,4,15.5,62,0,0
