Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,games,ex_ppd,home_away
David Montgomery,RB,CHI,ATL,8.952452301724446,18,2.6000406504065037,26.607884465261513,0,38.366435299950425,0.22916666666666669,0.11,9,0.4973584612069136,Away
AJ Dillon,RB,GB,TEN,5.713240920765867,13,1.6665929203539824,10.90189158794422,0,35.49755301794453,0.07,0.09,8.75,0.4394800708281436,Home
Michael Carter,RB,NYJ,NE,8.337426710611346,15,2.6476190476190475,21.068356164383562,0,37.443491379310345,0.2304054054054054,0.11,8.5,0.5558284473740898,Away
Tyler Allgeier,RB,ATL,CHI,7.677817353880979,16,1.1433566433566433,9.958335459183672,0.10541666666666667,46.378054862842895,0.13999999999999999,0,7.75,0.4798635846175612,Home
Eno Benjamin,RB,HOU,ARI,9.289075413179432,11,2.6588235294117646,20.600802407221664,0,31.177652259332024,0.4636363636363636,0,8.25,0.8444614011981302,Home
Ezekiel Elliott,RB,DAL,MIN,10.231230723593992,16,0.975421052631579,5.309806143001007,0,59.467199108469536,0.5443032786885246,0,7,0.6394519202246245,Away
Melvin Gordon III,RB,DEN,LV,8.017761631811679,15,2.465427135678392,21.604293381037564,0,35.364044401544405,0.3280357142857143,0.44,8,0.5345174421207786,Home
James Robinson,RB,NYJ,NE,8.333329965244278,14,1.1619047619047618,5.479705479452054,0.24180180180180177,45.911637931034484,0.2304054054054054,0.11,8,0.5952378546603055,Away
James Conner,RB,ARI,SF,9.462890446335889,16,2.806082089552239,18.876133272892112,0,38.865694076038906,0.4276111111111111,0.14,7,0.5914306528959931,Home
D Onta Foreman,RB,CAR,BAL,6.751715174373892,18,0.5048780487804878,3.0859818388195235,0,37.906779661016955,0.4,0,8.25,0.37509528746521625,Away
Clyde Edwards Helaire,RB,KC,LAC,9.90504255812055,12,1.6676470588235293,14.000892003822875,0.2504676258992806,38.21245421245422,0.39117977528089887,0,8.25,0.8254202131767125,Away
Kareem Hunt,RB,CLE,BUF,7.614664495297671,15,2.30621359223301,13.875932749884845,0.11679775280898877,29.49357682619647,0.23730337078651687,0,6.75,0.5076442996865114,Away
Cordarrelle Patterson,RB,ATL,CHI,13.972158873256241,22,1.1433566433566433,7.465880102040816,0,63.15710723192019,1.0563636363636362,0,5.75,0.6350981306025564,Home
D Andre Swift,RB,DET,NYG,11.090252018712375,16,2.6977570093457945,23.736536868268434,0.27467065868263474,42.752696456086284,0.2407377049180328,0,5.5,0.6931407511695235,Away
Kenyan Drake,RB,BAL,CAR,9.517507496006399,20,1.4711797752808988,7.056477516059957,0.1250561797752809,44.879327781082694,0.473,0,6.25,0.47587537480031994,Home
Darrell Henderson Jr,RB,LAR,NO,8.742896938466991,16,1.6864024390243901,10.807665424044735,0,44.327753303964755,0.3976923076923077,0,8.25,0.546431058654187,Away
Damien Harris,RB,NE,NYJ,8.392844143491574,14,1.616865671641791,6.683517513566848,0,41.941595563139934,0.45365,0,6.75,0.5994888673922553,Home
Jerick McKinnon,RB,KC,LAC,5.323501841303479,14,2.4529411764705884,19.667919719655945,0.08348920863309353,16.293040293040292,0,0,6.75,0.380250131521677,Away
Caleb Huntley,RB,ATL,CHI,4.635270913625029,14,0,0,0,39.025436408977555,0.16545454545454547,0.13,6,0.33109077954464494,Home
Jaylen Warren,RB,PIT,CIN,4.188028466327986,11,1.5123175965665234,14.406519558676028,0,22.112177121771218,0,0.11,6.75,0.3807298605752715,Home
Brian Robinson Jr,RB,WAS,HOU,10.44138369024185,17,0.6195205479452055,1.1733160132262634,0,66.48291814946619,0.561,0,5.5,0.6141990406024618,Away
Isiah Pacheco,RB,KC,LAC,4.021655065302602,18,0.2911764705882353,1.200076457470532,0,36.336996336996336,0.13039325842696628,0.33,7.5,0.22342528140570014,Away
Dontrell Hilliard,RB,TEN,GB,7.430360806114054,11,1.9936000000000003,19.258222490931075,0.51,14.477385570209464,0,0,7,0.6754873460103685,Away
J D McKissic,RB,WAS,HOU,5.286168548288135,14,3.125342465753425,21.66121870571564,0,15.573754448398578,0,0,6,0.3775834677348668,Away
James Cook,RB,BUF,CLE,3.899064927342884,14,0.6994736842105264,9.314309993201903,0,18.886836027713628,0.15820224719101122,0.11,6.75,0.27850463766734884,Home
Latavius Murray,RB,DEN,LV,11.93599100889477,16,1.776884422110553,8.684078711985688,0,48.11283783783784,0.8946428571428571,0,3.75,0.7459994380559232,Home
Deon Jackson,RB,IND,PHI,4.470981292894197,13,1.6131250000000001,11.958789752650176,0,15.511398176291792,0.1529,0,7.25,0.34392163791493824,Home
Justice Hill,RB,BAL,CAR,3.0255140885585803,13,0.8097191011235955,4.2360813704496785,0,24.770464009518143,0,0.14,5.25,0.23273185296604465,Home
Cam Akers,RB,LAR,NO,4.76744637684945,14,0.258760162601626,2.4580265610438023,0,36.59955947136564,0.16871794871794873,0.14,5.75,0.34053188406067497,Away
Kenneth Gainwell,RB,PHI,IND,3.6959421101067584,12,1.0124378109452736,5.110119555935098,0,12.696636299929924,0.23484126984126985,0,6.75,0.30799517584222985,Away
Gus Edwards,RB,BAL,CAR,12.586957168352171,21,0,0,0,59.86957168352171,1.1,0,1.75,0.5993789127786748,Home
Elijah Mitchell,RB,SF,ARI,6.38282948853038,19,0.5615577889447236,-0.511426153195091,0,61.53193209377526,0,0,1.75,0.3359383941331779,Away
Chuba Hubbard,RB,CAR,BAL,2.1670276774532304,12,0.47963414634146345,1.7034619750283768,0,12.36864406779661,0.13,0.13,6.25,0.1805856397877692,Away
Raheem Blackshear,RB,CAR,BAL,2.873929557738843,12,0.8456707317073171,8.233399545970489,0,6.077542372881356,0.17,0,4.75,0.23949412981157026,Away
Malik Davis,RB,DAL,MIN,2.243758904613518,11,0.5671052631578948,5.228474320241691,0,14.373588410104013,0,0,3,0.20397808223759253,Away
Keaontay Ingram,RB,ARI,SF,2.2931365744151395,11,0.3574626865671642,4.363327289211242,0,4.847391688770999,0.1988888888888889,0,3.75,0.20846696131046724,Home
Kyren Williams,RB,LAR,NO,2.760020570703529,11,1.3384146341463414,14.34645852749301,0,6.561674008810573,0,0,1.5,0.25091096097304805,Away
Damien Williams,RB,ATL,CHI,0.1885286783042394,11,0,0,0,1.8852867830423938,0,0,1,0.017138970754930854,Home
