,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
182,Samori Toure,4,1,4,Sun,7,7,2022-10-23,24-213,GNB,@,WAS,L 21-23,1,1,4,4,0,100,4,,WR,7-258
183,Justin Watson,4,2,4,Sun,7,7,2022-10-23,26-202,KAN,@,SFO,W 44-23,2,1,4,4,1,50,2,1,WR,5-144
184,Jamaal Williams,4,1,4,Sun,6,7,2022-10-23,27-203,DET,@,DAL,L 6-24,1,1,4,4,0,100,4,0,RB,4-134
185,Jelani Woods,4,2,4,Sun,7,7,2022-10-23,24-014,IND,@,TEN,L 10-19,2,1,4,4,0,50,2,1,TE,3-73
186,Taysom Hill,3,1,3,Thu,7,7,2022-10-20,32-058,NOR,@,ARI,L 34-42,1,1,3,3,1,100,3,1,TE,
187,Mason Kinsey,3,1,3,Sun,6,7,2022-10-23,24-055,TEN,,IND,W 19-10,1,1,3,3,0,100,3,,WR,
188,Ian Thomas,3,1,3,Sun,7,7,2022-10-23,26-139,CAR,,TAM,W 21-3,1,1,3,3,0,100,3,,TE,4-101
189,Damien Harris,2,2,2,Mon,7,7,2022-10-24,25-255,NWE,,CHI,L 14-33,2,1,2,2,0,50,1,,RB,3-87
190,Richie James,2,2,2,Sun,7,7,2022-10-23,27-048,NYG,@,JAX,W 23-17,2,1,2,2,0,50,1,,WR,7-240
191,Dante Pettis,2,1,2,Mon,7,7,2022-10-24,27-001,CHI,@,NWE,W 33-14,1,1,2,2,0,100,2,0,WR,2-44
192,Jaelon Darden,1,1,1,Sun,7,7,2022-10-23,23-282,TAM,@,CAR,L 3-21,1,1,1,1,0,100,1,,WR,4-129
193,Nelson Agholor,0,1,0,Mon,7,7,2022-10-24,29-153,NWE,,CHI,L 14-33,1,0,0,,0,0,0,,WR,1-20
194,Robbie Anderson,0,1,0,Thu,7,7,2022-10-20,29-164,ARI,,NOR,W 42-34,1,0,0,,0,0,0,,WR,
195,Mark Andrews,0,2,0,Sun,7,7,2022-10-23,27-047,BAL,,CLE,W 23-20,2,0,0,,0,0,0,0,TE,3-86
196,Andrew Beck,0,1,0,Sun,7,7,2022-10-23,26-161,DEN,,NYJ,L 9-16,1,0,0,,0,0,0,,FB,
197,Corey Davis,0,1,0,Sun,7,7,2022-10-23,27-285,NYJ,@,DEN,W 16-9,1,0,0,,0,0,0,,WR,1-5
198,Tyrion Davis-Price,0,2,0,Sun,7,7,2022-10-23,22-000,SFO,,KAN,L 23-44,2,0,0,,0,0,0,,RB,3-93
199,Romeo Doubs,0,4,0,Sun,7,7,2022-10-23,22-193,GNB,@,WAS,L 21-23,4,0,0,,0,0,0,,WR,4-132
200,Kenyan Drake,0,1,0,Sun,7,7,2022-10-23,28-270,BAL,,CLE,W 23-20,1,0,0,,0,0,0,,RB,3-73
