,,Rushing,,,,,,,,,,,,Rushing,,,,,,
30,Isiah Pacheco,43,8,43,Sun,7,7,2022-10-23,22-235,KAN,@,SFO,W 44-23,8,43,5.4,0,1,RB,7-251
31,Rhamondre Stevenson,39,11,39,Mon,7,7,2022-10-24,24-243,NWE,,CHI,L 14-33,11,39,3.5,1,2,RB,4-120
32,Christian McCaffrey,38,8,38,Sun,7,7,2022-10-23,26-138,SFO,,KAN,L 23-44,8,38,4.8,0,2,RB,1-8
33,DeeJay Dallas,35,6,35,Sun,7,7,2022-10-23,24-037,SEA,@,LAC,W 37-23,6,35,5.8,0,2,RB,4-144
34,Melvin Gordon,33,11,33,Sun,7,7,2022-10-23,29-193,DEN,,NYJ,L 9-16,11,33,3,0,1,RB,1-15
35,Clyde Edwards-Helaire,32,6,32,Sun,7,7,2022-10-23,23-195,KAN,@,SFO,W 44-23,6,32,5.3,1,1,RB,1-32
36,Austin Ekeler,31,9,31,Sun,7,7,2022-10-23,27-159,LAC,,SEA,L 23-37,9,31,3.4,1,2,RB,
37,Marcus Mariota,31,6,31,Sun,7,7,2022-10-23,28-358,ATL,@,CIN,L 17-35,6,31,5.2,0,2,QB,1-2
38,Kyler Murray,30,7,30,Thu,7,7,2022-10-20,25-074,ARI,,NOR,W 42-34,7,30,4.3,0,3,QB,1-1
39,Michael Carter,29,13,29,Sun,7,7,2022-10-23,23-169,NYJ,@,DEN,W 16-9,13,29,2.2,0,1,RB,4-107
40,Dante Pettis,29,1,29,Mon,7,7,2022-10-24,27-001,CHI,@,NWE,W 33-14,1,29,29,0,1,WR,2-44
41,Mecole Hardman,28,2,28,Sun,7,7,2022-10-23,24-225,KAN,@,SFO,W 44-23,2,28,14,2,2,WR,2-56
42,Braxton Berrios,27,2,27,Sun,7,7,2022-10-23,27-017,NYJ,@,DEN,W 16-9,2,27,13.5,0,1,WR,6-210
43,Justice Hill,26,5,26,Sun,7,7,2022-10-23,24-343,BAL,,CLE,W 23-20,5,26,5.2,0,,RB,4-113
44,Curtis Samuel,26,5,26,Sun,7,7,2022-10-23,26-073,WAS,,GNB,W 23-21,5,26,5.2,0,2,WR,2-40
45,Mac Jones,24,3,24,Mon,7,7,2022-10-24,24-049,NWE,,CHI,L 14-33,3,24,8,0,1,QB,1-15
46,Latavius Murray,24,8,24,Sun,7,7,2022-10-23,32-278,DEN,,NYJ,L 9-16,8,24,3,1,2,RB,6-181
47,Rachaad White,24,6,24,Sun,7,7,2022-10-23,23-284,TAM,@,CAR,L 3-21,6,24,4,0,1,RB,3-91
48,Zach Wilson,24,4,24,Sun,7,7,2022-10-23,23-081,NYJ,@,DEN,W 16-9,4,24,6,0,1,QB,1-2
49,Mike Boone,23,4,23,Sun,7,7,2022-10-23,27-085,DEN,,NYJ,L 9-16,4,23,5.8,0,1,RB,
50,Aaron Jones,23,8,23,Sun,7,7,2022-10-23,27-325,GNB,@,WAS,L 21-23,8,23,2.9,0,2,RB,5-182
51,Justin Herbert,22,3,22,Sun,7,7,2022-10-23,24-227,LAC,,SEA,L 23-37,3,22,7.3,0,1,QB,1-6
52,Caleb Huntley,22,6,22,Sun,7,7,2022-10-23,24-038,ATL,@,CIN,L 17-35,6,22,3.7,0,1,RB,
53,Andy Dalton,21,4,21,Thu,7,7,2022-10-20,34-356,NOR,@,ARI,L 34-42,4,21,5.3,0,2,QB,2-35
54,Joe Burrow,20,3,20,Sun,7,7,2022-10-23,25-317,CIN,,ATL,W 35-17,3,20,6.7,1,2,QB,1-1
55,Kenny Pickett,20,3,20,Sun,7,7,2022-10-23,24-139,PIT,@,MIA,L 10-16,3,20,6.7,0,1,QB,1-20
56,Kalif Raymond,20,2,20,Sun,6,7,2022-10-23,28-076,DET,@,DAL,L 6-24,2,20,10,0,1,WR,
57,DJ Turner,20,3,20,Sun,6,7,2022-10-23,25-278,LVR,,HOU,W 38-20,3,20,6.7,0,1,WR,
58,Matt Breida,19,4,19,Sun,7,7,2022-10-23,27-237,NYG,@,JAX,W 23-17,4,19,4.8,0,1,RB,
59,Leonard Fournette,19,8,19,Sun,7,7,2022-10-23,27-278,TAM,@,CAR,L 3-21,8,19,2.4,0,2,RB,1-4
60,Jacoby Brissett,18,3,18,Sun,7,7,2022-10-23,29-316,CLE,@,BAL,L 20-23,3,18,6,0,2,QB,3-91
61,Chase Edmonds,17,7,17,Sun,7,7,2022-10-23,26-193,MIA,,PIT,W 16-10,7,17,2.4,0,1,RB,4-134
62,AJ Dillon,15,4,15,Sun,7,7,2022-10-23,24-174,GNB,@,WAS,L 21-23,4,15,3.8,0,,RB,2-62
63,Tua Tagovailoa,15,4,15,Sun,7,7,2022-10-23,24-235,MIA,,PIT,W 16-10,4,15,3.8,0,0,QB,1-5
64,KJ Hamler,14,1,14,Sun,7,7,2022-10-23,23-107,DEN,,NYJ,L 9-16,1,14,14,0,1,WR,2-46
65,Keaontay Ingram,14,9,14,Thu,7,7,2022-10-20,22-359,ARI,,NOR,W 42-34,9,14,1.6,1,2,RB,6-201
66,Zay Jones,14,1,14,Sun,7,7,2022-10-23,27-207,JAX,,NYG,L 17-23,1,14,14,0,1,WR,2-37
67,Jerick McKinnon,12,2,12,Sun,7,7,2022-10-23,30-173,KAN,@,SFO,W 44-23,2,12,6,0,0,RB,3-96
68,Craig Reynolds,12,4,12,Sun,6,7,2022-10-23,26-130,DET,@,DAL,L 6-24,4,12,3,0,0,RB,
69,Taysom Hill,9,3,9,Thu,7,7,2022-10-20,32-058,NOR,@,ARI,L 34-42,3,9,3,0,1,TE,
70,Brett Rypien,9,3,9,Sun,7,7,2022-10-23,26-106,DEN,,NYJ,L 9-16,3,9,3,0,2,QB,
71,Rex Burkhead,8,2,8,Sun,6,7,2022-10-23,32-113,HOU,@,LVR,L 20-38,2,8,4,0,1,RB,6-190
72,Trestan Ebner,8,3,8,Mon,7,7,2022-10-24,23-295,CHI,@,NWE,W 33-14,3,8,2.7,0,,RB,6-203
73,Damien Harris,8,3,8,Mon,7,7,2022-10-24,25-255,NWE,,CHI,L 14-33,3,8,2.7,0,,RB,3-87
74,Dare Ogunbowale,8,1,8,Sun,6,7,2022-10-23,28-172,HOU,@,LVR,L 20-38,1,8,8,0,1,RB,
75,Geno Smith,7,4,7,Sun,7,7,2022-10-23,32-013,SEA,@,LAC,W 37-23,4,7,1.8,0,1,QB,2-39
76,Jaylen Warren,7,2,7,Sun,7,7,2022-10-23,23-356,PIT,@,MIA,L 10-16,2,7,3.5,0,1,RB,
77,Jamycal Hasty,6,1,6,Sun,7,7,2022-10-23,26-041,JAX,,NYG,L 17-23,1,6,6,0,1,RB,
78,Mark Ingram,6,4,6,Thu,7,7,2022-10-20,32-303,NOR,@,ARI,L 34-42,4,6,1.5,0,1,RB,1-28
79,Ryan Tannehill,6,4,6,Sun,6,7,2022-10-23,34-088,TEN,,IND,W 19-10,4,6,1.5,0,1,QB,1-8
80,Kenyan Drake,5,11,5,Sun,7,7,2022-10-23,28-270,BAL,,CLE,W 23-20,11,5,0.5,0,,RB,3-73
81,Christian Kirk,5,1,5,Sun,7,7,2022-10-23,25-339,JAX,,NYG,L 17-23,1,5,5,0,0,WR,2-47
82,Sony Michel,5,2,5,Sun,7,7,2022-10-23,27-248,LAC,,SEA,L 23-37,2,5,2.5,0,,RB,1-31
83,Mark Andrews,4,1,4,Sun,7,7,2022-10-23,27-047,BAL,,CLE,W 23-20,1,4,4,0,1,TE,3-86
84,Tyrion Davis-Price,4,2,4,Sun,7,7,2022-10-23,22-000,SFO,,KAN,L 23-44,2,4,2,0,,RB,3-93
85,D'Wayne Eskridge,4,1,4,Sun,7,7,2022-10-23,25-214,SEA,@,LAC,W 37-23,1,4,4,0,,WR,2-56
86,Jared Goff,4,1,4,Sun,6,7,2022-10-23,28-009,DET,@,DAL,L 6-24,1,4,4,0,0,QB,1-1
87,Taylor Heinicke,4,2,4,Sun,7,7,2022-10-23,29-222,WAS,,GNB,W 23-21,2,4,2,0,0,QB,
88,Dontrell Hilliard,4,1,4,Sun,6,7,2022-10-23,27-239,TEN,,IND,W 19-10,1,4,4,0,,RB,
89,Kareem Hunt,4,5,4,Sun,7,7,2022-10-23,27-078,CLE,@,BAL,L 20-23,5,4,0.8,1,1,RB,3-86
90,J.D. McKissic,4,1,4,Sun,7,7,2022-10-23,29-069,WAS,,GNB,W 23-21,1,4,4,0,,RB,
91,Avery Williams,4,1,4,Sun,7,7,2022-10-23,24-100,ATL,@,CIN,L 17-35,1,4,4,0,,RB,5-183
92,Deon Jackson,3,2,3,Sun,7,7,2022-10-23,23-247,IND,@,TEN,L 10-19,2,3,1.5,0,1,RB,
93,Diontae Johnson,3,1,3,Sun,7,7,2022-10-23,26-110,PIT,@,MIA,L 10-16,1,3,3,0,0,WR,3-66
94,Ty Johnson,3,1,3,Sun,7,7,2022-10-23,25-036,NYJ,@,DEN,W 16-9,1,3,3,0,,RB,6-186
95,Trevor Lawrence,3,4,3,Sun,7,7,2022-10-23,23-017,JAX,,NYG,L 17-23,4,3,0.8,1,2,QB,1-1
96,KaVontae Turpin,3,1,3,Sun,7,7,2022-10-23,26-082,DAL,,DET,W 24-6,1,3,3,0,,WR,
97,Jimmy Garoppolo,2,2,2,Sun,7,7,2022-10-23,30-355,SFO,,KAN,L 23-44,2,2,1,0,1,QB,2-62
98,Chris Godwin,2,1,2,Sun,7,7,2022-10-23,26-238,TAM,@,CAR,L 3-21,1,2,2,0,0,WR,3-84
99,Nyheim Hines,2,4,2,Sun,7,7,2022-10-23,25-345,IND,@,TEN,L 10-19,4,2,0.5,0,0,RB,4-104
100,Justin Jackson,2,3,2,Sun,6,7,2022-10-23,26-184,DET,@,DAL,L 6-24,3,2,0.7,0,,RB,7-251
101,Matt Ryan,2,1,2,Sun,7,7,2022-10-23,37-159,IND,@,TEN,L 10-19,1,2,2,0,0,QB,1-3
102,Deebo Samuel,2,1,2,Sun,7,7,2022-10-23,26-281,SFO,,KAN,L 23-44,1,2,2,0,0,WR,2-36
103,Montrell Washington,2,1,2,Sun,7,7,2022-10-23,23-223,DEN,,NYJ,L 9-16,1,2,2,0,,WR,5-162
104,Zamir White,2,1,2,Sun,6,7,2022-10-23,23-035,LVR,,HOU,W 38-20,1,2,2,0,,RB,4-122
105,Tom Brady,1,1,1,Sun,7,7,2022-10-23,45-081,TAM,@,CAR,L 3-21,1,1,1,0,0,QB,6-199
106,Greg Dortch,1,1,1,Thu,7,7,2022-10-20,24-144,ARI,,NOR,W 42-34,1,1,1,0,0,WR,
107,Brock Purdy,1,1,1,Sun,7,7,2022-10-23,22-300,SFO,,KAN,L 23-44,1,1,1,0,0,QB,7-262
108,Samaje Perine,0,1,0,Sun,7,7,2022-10-23,27-037,CIN,,ATL,W 35-17,1,0,0,0,,RB,4-114
109,Dak Prescott,0,3,0,Sun,7,7,2022-10-23,29-086,DAL,,DET,W 24-6,3,0,0,0,0,QB,4-135
110,Patrick Ricard,0,1,0,Sun,7,7,2022-10-23,28-149,BAL,,CLE,W 23-20,1,0,0,0,0,FB,
111,Derek Carr,-1,3,-1,Sun,6,7,2022-10-23,31-209,LVR,,HOU,W 38-20,3,-1,-0.3,0,0,QB,2-36
112,Bailey Zappe,-1,2,-1,Mon,7,7,2022-10-24,23-181,NWE,,CHI,L 14-33,2,-1,-0.5,0,0,QB,4-137
113,Chad Henne,-3,3,-3,Sun,7,7,2022-10-23,37-113,KAN,@,SFO,W 44-23,3,-3,-1,0,,QB,2-57
114,D.J. Moore,-3,1,-3,Sun,7,7,2022-10-23,25-192,CAR,,TAM,W 21-3,1,-3,-3,0,0,WR,1-24
115,CeeDee Lamb,-4,1,-4,Sun,7,7,2022-10-23,23-198,DAL,,DET,W 24-6,1,-4,-4,0,0,WR,1-17
116,Raheem Blackshear,-5,2,-5,Sun,7,7,2022-10-23,23-140,CAR,,TAM,W 21-3,2,-5,-2.5,0,,RB,
117,Isaiah Spiller,-5,1,-5,Sun,7,7,2022-10-23,21-075,LAC,,SEA,L 23-37,1,-5,-5,0,,RB,4-123
