,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
13,Davis Mills,95.8,41,95.8,Sun,6,7,2022-10-23,24-002,HOU,@,LVR,L 20-38,28,41,13,68.3,302,2,1,1,4.9,2.4,95.8,1,6,2.38,7.4,7.24,6.93,10.8,QB,3-67
14,Daniel Jones,94,30,94,Sun,7,7,2022-10-23,25-149,NYG,@,JAX,W 23-17,19,30,11,63.3,202,1,0,,3.3,0,94,1,2,3.23,6.7,7.4,7.1,10.6,QB,1-6
15,Tua Tagovailoa,92.7,35,92.7,Sun,7,7,2022-10-23,24-235,MIA,,PIT,W 16-10,21,35,14,60,261,1,0,,2.9,0,92.7,0,0,0,7.5,8.03,8.03,12.4,QB,1-5
16,Andy Dalton,89.1,47,89.1,Thu,7,7,2022-10-20,34-356,NOR,@,ARI,L 34-42,30,47,17,63.8,361,4,3,2,8.5,6.4,89.1,0,0,0,7.7,6.51,6.51,12,QB,2-35
17,Taylor Heinicke,85.5,33,85.5,Sun,7,7,2022-10-23,29-222,WAS,,GNB,W 23-21,20,33,13,60.6,201,2,1,1,6.1,3,85.5,1,3,2.94,6.1,5.94,5.68,10.1,QB,
18,Justin Fields,85.2,21,85.2,Mon,7,7,2022-10-24,23-233,CHI,@,NWE,W 33-14,13,21,8,61.9,179,1,1,,4.8,4.8,85.2,4,32,16,8.5,7.33,4.88,13.8,QB,1-11
19,Justin Herbert,84.8,51,84.8,Sun,7,7,2022-10-23,24-227,LAC,,SEA,L 23-37,33,51,18,64.7,293,2,1,,3.9,2,84.8,3,17,5.56,5.7,5.65,5.02,8.9,QB,1-6
20,Ryan Tannehill,83.7,20,83.7,Sun,6,7,2022-10-23,34-088,TEN,,IND,W 19-10,13,20,7,65,132,0,0,,0,0,83.7,2,16,9.09,6.6,6.6,5.27,10.2,QB,1-8
21,Tom Brady,81.2,49,81.2,Sun,7,7,2022-10-23,45-081,TAM,@,CAR,L 3-21,32,49,17,65.3,290,0,0,,0,0,81.2,1,14,2,5.9,5.92,5.52,9.1,QB,6-199
22,Lamar Jackson,80.2,16,80.2,Sun,7,7,2022-10-23,25-289,BAL,,CLE,W 23-20,9,16,7,56.3,120,0,0,,0,0,80.2,3,26,15.79,7.5,7.5,4.95,13.3,QB,1-32
23,Matt Ryan,76.2,44,76.2,Sun,7,7,2022-10-23,37-159,IND,@,TEN,L 10-19,33,44,11,75,243,1,2,1,2.3,4.5,76.2,3,16,6.38,5.5,3.93,3.34,7.4,QB,1-3
24,Trevor Lawrence,74.8,43,74.8,Sun,7,7,2022-10-23,23-017,JAX,,NYG,L 17-23,22,43,21,51.2,310,0,0,,0,0,74.8,0,0,0,7.2,7.21,7.21,14.1,QB,1-1
25,Zach Wilson,72.8,26,72.8,Sun,7,7,2022-10-23,23-081,NYJ,@,DEN,W 16-9,16,26,10,61.5,121,0,0,,0,0,72.8,3,16,10.34,4.7,4.65,3.62,7.6,QB,1-2
26,Jared Goff,71.2,26,71.2,Sun,6,7,2022-10-23,28-009,DET,@,DAL,L 6-24,21,26,5,80.8,228,0,2,,0,7.7,71.2,5,33,16.13,8.8,5.31,3.39,10.9,QB,1-1
27,Bailey Zappe,67.4,22,67.4,Mon,7,7,2022-10-24,23-181,NWE,,CHI,L 14-33,14,22,8,63.6,185,1,2,,4.5,9.1,67.4,1,8,4.35,8.4,5.23,4.65,13.2,QB,4-137
28,Kenny Pickett,66.2,44,66.2,Sun,7,7,2022-10-23,24-139,PIT,@,MIA,L 10-16,32,44,12,72.7,257,1,3,,2.3,6.8,66.2,2,11,4.35,5.8,3.23,2.85,8,QB,1-20
29,Brett Rypien,56.9,46,56.9,Sun,7,7,2022-10-23,26-106,DEN,,NYJ,L 9-16,24,46,22,52.2,225,0,1,,0,2.2,56.9,1,6,2.13,4.9,3.91,3.7,9.4,QB,
30,Chad Henne,39.6,2,39.6,Sun,7,7,2022-10-23,37-113,KAN,@,SFO,W 44-23,0,2,2,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,QB,2-57
31,Christian Kirk,39.6,1,39.6,Sun,7,7,2022-10-23,25-339,JAX,,NYG,L 17-23,0,1,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,WR,2-47
32,Brock Purdy,30.1,9,30.1,Sun,7,7,2022-10-23,22-300,SFO,,KAN,L 23-44,4,9,5,44.4,66,0,1,,0,11.1,30.1,0,0,0,7.3,2.33,2.33,16.5,QB,7-262
33,Mac Jones,16.7,6,16.7,Mon,7,7,2022-10-24,24-049,NWE,,CHI,L 14-33,3,6,3,50,13,0,1,,0,16.7,16.7,0,0,0,2.2,-5.33,-5.33,4.3,QB,1-15
