,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
11,Cincinnati Bengals,13,20.4,331.1,61.4,5.4,1.15,0.46,18.1,19.9,33.7,220.1,0.92,0.69,6.2,10.3,26.1,111,0.85,4.3,6.54,6,51.5,1.23,38.8,10.1,-2.29
12,Tennessee Titans,13,21.2,365,65.2,5.6,1,0.31,20.2,26.3,40.3,283.7,1.92,0.69,6.6,12.9,22.3,81.3,0.46,3.6,5.46,7.77,55.5,1.77,33.8,9,-3.96
13,Carolina Panthers,13,22.3,343.5,64.8,5.3,1.08,0.31,20.1,22.5,34.3,214.7,1.38,0.77,5.9,11.2,28.4,128.8,1,4.5,7.38,6.46,53,1.46,34.4,8.6,-1.84
14,Pittsburgh Steelers,13,22.5,358.5,63.2,5.7,1.31,0.23,19.7,20.7,33.8,242.7,1.85,1.08,6.8,12.2,27.5,115.8,0.54,4.2,6.15,5.85,43.2,1.38,39,12.1,-3.78
15,Jacksonville Jaguars,13,22.6,368.7,64.4,5.7,1.54,0.77,21.8,22.9,35.8,253.3,1.62,0.77,6.7,12.8,26.8,115.4,1,4.3,7.46,5.08,39.7,1.62,39.3,14.1,-5.66
16,Los Angeles Rams,13,22.8,330.5,60.6,5.5,1.08,0.38,18.6,22.4,33,228.6,1.38,0.69,6.5,11.9,25.6,101.9,0.62,4,5.38,5.08,39.8,1.31,40.9,9.8,-4.41
17,New Orleans Saints,13,22.8,328.2,63.8,5.1,0.69,0.46,19.8,20.8,33.2,203.2,1.23,0.23,5.7,10.2,27.9,125,0.85,4.5,6.92,5.77,50.3,2.69,39,5.7,-4.29
18,Kansas City Chiefs,13,22.9,341.6,63.8,5.4,1.08,0.46,19.8,24.7,36.6,235.5,2.15,0.62,5.9,12.8,23.9,106.2,0.54,4.4,5.92,6.08,45.8,1.15,38.1,9.4,-4.51
19,Indianapolis Colts,13,22.9,314.8,62.6,5,0.92,0.54,19.3,20.3,29.8,188.6,1.23,0.38,5.9,9.85,30.4,126.2,1.15,4.2,7.62,4.92,40.8,1.85,35.1,7.4,-2.45
20,New York Giants,13,23.1,365.8,63.2,5.8,1.15,0.85,22.3,20.1,33,216.1,1.23,0.31,6.1,11.9,27.9,149.7,1.15,5.4,8.08,7.08,51.9,2.31,41.1,8.5,-6.81
21,Green Bay Packers,13,23.2,347.7,60.5,5.8,1.15,0.38,19.5,18.5,27.9,192.9,1.38,0.77,6.5,9.38,30.7,154.8,1.15,5,8.38,5.62,51.4,1.77,39,11,-5.14
22,Miami Dolphins,13,24,350.8,64.6,5.4,0.92,0.38,20.4,25.3,36.9,242.5,1.54,0.54,6.1,11.9,25.2,108.3,1.08,4.3,6.31,4.62,47.3,2.15,37.3,8.5,-4.73
23,Atlanta Falcons,13,24,380.6,65.6,5.8,1.15,0.38,21.9,23.4,34.7,251.1,1.46,0.77,7,12.5,29.6,129.5,1.15,4.4,8.31,6.31,51.7,1.08,45,11.5,-8.84
24,Minnesota Vikings,13,24.1,403.7,66.3,6.1,1.54,0.62,21.8,25.3,37.5,287.2,1.46,0.92,7.2,13.8,26.5,116.5,1.08,4.4,6.62,6.77,54.6,1.38,42.1,12.4,-6.21
25,Las Vegas Raiders,13,24.1,365,63.8,5.7,0.77,0.46,21.1,24.6,35.3,254.5,1.62,0.31,6.8,12.5,26.6,110.5,1.08,4.2,6.85,5.38,44.5,1.69,40,7.4,-7.5
26,Houston Texans,13,24.2,380.2,66.9,5.7,1.31,0.54,21.4,18.5,30.3,214.4,0.85,0.77,6.6,11.5,34.4,165.8,1.31,4.8,8.62,5.85,46.2,1.31,36.3,9.6,-5.4
27,Cleveland Browns,13,24.8,343.8,60.8,5.7,1,0.54,19.8,20.1,32.1,215.8,1.46,0.46,6.3,10.5,26.7,128.1,1.31,4.8,7.23,5.69,48.5,2.15,41.2,8.1,-5.12
28,Los Angeles Chargers,13,25.1,359.9,60.4,6,1.31,0.62,19.8,19.3,31.3,212.9,1.62,0.69,6.4,11.3,27.2,147,1,5.4,6.92,5.08,48.5,1.54,41.7,10.4,-7.02
29,Chicago Bears,13,25.6,350.5,59.5,5.9,1.15,0.46,20.5,18.2,27.4,204.2,1.23,0.69,7.1,10.4,30.8,146.3,1.62,4.7,8.38,4.54,36.3,1.77,39.7,9.9,-8.84
30,Detroit Lions,13,26.7,403.2,64.8,6.2,1.31,0.62,23.3,22.8,35,263.4,1.62,0.69,7.1,13.3,27.8,139.8,1.46,5,8.08,6.46,49.2,1.92,42.5,11.9,-10.49
31,Arizona Cardinals,13,26.8,354,62.2,5.7,1.15,0.54,21.4,25.2,36.4,243.8,1.85,0.62,6.4,13.4,23.9,110.2,1.15,4.6,6.69,6,47.4,1.31,42.3,10.6,-5.71
32,Seattle Seahawks,14,25.4,378.9,67.1,5.6,1.5,0.71,21.4,20.8,31.9,217.7,1.5,0.79,6.3,11.3,32.7,161.1,1.36,4.9,8.29,6.29,52.4,1.79,39.2,12.4,-7.36
