,,Rushing,,,,,,,,,,,,Rushing,,,,,,
14,Josh Jacobs,67,17,67,Sun,8,9,2022-11-06,24-268,LVR,@,JAX,L 20-27,17,67,3.9,0,5,RB,1-24
15,Patrick Mahomes,63,6,63,Sun,8,9,2022-11-06,27-050,KAN,,TEN,W 20-17 (OT),6,63,10.5,1,3,QB,1-10
16,Kyler Murray,60,8,60,Sun,9,9,2022-11-06,25-091,ARI,,SEA,L 21-31,8,60,7.5,0,2,QB,1-1
17,Rhamondre Stevenson,60,15,60,Sun,9,9,2022-11-06,24-256,NWE,,IND,W 26-3,15,60,4,0,4,RB,4-120
18,Darrell Henderson,56,12,56,Sun,8,9,2022-11-06,25-079,LAR,@,TAM,L 13-16,12,56,4.7,0,2,RB,3-70
19,Trevor Lawrence,53,6,53,Sun,9,9,2022-11-06,23-031,JAX,,LVR,W 27-20,6,53,8.8,0,2,QB,1-1
20,Samaje Perine,51,6,51,Sun,9,9,2022-11-06,27-051,CIN,,CAR,W 42-21,6,51,8.5,0,2,RB,4-114
21,Jeff Wilson,51,9,51,Sun,9,9,2022-11-06,26-355,MIA,@,CHI,W 35-32,9,51,5.7,0,1,RB,
22,James Robinson,48,13,48,Sun,9,9,2022-11-06,24-089,NYJ,,BUF,W 20-17,13,48,3.7,0,3,RB,
23,Dalvin Cook,47,17,47,Sun,8,9,2022-11-06,27-088,MIN,@,WAS,W 20-17,17,47,2.8,0,1,RB,2-41
24,Austin Ekeler,47,14,47,Sun,8,9,2022-11-06,27-173,LAC,@,ATL,W 20-17,14,47,3.4,1,1,RB,
25,James Conner,45,7,45,Sun,9,9,2022-11-06,27-185,ARI,,SEA,L 21-31,7,45,6.4,0,3,RB,3-105
26,Cordarrelle Patterson,44,13,44,Sun,9,9,2022-11-06,31-234,ATL,,LAC,L 17-20,13,44,3.4,2,4,RB,1-29
27,Brian Robinson Jr.,44,13,44,Sun,9,9,2022-11-06,23-229,WAS,,MIN,L 17-20,13,44,3.4,0,1,RB,3-98
28,Aaron Rodgers,40,4,40,Sun,9,9,2022-11-06,38-339,GNB,@,DET,L 9-15,4,40,10,0,2,QB,1-24
29,Malik Willis,40,8,40,Sun,8,9,2022-11-06,23-165,TEN,@,KAN,L 17-20 (OT),8,40,5,0,1,QB,3-86
30,Sam Ehlinger,39,5,39,Sun,9,9,2022-11-06,24-037,IND,@,NWE,L 3-26,5,39,7.8,0,2,QB,6-218
31,Geno Smith,38,6,38,Sun,9,9,2022-11-06,32-027,SEA,@,ARI,W 31-21,6,38,6.3,0,3,QB,2-39
32,Antonio Gibson,36,11,36,Sun,9,9,2022-11-06,24-136,WAS,,MIN,L 17-20,11,36,3.3,0,3,RB,3-66
33,David Montgomery,36,14,36,Sun,9,9,2022-11-06,25-152,CHI,,MIA,L 32-35,14,36,2.6,0,2,RB,3-73
34,AJ Dillon,34,11,34,Sun,9,9,2022-11-06,24-188,GNB,@,DET,L 9-15,11,34,3.1,0,3,RB,2-62
35,Caleb Huntley,34,7,34,Sun,9,9,2022-11-06,24-052,ATL,,LAC,L 17-20,7,34,4.9,0,1,RB,
36,Alvin Kamara,30,9,30,Mon,9,9,2022-11-07,27-105,NOR,,BAL,L 13-27,9,30,3.3,0,1,RB,3-67
37,Isaiah Spiller,29,7,29,Sun,8,9,2022-11-06,21-089,LAC,@,ATL,W 20-17,7,29,4.1,0,1,RB,4-123
38,Justin Jackson,27,4,27,Sun,8,9,2022-11-06,26-198,DET,,GNB,W 15-9,4,27,6.8,0,1,RB,7-251
39,Rachaad White,27,8,27,Sun,9,9,2022-11-06,23-298,TAM,,LAR,W 16-13,8,27,3.4,0,0,RB,3-91
40,Raheem Mostert,26,9,26,Sun,9,9,2022-11-06,30-211,MIA,@,CHI,W 35-32,9,26,2.9,1,2,RB,
41,Aaron Jones,25,9,25,Sun,9,9,2022-11-06,27-339,GNB,@,DET,L 9-15,9,25,2.8,0,,RB,5-182
42,Marcus Mariota,24,5,24,Sun,9,9,2022-11-06,29-007,ATL,,LAC,L 17-20,5,24,4.8,0,3,QB,1-2
43,Armani Rogers,24,1,24,Sun,9,9,2022-11-06,24-337,WAS,,MIN,L 17-20,1,24,24,0,1,TE,
44,Devin Singletary,24,8,24,Sun,8,9,2022-11-06,25-064,BUF,@,NYJ,L 17-20,8,24,3,0,1,RB,3-74
45,Zach Wilson,24,5,24,Sun,9,9,2022-11-06,23-095,NYJ,,BUF,W 20-17,5,24,4.8,0,3,QB,1-2
46,D'Onta Foreman,23,7,23,Sun,9,9,2022-11-06,26-196,CAR,@,CIN,L 21-42,7,23,3.3,0,1,RB,3-89
47,Khalil Herbert,23,7,23,Sun,9,9,2022-11-06,24-199,CHI,,MIA,L 32-35,7,23,3.3,0,,RB,6-217
48,Jalen Hurts,23,9,23,Thu,8,9,2022-11-03,24-088,PHI,@,HOU,W 29-17,9,23,2.6,0,3,QB,2-53
49,Deon Jackson,23,11,23,Sun,9,9,2022-11-06,23-261,IND,@,NWE,L 3-26,11,23,2.1,0,1,RB,
50,Kenneth Gainwell,22,4,22,Thu,8,9,2022-11-03,23-234,PHI,@,HOU,W 29-17,4,22,5.5,1,2,RB,5-150
51,Leonard Fournette,19,9,19,Sun,9,9,2022-11-06,27-292,TAM,,LAR,W 16-13,9,19,2.1,0,1,RB,1-4
52,Davis Mills,18,3,18,Thu,8,9,2022-11-03,24-013,HOU,,PHI,L 17-29,3,18,6,0,1,QB,3-67
53,Trent Taylor,18,3,18,Sun,9,9,2022-11-06,28-190,CIN,,CAR,W 42-21,3,18,6,0,,WR,5-177
54,Taylor Heinicke,17,4,17,Sun,9,9,2022-11-06,29-236,WAS,,MIN,L 17-20,4,17,4.3,0,0,QB,
55,Ty Johnson,17,2,17,Sun,9,9,2022-11-06,25-050,NYJ,,BUF,W 20-17,2,17,8.5,0,,RB,6-186
56,Spencer Brown,16,3,16,Sun,9,9,2022-11-06,23-358,CAR,@,CIN,L 21-42,3,16,5.3,0,1,RB,
57,Curtis Samuel,16,1,16,Sun,9,9,2022-11-06,26-087,WAS,,MIN,L 17-20,1,16,16,0,1,WR,2-40
58,James Cook,15,4,15,Sun,8,9,2022-11-06,23-042,BUF,@,NYJ,L 17-20,4,15,3.8,0,1,RB,2-63
59,Raheem Blackshear,13,5,13,Sun,9,9,2022-11-06,23-154,CAR,@,CIN,L 21-42,5,13,2.6,1,2,RB,
60,Jordan Wilkins,13,3,13,Sun,9,9,2022-11-06,28-111,IND,@,NWE,L 3-26,3,13,4.3,0,1,RB,5-169
61,Eno Benjamin,12,4,12,Sun,9,9,2022-11-06,23-207,ARI,,SEA,L 21-31,4,12,3,0,0,RB,7-222
62,Dontrell Hilliard,12,3,12,Sun,8,9,2022-11-06,27-253,TEN,@,KAN,L 17-20 (OT),3,12,4,0,,RB,
63,Sony Michel,12,1,12,Sun,8,9,2022-11-06,27-262,LAC,@,ATL,W 20-17,1,12,12,0,1,RB,1-31
64,Justice Hill,11,4,11,Mon,9,9,2022-11-07,24-358,BAL,@,NOR,W 27-13,4,11,2.8,0,,RB,4-113
65,Trenton Irwin,11,1,11,Sun,9,9,2022-11-06,26-331,CIN,,CAR,W 42-21,1,11,11,0,1,WR,
66,Justin Jefferson,10,1,10,Sun,8,9,2022-11-06,23-143,MIN,@,WAS,W 20-17,1,10,10,0,1,WR,1-22
67,D'Andre Swift,10,2,10,Sun,8,9,2022-11-06,23-296,DET,,GNB,W 15-9,2,10,5,0,0,RB,2-35
68,Malcolm Brown,9,2,9,Sun,8,9,2022-11-06,29-175,LAR,@,TAM,L 13-16,2,9,4.5,0,0,RB,
69,Rex Burkhead,9,1,9,Thu,8,9,2022-11-03,32-124,HOU,,PHI,L 17-29,1,9,9,0,1,RB,6-190
70,Joe Burrow,9,4,9,Sun,9,9,2022-11-06,25-331,CIN,,CAR,W 42-21,4,9,2.3,1,3,QB,1-1
71,Cole Kmet,9,2,9,Sun,9,9,2022-11-06,23-241,CHI,,MIA,L 32-35,2,9,4.5,0,1,TE,2-43
72,Isaiah McKenzie,9,1,9,Sun,8,9,2022-11-06,27-211,BUF,@,NYJ,L 17-20,1,9,9,0,0,WR,5-172
73,J.J. Taylor,9,10,9,Sun,9,9,2022-11-06,24-306,NWE,,IND,W 26-3,10,9,0.9,0,,RB,
74,Kylin Hill,7,1,7,Sun,9,9,2022-11-06,24-080,GNB,@,DET,L 9-15,1,7,7,0,1,RB,7-256
75,Travis Homer,7,1,7,Sun,9,9,2022-11-06,24-091,SEA,@,ARI,W 31-21,1,7,7,0,0,RB,6-204
76,Dwayne Washington,7,3,7,Mon,9,9,2022-11-07,28-197,NOR,,BAL,L 13-27,3,7,2.3,0,,RB,7-236
77,Garrett Wilson,7,1,7,Sun,9,9,2022-11-06,22-107,NYJ,,BUF,W 20-17,1,7,7,0,0,WR,1-10
78,Jamycal Hasty,6,3,6,Sun,9,9,2022-11-06,26-055,JAX,,LVR,W 27-20,3,6,2,0,,RB,
79,Taysom Hill,6,1,6,Mon,9,9,2022-11-07,32-076,NOR,,BAL,L 13-27,1,6,6,0,0,TE,
80,Laviska Shenault Jr.,6,2,6,Sun,9,9,2022-11-06,24-032,CAR,@,CIN,L 21-42,2,6,3,0,,WR,2-42
81,P.J. Walker,6,1,6,Sun,9,9,2022-11-06,27-253,CAR,@,CIN,L 21-42,1,6,6,0,,QB,
82,Brandon Bolden,5,1,5,Sun,8,9,2022-11-06,32-284,LVR,@,JAX,L 20-27,1,5,5,0,,RB,
83,Andy Dalton,5,2,5,Mon,9,9,2022-11-07,35-009,NOR,,BAL,L 13-27,2,5,2.5,0,1,QB,2-35
84,Clyde Edwards-Helaire,5,4,5,Sun,8,9,2022-11-06,23-209,KAN,,TEN,W 20-17 (OT),4,5,1.3,0,1,RB,1-32
85,Hassan Haskins,5,1,5,Sun,8,9,2022-11-06,22-345,TEN,@,KAN,L 17-20 (OT),1,5,5,0,,RB,4-131
86,Isiah Pacheco,5,5,5,Sun,8,9,2022-11-06,22-249,KAN,,TEN,W 20-17 (OT),5,5,1,0,1,RB,7-251
87,Boston Scott,5,1,5,Thu,8,9,2022-11-03,27-190,PHI,@,HOU,W 29-17,1,5,5,0,,RB,6-201
88,Chase Claypool,4,1,4,Sun,9,9,2022-11-06,24-122,CHI,,MIA,L 32-35,1,4,4,0,0,WR,2-49
89,DeeJay Dallas,4,1,4,Sun,9,9,2022-11-06,24-051,SEA,@,ARI,W 31-21,1,4,4,0,,RB,4-144
90,Jerick McKinnon,4,3,4,Sun,8,9,2022-11-06,30-187,KAN,,TEN,W 20-17 (OT),3,4,1.3,0,0,RB,3-96
91,Ke'Shawn Vaughn,4,2,4,Sun,9,9,2022-11-06,25-186,TAM,,LAR,W 16-13,2,4,2,0,,RB,3-76
92,Cam Akers,3,5,3,Sun,8,9,2022-11-06,23-137,LAR,@,TAM,L 13-16,5,3,0.6,0,1,RB,2-52
93,Greg Dortch,3,1,3,Sun,9,9,2022-11-06,24-161,ARI,,SEA,L 21-31,1,3,3,0,,WR,
94,Justin Herbert,3,1,3,Sun,8,9,2022-11-06,24-241,LAC,@,ATL,W 20-17,1,3,3,0,0,QB,1-6
95,Ashtyn Davis,2,1,2,Sun,9,9,2022-11-06,26-027,NYJ,,BUF,W 20-17,1,2,2,0,1,S,3-68
96,Keaontay Ingram,2,1,2,Sun,9,9,2022-11-06,23-011,ARI,,SEA,L 21-31,1,2,2,0,,RB,6-201
97,Phillip Lindsay,2,1,2,Sun,9,9,2022-11-06,28-105,IND,@,NWE,L 3-26,1,2,2,0,,RB,
98,Jakobi Meyers,2,1,2,Sun,9,9,2022-11-06,25-362,NWE,,IND,W 26-3,1,2,2,0,1,WR,
99,Darnell Mooney,2,1,2,Sun,9,9,2022-11-06,25-008,CHI,,MIA,L 32-35,1,2,2,0,0,WR,5-173
100,Chris Moore,2,1,2,Thu,8,9,2022-11-03,29-140,HOU,,PHI,L 17-29,1,2,2,0,0,WR,4-107
101,Patrick Ricard,2,1,2,Mon,9,9,2022-11-07,28-164,BAL,@,NOR,W 27-13,1,2,2,0,1,FB,
102,Kendrick Bourne,1,1,1,Sun,9,9,2022-11-06,27-094,NWE,,IND,W 26-3,1,1,1,0,,WR,
103,Parris Campbell,1,1,1,Sun,9,9,2022-11-06,25-113,IND,@,NWE,L 3-26,1,1,1,0,0,WR,2-59
104,Chris Godwin,1,1,1,Sun,9,9,2022-11-06,26-252,TAM,,LAR,W 16-13,1,1,1,0,0,WR,3-84
105,Cooper Kupp,1,3,1,Sun,8,9,2022-11-06,29-144,LAR,@,TAM,L 13-16,3,1,0.3,0,0,WR,3-69
106,Alexander Mattison,1,2,1,Sun,8,9,2022-11-06,24-140,MIN,@,WAS,W 20-17,2,1,0.5,0,,RB,3-102
107,Michael Burton,0,1,0,Sun,8,9,2022-11-06,30-278,KAN,,TEN,W 20-17 (OT),1,0,0,0,,FB,5-168
108,Gerald Everett,0,1,0,Sun,8,9,2022-11-06,28-134,LAC,@,ATL,W 20-17,1,0,0,0,0,TE,2-44
109,Kylen Granson,0,1,0,Sun,9,9,2022-11-06,24-224,IND,@,NWE,L 3-26,1,0,0,0,,TE,4-127
110,Tua Tagovailoa,0,5,0,Sun,9,9,2022-11-06,24-249,MIA,@,CHI,W 35-32,5,0,0,0,0,QB,1-5
111,Brandon Allen,-1,3,-1,Sun,9,9,2022-11-06,30-062,CIN,,CAR,W 42-21,3,-1,-0.3,0,1,QB,6-201
112,Jared Goff,-1,1,-1,Sun,8,9,2022-11-06,28-023,DET,,GNB,W 15-9,1,-1,-1,0,0,QB,1-1
113,Matthew Stafford,-1,2,-1,Sun,8,9,2022-11-06,34-272,LAR,@,TAM,L 13-16,2,-1,-0.5,0,0,QB,1-1
114,Zamir White,-1,1,-1,Sun,8,9,2022-11-06,23-049,LVR,@,JAX,L 20-27,1,-1,-1,0,,RB,4-122
115,Kirk Cousins,-2,2,-2,Sun,8,9,2022-11-06,34-079,MIN,@,WAS,W 20-17,2,-2,-1,0,1,QB,4-102
116,Mac Jones,-2,1,-2,Sun,9,9,2022-11-06,24-062,NWE,,IND,W 26-3,1,-2,-2,0,0,QB,1-15
