,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
10,Zach Wilson,101.1,25,101.1,Sun,9,9,2022-11-06,23-095,NYJ,,BUF,W 20-17,18,25,7,72,154,1,0,,4,0,101.1,2,18,7.41,6.2,6.96,5.78,8.6,QB,1-2
11,Derek Carr,99.2,36,99.2,Sun,8,9,2022-11-06,31-223,LVR,@,JAX,L 20-27,21,36,15,58.3,259,2,0,,5.6,0,99.2,2,11,5.26,7.2,8.31,7.58,12.3,QB,2-36
12,Brandon Allen,97.2,3,97.2,Sun,9,9,2022-11-06,30-062,CIN,,CAR,W 42-21,3,3,0,100,22,0,0,,0,0,97.2,1,0,25,7.3,7.33,5.5,7.3,QB,6-201
13,Mac Jones,89.2,30,89.2,Sun,9,9,2022-11-06,24-062,NWE,,IND,W 26-3,20,30,10,66.7,147,1,0,,3.3,0,89.2,4,14,11.76,4.9,5.57,4.5,7.4,QB,1-15
14,Lamar Jackson,87.9,22,87.9,Mon,9,9,2022-11-07,25-304,BAL,@,NOR,W 27-13,12,22,10,54.5,133,1,0,,4.5,0,87.9,3,2,12,6,6.95,6.04,11.1,QB,1-32
15,Andy Dalton,84,29,84,Mon,9,9,2022-11-07,35-009,NOR,,BAL,L 13-27,19,29,10,65.5,210,1,1,,3.4,3.4,84,4,28,12.12,7.2,6.38,4.76,11.1,QB,2-35
16,Justin Herbert,82,43,82,Sun,8,9,2022-11-06,24-241,LAC,@,ATL,W 20-17,30,43,13,69.8,245,1,1,,2.3,2.3,82,0,0,0,5.7,5.12,5.12,8.2,QB,1-6
17,Kirk Cousins,81.8,40,81.8,Sun,8,9,2022-11-06,34-079,MIN,@,WAS,W 20-17,22,40,18,55,265,2,1,,5,2.5,81.8,2,17,4.76,6.6,6.5,5.79,12,QB,4-102
18,Patrick Mahomes,80.9,68,80.9,Sun,8,9,2022-11-06,27-050,KAN,,TEN,W 20-17 (OT),43,68,25,63.2,446,1,1,,1.5,1.5,80.9,4,24,5.56,6.6,6.19,5.51,10.4,QB,1-10
19,Matthew Stafford,80,27,80,Sun,8,9,2022-11-06,34-272,LAR,@,TAM,L 13-16,13,27,14,48.1,165,1,0,,3.7,0,80,4,27,12.9,6.1,6.85,5.1,12.7,QB,1-1
20,Tom Brady,79.7,58,79.7,Sun,9,9,2022-11-06,45-095,TAM,,LAR,W 16-13,36,58,22,62.1,280,1,0,,1.7,0,79.7,1,8,1.69,4.8,5.17,4.95,7.8,QB,6-199
21,Nick Mullens,79.2,1,79.2,Sun,8,9,2022-11-06,27-230,MIN,@,WAS,W 20-17,1,1,0,100,-3,0,0,,0,0,79.2,0,0,0,-3,-3,-3,-3,QB,
22,Jared Goff,78.5,26,78.5,Sun,8,9,2022-11-06,28-023,DET,,GNB,W 15-9,14,26,12,53.8,137,2,1,,7.7,3.8,78.5,0,0,0,5.3,5.08,5.08,9.8,QB,1-1
23,Taylor Heinicke,77.8,28,77.8,Sun,9,9,2022-11-06,29-236,WAS,,MIN,L 17-20,15,28,13,53.6,149,2,1,,7.1,3.6,77.8,3,23,9.68,5.3,5.14,3.9,9.9,QB,
24,Davis Mills,72.9,22,72.9,Thu,8,9,2022-11-03,24-013,HOU,,PHI,L 17-29,13,22,9,59.1,154,2,2,,9.1,9.1,72.9,3,19,12,7,4.73,3.4,11.8,QB,3-67
25,Marcus Mariota,68.9,23,68.9,Sun,9,9,2022-11-06,29-007,ATL,,LAC,L 17-20,12,23,11,52.2,129,0,0,,0,0,68.9,2,15,8,5.6,5.61,4.56,10.8,QB,1-2
26,Aaron Rodgers,53.5,43,53.5,Sun,9,9,2022-11-06,38-339,GNB,@,DET,L 9-15,23,43,20,53.5,291,1,3,,2.3,7,53.5,1,8,2.27,6.8,4.09,3.82,12.7,QB,1-24
27,Malik Willis,49,16,49,Sun,8,9,2022-11-06,23-165,TEN,@,KAN,L 17-20 (OT),5,16,11,31.3,80,0,0,,0,0,49,3,23,15.79,5,5,3,16,QB,3-86
28,Josh Allen,46.8,34,46.8,Sun,8,9,2022-11-06,26-169,BUF,@,NYJ,L 17-20,18,34,16,52.9,205,0,2,,0,5.9,46.8,5,22,12.82,6,3.38,2.38,11.4,QB,1-7
29,Sam Ehlinger,45.6,29,45.6,Sun,9,9,2022-11-06,24-037,IND,@,NWE,L 3-26,15,29,14,51.7,103,0,1,1,0,3.4,45.6,9,60,23.68,3.6,2,-0.05,6.9,QB,6-218
30,P.J. Walker,0,10,0,Sun,9,9,2022-11-06,27-253,CAR,@,CIN,L 21-42,3,10,7,30,9,0,2,,0,20,0,0,0,0,0.9,-8.1,-8.1,3,QB,
