player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Allen Robinson,WR,29-081,9,10,LAR,ARI,home,44,6,44,6,4,44,11,0,66.7,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4
Terrace Marshall Jr,WR,22-154,10,10,CAR,ATL,home,43,2,43,2,1,43,43,0,50,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
Foster Moreau,TE,25-191,9,10,LVR,IND,home,43,4,43,4,3,43,14.3,1,75,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8
Tyler Lockett,WR,30-046,10,10,SEA,TAM,away,42,5,42,5,3,42,14,1,60,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7
Isaiah Hodgins,WR,24-023,9,10,NYG,HOU,home,41,2,41,2,2,41,20.5,0,100,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1000000000000005
Austin Hooper,TE,28-015,9,10,TEN,DEN,home,41,7,41,7,5,41,8.2,0,71.4,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6000000000000005
Chigoziem Okonkwo,TE,23-066,9,10,TEN,DEN,home,41,2,41,2,1,41,41,0,50,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6000000000000005
Jauan Jennings,WR,25-126,9,10,SFO,LAC,home,40,4,40,4,4,40,10,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Chris Olave,WR,22-139,10,10,NOR,PIT,away,40,5,40,5,3,40,13.3,0,60,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
Jaylen Warren,RB,24-012,9,10,PIT,NOR,home,40,3,40,3,3,40,13.3,0,100,13.3,37,9,37,9,37,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2
Austin Ekeler,RB,27-180,9,10,LAC,SFO,away,39,12,39,12,7,39,5.6,0,58.3,3.3,24,6,24,6,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8
Christian McCaffrey,RB,26-159,9,10,SFO,LAC,home,39,6,39,6,4,39,9.8,0,66.7,6.5,38,14,38,14,38,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.700000000000001
DeVonta Smith,WR,24-000,9,10,PHI,WAS,home,39,8,39,8,6,39,6.5,1,75,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
Marquise Goodwin,WR,31-359,10,10,SEA,TAM,away,38,2,38,2,2,38,19,1,100,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8
Drake London,WR,21-109,10,10,ATL,CAR,away,38,6,38,6,5,38,7.6,1,83.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3
Brandin Cooks,WR,29-049,9,10,HOU,NYG,away,37,7,37,7,4,37,9.3,0,57.1,5.3,5,1,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
KhaDarel Hodge,WR,27-311,10,10,ATL,CAR,away,37,2,37,2,2,37,18.5,1,100,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7
Jarvis Landry,WR,29-350,10,10,NOR,PIT,away,37,6,37,6,3,37,12.3,0,50,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2
Isaiah McKenzie,WR,27-218,9,10,BUF,MIN,home,37,4,37,4,4,37,9.3,0,100,9.3,18,1,18,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
Pat Freiermuth,TE,24-019,9,10,PIT,NOR,home,36,7,36,7,4,36,9,0,57.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
Michael Gallup,WR,26-254,9,10,DAL,GNB,away,35,7,35,7,4,35,8.8,0,57.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
K J Osborn,WR,25-156,9,10,MIN,BUF,away,35,11,35,11,4,35,8.8,0,36.4,3.2,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
Cade Otton,TE,23-212,10,10,TAM,SEA,home,35,3,35,3,3,35,11.7,0,100,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Noah Fant,TE,24-358,10,10,SEA,TAM,away,34,4,34,4,3,34,11.3,0,75,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
Olamide Zaccheaus,WR,25-110,10,10,ATL,CAR,away,34,4,34,4,2,34,17,0,50,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
Ameer Abdullah,RB,29-153,9,10,LVR,IND,home,33,4,33,4,4,33,8.3,0,100,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.300000000000001
Marvin Jones,WR,32-246,10,10,JAX,KAN,away,33,3,33,3,1,33,33,0,33.3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8000000000000003
Ray Ray McCloud,WR,26-029,9,10,SFO,LAC,home,33,1,33,1,1,33,33,0,100,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8000000000000003
JuJu Smith Schuster,WR,25-356,9,10,KAN,JAX,home,33,4,33,4,2,33,16.5,0,50,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.300000000000001
Amari Cooper,WR,28-149,9,10,CLE,MIA,away,32,3,32,3,3,32,10.7,0,100,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7
George Pickens,WR,21-254,9,10,PIT,NOR,home,32,4,32,4,3,32,10.7,0,75,8,23,2,23,2,23,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Mike Gesicki,TE,27-041,10,10,MIA,CLE,home,31,3,31,3,2,31,15.5,0,66.7,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
Kyren Williams,RB,22-079,9,10,LAR,ARI,home,30,3,30,3,3,30,10,0,100,10,9,1,9,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
D J Moore,WR,25-210,10,10,CAR,ATL,home,29,6,29,6,4,29,7.3,0,66.7,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
