,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
181,Cordarrelle Patterson,2,1,2,Thu,10,10,2022-11-10,31-238,ATL,@,CAR,L 15-25,1,1,2,2,0,100,2,,RB,1-29
182,Giovanni Ricci,2,1,2,Thu,10,10,2022-11-10,26-025,CAR,,ATL,W 25-15,1,1,2,2,0,100,2,,FB,
183,Brock Wright,2,1,2,Sun,9,10,2022-11-13,23-351,DET,@,CHI,W 31-30,1,1,2,2,1,100,2,1,TE,
184,Leonard Fournette,1,1,1,Sun,10,10,2022-11-13,27-299,TAM,,SEA,W 21-16,1,1,1,1,0,100,1,0,RB,1-4
185,Zander Horvath,1,1,1,Sun,9,10,2022-11-13,23-338,LAC,@,SFO,L 16-22,1,1,1,1,0,100,1,,FB,7-260
186,Sean McKeon,1,2,1,Sun,9,10,2022-11-13,24-320,DAL,@,GNB,L 28-31 (OT),2,1,1,1,0,50,0.5,,TE,
187,Cam Akers,0,1,0,Sun,9,10,2022-11-13,23-144,LAR,,ARI,L 17-27,1,0,0,,0,0,0,0,RB,2-52
188,Stephen Anderson,0,1,0,Sun,10,10,2022-11-13,29-287,ARI,@,LAR,W 27-17,1,0,0,,0,0,0,,TE,
189,Michael Bandy,0,1,0,Sun,9,10,2022-11-13,24-343,LAC,@,SFO,L 16-22,1,0,0,,0,0,0,,WR,
190,Tom Brady,0,1,0,Sun,10,10,2022-11-13,45-102,TAM,,SEA,W 21-16,1,0,0,,0,0,0,0,QB,6-199
191,Tyrie Cleveland,0,3,0,Sun,9,10,2022-11-13,25-054,DEN,@,TEN,L 10-17,3,0,0,,0,0,0,,WR,7-252
192,Keelan Cole,0,2,0,Sun,9,10,2022-11-13,29-207,LVR,,IND,L 20-25,2,0,0,,0,0,0,,WR,
193,Chase Edmonds,0,2,0,Sun,9,10,2022-11-13,26-214,DEN,@,TEN,L 10-17,2,1,0,0,0,50,0,,RB,4-134
194,Clyde Edwards-Helaire,0,2,0,Sun,9,10,2022-11-13,23-216,KAN,,JAX,W 27-17,2,0,0,,0,0,0,,RB,1-32
195,D'Onta Foreman,0,1,0,Thu,10,10,2022-11-10,26-200,CAR,,ATL,W 25-15,1,0,0,,0,0,0,0,RB,3-89
196,Zach Gentry,0,1,0,Sun,9,10,2022-11-13,26-064,PIT,,NOR,W 20-10,1,0,0,,0,0,0,,TE,5-141
197,Kenny Golladay,0,2,0,Sun,9,10,2022-11-13,29-010,NYG,,HOU,W 24-16,2,0,0,,0,0,0,,WR,3-96
198,Najee Harris,0,1,0,Sun,9,10,2022-11-13,24-249,PIT,,NOR,W 20-10,1,0,0,,0,0,0,0,RB,1-24
199,Peyton Hendershot,0,1,0,Sun,9,10,2022-11-13,23-204,DAL,@,GNB,L 28-31 (OT),1,0,0,,0,0,0,,TE,
200,O.J. Howard,0,1,0,Sun,9,10,2022-11-13,27-360,HOU,@,NYG,L 16-24,1,0,0,,0,0,0,,TE,1-19
