,,Rushing,,,,,,,,,,,,Rushing,,,,,,
83,Brandin Cooks,5,1,5,Sun,9,10,2022-11-13,29-049,HOU,@,NYG,L 16-24,1,5,5,0,0,WR,1-20
84,Keaontay Ingram,5,1,5,Sun,10,10,2022-11-13,23-018,ARI,@,LAR,W 27-17,1,5,5,0,,RB,6-201
85,Boston Scott,5,1,5,Mon,9,10,2022-11-14,27-201,PHI,,WAS,L 21-32,1,5,5,0,,RB,6-201
86,Derek Watt,5,2,5,Sun,9,10,2022-11-13,30-006,PIT,,NOR,W 20-10,2,5,2.5,0,2,FB,6-198
87,Jamycal Hasty,4,1,4,Sun,10,10,2022-11-13,26-062,JAX,@,KAN,L 17-27,1,4,4,0,,RB,
88,Duke Johnson,4,2,4,Sun,9,10,2022-11-13,29-051,BUF,,MIN,L 30-33 (OT),2,4,2,0,1,RB,3-77
89,Colt McCoy,4,4,4,Sun,10,10,2022-11-13,36-069,ARI,@,LAR,W 27-17,4,4,1,0,2,QB,3-85
90,Zack Moss,4,1,4,Sun,10,10,2022-11-13,24-333,IND,@,LVR,W 25-20,1,4,4,0,,RB,3-86
91,Bryce Perkins,4,3,4,Sun,9,10,2022-11-13,25-328,LAR,,ARI,L 17-27,3,4,1.3,0,,QB,
92,Aaron Rodgers,4,2,4,Sun,10,10,2022-11-13,38-346,GNB,,DAL,W 31-28 (OT),2,4,2,0,1,QB,1-24
93,Jimmy Garoppolo,3,5,3,Sun,9,10,2022-11-13,31-011,SFO,,LAC,W 22-16,5,3,0.6,1,2,QB,2-62
94,C.J. Ham,3,1,3,Sun,9,10,2022-11-13,29-114,MIN,@,BUF,W 33-30 (OT),1,3,3,1,1,FB,
95,Isaiah Spiller,3,4,3,Sun,9,10,2022-11-13,21-096,LAC,@,SFO,L 16-22,4,3,0.8,0,,RB,4-123
96,John Wolford,3,3,3,Sun,9,10,2022-11-13,27-028,LAR,,ARI,L 17-27,3,3,1,0,1,QB,
97,Rex Burkhead,2,1,2,Sun,9,10,2022-11-13,32-134,HOU,@,NYG,L 16-24,1,2,2,0,0,RB,6-190
98,Dontrell Hilliard,2,1,2,Sun,9,10,2022-11-13,27-260,TEN,,DEN,W 17-10,1,2,2,0,,RB,
99,Jerick McKinnon,2,1,2,Sun,9,10,2022-11-13,30-194,KAN,,JAX,W 27-17,1,2,2,0,0,RB,3-96
100,Sony Michel,2,1,2,Sun,9,10,2022-11-13,27-269,LAC,@,SFO,L 16-22,1,2,2,0,,RB,1-31
101,K.J. Osborn,2,1,2,Sun,9,10,2022-11-13,25-156,MIN,@,BUF,W 33-30 (OT),1,2,2,0,1,WR,5-176
102,Steven Sims,2,2,2,Sun,9,10,2022-11-13,25-227,PIT,,NOR,W 20-10,2,2,1,0,1,WR,
103,Amon-Ra St. Brown,2,1,2,Sun,9,10,2022-11-13,23-020,DET,@,CHI,W 31-30,1,2,2,0,0,WR,4-112
104,Ke'Shawn Vaughn,2,2,2,Sun,10,10,2022-11-13,25-193,TAM,,SEA,W 21-16,2,2,1,0,0,RB,3-76
105,Andy Dalton,1,3,1,Sun,10,10,2022-11-13,35-015,NOR,@,PIT,L 10-20,3,1,0.3,0,0,QB,2-35
106,Taysom Hill,1,3,1,Sun,10,10,2022-11-13,32-082,NOR,@,PIT,L 10-20,3,1,0.3,0,,TE,
107,Jordan Howard,1,1,1,Sun,10,10,2022-11-13,28-011,NOR,@,PIT,L 10-20,1,1,1,0,,RB,5-150
108,Mack Hollins,0,1,0,Sun,9,10,2022-11-13,29-058,LVR,,IND,L 20-25,1,0,0,0,0,WR,4-118
109,Durham Smythe,0,1,0,Sun,10,10,2022-11-13,27-096,MIA,,CLE,W 39-17,1,0,0,0,,TE,4-123
110,Tua Tagovailoa,0,1,0,Sun,10,10,2022-11-13,24-256,MIA,,CLE,W 39-17,1,0,0,0,0,QB,1-5
111,Skylar Thompson,0,3,0,Sun,10,10,2022-11-13,25-162,MIA,,CLE,W 39-17,3,0,0,0,0,QB,7-247
112,Michael Burton,-1,1,-1,Sun,9,10,2022-11-13,30-285,KAN,,JAX,W 27-17,1,-1,-1,0,,FB,5-168
113,Zamir White,-1,2,-1,Sun,9,10,2022-11-13,23-056,LVR,,IND,L 20-25,2,-1,-0.5,0,,RB,4-122
114,Tom Brady,-3,6,-3,Sun,10,10,2022-11-13,45-102,TAM,,SEA,W 21-16,6,-3,-0.5,0,0,QB,6-199
115,Malik Willis,-4,1,-4,Sun,9,10,2022-11-13,23-172,TEN,,DEN,W 17-10,1,-4,-4,0,,QB,3-86
116,Wan'Dale Robinson,-5,1,-5,Sun,9,10,2022-11-13,21-312,NYG,,HOU,W 24-16,1,-5,-5,0,0,WR,2-43
