,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
38,Dontrell Hilliard,61,4,Sun,1,1,2022-09-11,27-197,TEN,,NYG,L 20-21,4,3,61,20.3,2,75,15.3,3,RB,
39,Dallas Goedert,60,4,Sun,1,1,2022-09-11,27-251,PHI,@,DET,W 38-35,4,3,60,20,0,75,15,3,TE,2-49
40,Donovan Peoples-Jones,60,11,Sun,1,1,2022-09-11,23-204,CLE,@,CAR,W 26-24,11,6,60,10,0,54.5,5.5,3,WR,6-187
41,Rashod Bateman,59,5,Sun,1,1,2022-09-11,22-286,BAL,@,NYJ,W 24-9,5,2,59,29.5,1,40,11.8,1,WR,1-27
42,Richie James,59,6,Sun,1,1,2022-09-11,27-006,NYG,@,TEN,W 21-20,6,5,59,11.8,0,83.3,9.8,3,WR,7-240
43,Terry McLaurin,58,4,Sun,1,1,2022-09-11,26-361,WAS,,JAX,W 28-22,4,2,58,29,1,50,14.5,2,WR,3-76
44,Michael Thomas,57,8,Sun,1,1,2022-09-11,29-192,NOR,@,ATL,W 27-26,8,5,57,11.4,2,62.5,7.1,4,WR,2-47
45,Treylon Burks,55,5,Sun,1,1,2022-09-11,22-172,TEN,,NYG,L 20-21,5,3,55,18.3,0,60,11,2,WR,1-18
46,Diontae Johnson,55,12,Sun,1,1,2022-09-11,26-068,PIT,@,CIN,W 23-20 (OT),12,7,55,7.9,0,58.3,4.6,2,WR,3-66
47,Jakobi Meyers,55,6,Sun,1,1,2022-09-11,25-306,NWE,@,MIA,L 7-20,6,4,55,13.8,0,66.7,9.2,2,WR,
48,Curtis Samuel,55,11,Sun,1,1,2022-09-11,26-031,WAS,,JAX,W 28-22,11,8,55,6.9,1,72.7,5,5,WR,2-40
49,Devin Duvernay,54,4,Sun,1,1,2022-09-11,24-364,BAL,@,NYJ,W 24-9,4,4,54,13.5,2,100,13.5,2,WR,3-92
50,Gerald Everett,54,4,Sun,1,1,2022-09-11,28-078,LAC,,LVR,W 24-19,4,3,54,18,1,75,13.5,2,TE,2-44
51,Ian Thomas,53,3,Sun,1,1,2022-09-11,26-097,CAR,,CLE,L 24-26,3,2,53,26.5,0,66.7,17.7,2,TE,4-101
52,Mark Andrews,52,7,Sun,1,1,2022-09-11,27-005,BAL,@,NYJ,W 24-9,7,5,52,10.4,0,71.4,7.4,3,TE,3-86
53,Andrew Beck,52,3,Mon,1,1,2022-09-12,26-120,DEN,@,SEA,L 16-17,3,2,52,26,0,66.7,17.3,2,FB,
54,DJ Chark,52,8,Sun,1,1,2022-09-11,25-353,DET,,PHI,L 35-38,8,4,52,13,1,50,6.5,3,WR,2-61
55,Garrett Wilson,52,8,Sun,1,1,2022-09-11,22-051,NYJ,,BAL,L 9-24,8,4,52,13,0,50,6.5,2,WR,1-10
56,Dante Pettis,51,1,Sun,1,1,2022-09-11,26-323,CHI,,SFO,W 19-10,1,1,51,51,1,100,51,1,WR,2-44
57,Nyheim Hines,50,6,Sun,1,1,2022-09-11,25-303,IND,@,HOU,T 20-20 (OT),6,6,50,8.3,0,100,8.3,3,RB,4-104
58,Elijah Moore,49,7,Sun,1,1,2022-09-11,22-168,NYJ,,BAL,L 9-24,7,5,49,9.8,0,71.4,7,3,WR,2-34
59,Olamide Zaccheaus,49,4,Sun,1,1,2022-09-11,25-050,ATL,,NOR,L 26-27,4,4,49,12.3,0,100,12.3,1,WR,
60,AJ Dillon,46,6,Sun,1,1,2022-09-11,24-132,GNB,@,MIN,L 7-23,6,5,46,9.2,0,83.3,7.7,2,RB,2-62
61,Ashton Dulin,46,6,Sun,1,1,2022-09-11,25-119,IND,@,HOU,T 20-20 (OT),6,3,46,15.3,0,50,7.7,2,WR,
62,Hayden Hurst,46,8,Sun,1,1,2022-09-11,29-018,CIN,,PIT,L 20-23 (OT),8,5,46,9.2,0,62.5,5.8,3,TE,1-25
63,Logan Thomas,45,6,Sun,1,1,2022-09-11,31-072,WAS,,JAX,W 28-22,6,3,45,15,0,50,7.5,2,TE,4-120
64,Marquez Valdes-Scantling,44,4,Sun,1,1,2022-09-11,27-336,KAN,@,ARI,W 44-21,4,4,44,11,0,100,11,3,WR,5-174
65,Marquise Brown,43,6,Sun,1,1,2022-09-11,25-099,ARI,,KAN,L 21-44,6,4,43,10.8,1,66.7,7.2,2,WR,1-25
66,Will Dissly,43,3,Mon,1,1,2022-09-12,26-066,SEA,,DEN,W 17-16,3,3,43,14.3,1,100,14.3,1,TE,4-120
67,Juwan Johnson,43,5,Sun,1,1,2022-09-11,25-363,NOR,@,ATL,W 27-26,5,2,43,21.5,0,40,8.6,1,TE,
68,D.J. Moore,43,6,Sun,1,1,2022-09-11,25-150,CAR,,CLE,L 24-26,6,3,43,14.3,0,50,7.2,2,WR,1-24
69,Colby Parkinson,43,2,Mon,1,1,2022-09-12,23-247,SEA,,DEN,W 17-16,2,2,43,21.5,1,100,21.5,2,TE,4-133
70,Kendrick Bourne,41,1,Sun,1,1,2022-09-11,27-038,NWE,@,MIA,L 7-20,1,1,41,41,0,100,41,1,WR,
71,Chris Olave,41,3,Sun,1,1,2022-09-11,22-076,NOR,@,ATL,W 27-26,3,3,41,13.7,0,100,13.7,2,WR,1-11
72,Brandon Aiyuk,40,3,Sun,1,1,2022-09-11,24-178,SFO,@,CHI,L 10-19,3,2,40,20,0,66.7,13.3,1,WR,1-25
73,Michael Carter,40,9,Sun,1,1,2022-09-11,23-127,NYJ,,BAL,L 9-24,9,7,40,5.7,0,77.8,4.4,3,RB,4-107
74,Jahan Dotson,40,5,Sun,1,1,2022-09-11,22-173,WAS,,JAX,W 28-22,5,3,40,13.3,2,60,8,2,WR,1-16
75,Chase Edmonds,40,4,Sun,1,1,2022-09-11,26-151,MIA,,NWE,W 20-7,4,4,40,10,0,100,10,3,RB,4-134
76,Zach Gentry,40,2,Sun,1,1,2022-09-11,26-001,PIT,@,CIN,W 23-20 (OT),2,2,40,20,0,100,20,1,TE,5-141
77,Tyler Higbee,39,11,Thu,1,1,2022-09-08,29-250,LAR,,BUF,L 10-31,11,5,39,7.8,0,45.5,3.5,4,TE,4-110
78,Breece Hall,38,9,Sun,1,1,2022-09-11,21-103,NYJ,,BAL,L 9-24,9,6,38,6.3,0,66.7,4.2,2,RB,2-36
79,T.J. Hockenson,38,7,Sun,1,1,2022-09-11,25-070,DET,,PHI,L 35-38,7,4,38,9.5,0,57.1,5.4,3,TE,1-8
80,KhaDarel Hodge,38,3,Sun,1,1,2022-09-11,27-251,ATL,,NOR,L 26-27,3,3,38,12.7,0,100,12.7,1,WR,
81,O.J. Howard,38,2,Sun,1,1,2022-09-11,27-297,HOU,,IND,T 20-20 (OT),2,2,38,19,2,100,19,2,TE,1-19
82,Marvin Jones,38,6,Sun,1,1,2022-09-11,32-183,JAX,@,WAS,L 22-28,6,4,38,9.5,0,66.7,6.3,3,WR,5-166
83,Braxton Berrios,37,6,Sun,1,1,2022-09-11,26-340,NYJ,,BAL,L 9-24,6,5,37,7.4,0,83.3,6.2,2,WR,6-210
84,Parris Campbell,37,4,Sun,1,1,2022-09-11,25-057,IND,@,HOU,T 20-20 (OT),4,3,37,12.3,0,75,9.3,3,WR,2-59
85,Romeo Doubs,37,5,Sun,1,1,2022-09-11,22-151,GNB,@,MIN,L 7-23,5,4,37,9.3,0,80,7.4,1,WR,4-132
86,Austin Ekeler,36,4,Sun,1,1,2022-09-11,27-117,LAC,,LVR,W 24-19,4,4,36,9,0,100,9,3,RB,
87,D.K. Metcalf,36,7,Mon,1,1,2022-09-12,24-272,SEA,,DEN,W 17-16,7,7,36,5.1,0,100,5.1,1,WR,2-64
88,Mike Strachan,36,2,Sun,1,1,2022-09-11,25-029,IND,@,HOU,T 20-20 (OT),2,2,36,18,0,100,18,2,WR,7-229
89,Adam Thielen,36,4,Sun,1,1,2022-09-11,32-020,MIN,,GNB,W 23-7,4,3,36,12,0,75,9,2,WR,
90,Robert Tonyan,36,5,Sun,1,1,2022-09-11,28-134,GNB,@,MIN,L 7-23,5,3,36,12,0,60,7.2,1,TE,
91,Chris Godwin,35,3,Sun,1,1,2022-09-11,26-196,TAM,@,DAL,W 19-3,3,3,35,11.7,0,100,11.7,1,WR,3-84
92,Christian Watson,34,4,Sun,1,1,2022-09-11,23-122,GNB,@,MIN,L 7-23,4,2,34,17,0,50,8.5,1,WR,2-34
93,Eno Benjamin,33,4,Sun,1,1,2022-09-11,23-151,ARI,,KAN,L 21-44,4,3,33,11,0,75,8.3,1,RB,7-222
94,Tyler Boyd,33,7,Sun,1,1,2022-09-11,27-300,CIN,,PIT,L 20-23 (OT),7,4,33,8.3,1,57.1,4.7,3,WR,2-55
95,Albert Okwuegbunam,33,6,Mon,1,1,2022-09-12,24-140,DEN,@,SEA,L 16-17,6,5,33,6.6,0,83.3,5.5,2,TE,4-118
96,Samaje Perine,33,5,Sun,1,1,2022-09-11,26-360,CIN,,PIT,L 20-23 (OT),5,3,33,11,0,60,6.6,1,RB,4-114
97,Jonnu Smith,33,4,Sun,1,1,2022-09-11,27-020,NWE,@,MIA,L 7-20,4,3,33,11,0,75,8.3,2,TE,3-100
98,Clyde Edwards-Helaire,32,3,Sun,1,1,2022-09-11,23-153,KAN,@,ARI,W 44-21,3,3,32,10.7,2,100,10.7,3,RB,1-32
99,Chris Moore,31,3,Sun,1,1,2022-09-11,29-087,HOU,,IND,T 20-20 (OT),3,3,31,10.3,0,100,10.3,2,WR,4-107
100,D'Andre Swift,31,3,Sun,1,1,2022-09-11,23-240,DET,,PHI,L 35-38,3,3,31,10.3,0,100,10.3,2,RB,2-35
101,Saquon Barkley,30,7,Sun,1,1,2022-09-11,25-214,NYG,@,TEN,W 21-20,7,6,30,5,0,85.7,4.3,0,RB,1-2
102,Rex Burkhead,30,8,Sun,1,1,2022-09-11,32-071,HOU,,IND,T 20-20 (OT),8,5,30,6,0,62.5,3.8,1,RB,6-190
103,Skyy Moore,30,1,Sun,1,1,2022-09-11,22-001,KAN,@,ARI,W 44-21,1,1,30,30,0,100,30,1,WR,2-54
104,James Conner,29,6,Sun,1,1,2022-09-11,27-129,ARI,,KAN,L 21-44,6,5,29,5.8,0,83.3,4.8,3,RB,3-105
105,CeeDee Lamb,29,11,Sun,1,1,2022-09-11,23-156,DAL,,TAM,L 3-19,11,2,29,14.5,0,18.2,2.6,2,WR,1-17
106,Nelson Agholor,28,5,Sun,1,1,2022-09-11,29-110,NWE,@,MIA,L 7-20,5,3,28,9.3,0,60,5.6,1,WR,1-20
107,Jamison Crowder,28,4,Thu,1,1,2022-09-08,29-083,BUF,@,LAR,W 31-10,4,3,28,9.3,0,75,7,3,WR,4-105
108,Josiah Deguara,28,2,Sun,1,1,2022-09-11,25-209,GNB,@,MIN,L 7-23,2,2,28,14,0,100,14,2,TE,3-94
109,Evan Engram,28,4,Sun,1,1,2022-09-11,28-009,JAX,@,WAS,L 22-28,4,4,28,7,0,100,7,1,TE,1-23
110,Tyler Lockett,28,4,Mon,1,1,2022-09-12,29-349,SEA,,DEN,W 17-16,4,3,28,9.3,0,75,7,2,WR,3-69
111,Josh Reynolds,28,3,Sun,1,1,2022-09-11,27-207,DET,,PHI,L 35-38,3,1,28,28,0,33.3,9.3,1,WR,4-117
112,Tee Higgins,27,2,Sun,1,1,2022-09-11,23-236,CIN,,PIT,L 20-23 (OT),2,2,27,13.5,0,100,13.5,2,WR,2-33
113,Aaron Jones,27,5,Sun,1,1,2022-09-11,27-283,GNB,@,MIN,L 7-23,5,3,27,9,0,60,5.4,1,RB,5-182
114,Jerick McKinnon,27,4,Sun,1,1,2022-09-11,30-131,KAN,@,ARI,W 44-21,4,3,27,9,0,75,6.8,1,RB,3-96
115,Mo Alie-Cox,26,2,Sun,1,1,2022-09-11,28-357,IND,@,HOU,T 20-20 (OT),2,2,26,13,0,100,13,2,TE,
116,Nico Collins,26,3,Sun,1,1,2022-09-11,23-176,HOU,,IND,T 20-20 (OT),3,2,26,13,0,66.7,8.7,1,WR,3-89
117,Darrell Henderson,26,5,Thu,1,1,2022-09-08,25-020,LAR,,BUF,L 10-31,5,5,26,5.2,0,100,5.2,1,RB,3-70
118,Ben Skowronek,25,6,Thu,1,1,2022-09-08,25-073,LAR,,BUF,L 10-31,6,4,25,6.3,0,66.7,4.2,2,WR,7-249
119,Kareem Hunt,24,4,Sun,1,1,2022-09-11,27-036,CLE,@,CAR,W 26-24,4,4,24,6,1,100,6,2,RB,3-86
120,Christian McCaffrey,24,5,Sun,1,1,2022-09-11,26-096,CAR,,CLE,L 24-26,5,4,24,6,0,80,4.8,1,RB,1-8
121,Tre' McKitty,24,4,Sun,1,1,2022-09-11,23-242,LAC,,LVR,W 24-19,4,3,24,8,0,75,6,,TE,3-97
122,David Montgomery,24,4,Sun,1,1,2022-09-11,25-096,CHI,,SFO,W 19-10,4,3,24,8,0,75,6,1,RB,3-73
123,Armani Rogers,23,1,Sun,1,1,2022-09-11,24-281,WAS,,JAX,W 28-22,1,1,23,23,0,100,23,1,TE,
124,Kenny Golladay,22,2,Sun,1,1,2022-09-11,28-312,NYG,@,TEN,W 21-20,2,2,22,11,0,100,11,1,WR,3-96
125,Marquise Goodwin,22,2,Mon,1,1,2022-09-12,31-297,SEA,,DEN,W 17-16,2,2,22,11,0,100,11,1,WR,3-78
126,Kylen Granson,22,7,Sun,1,1,2022-09-11,24-168,IND,@,HOU,T 20-20 (OT),7,3,22,7.3,0,42.9,3.1,1,TE,4-127
127,Cody Hollister,22,1,Sun,1,1,2022-09-11,28-297,TEN,,NYG,L 20-21,1,1,22,22,0,100,22,1,WR,
128,Byron Pringle,22,2,Sun,1,1,2022-09-11,28-298,CHI,,SFO,W 19-10,2,1,22,22,0,50,11,1,WR,
129,Brandon Bolden,21,2,Sun,1,1,2022-09-11,32-228,LVR,@,LAC,L 19-24,2,2,21,10.5,1,100,10.5,1,RB,
130,Zack Moss,21,6,Thu,1,1,2022-09-08,24-267,BUF,@,LAR,W 31-10,6,6,21,3.5,0,100,3.5,0,RB,3-86
131,Hunter Renfrow,21,6,Sun,1,1,2022-09-11,26-264,LVR,@,LAC,L 19-24,6,3,21,7,0,50,3.5,2,WR,5-149
132,Hunter Henry,20,3,Sun,1,1,2022-09-11,27-278,NWE,@,MIA,L 7-20,3,2,20,10,0,66.7,6.7,1,TE,2-35
133,Ray-Ray McCloud,20,2,Sun,1,1,2022-09-11,25-331,SFO,@,CHI,L 10-19,2,1,20,20,0,50,10,1,WR,6-187
134,J.D. McKissic,20,3,Sun,1,1,2022-09-11,29-027,WAS,,JAX,W 28-22,3,3,20,6.7,0,100,6.7,1,RB,
135,Cedrick Wilson Jr.,20,2,Sun,1,1,2022-09-11,26-295,MIA,,NWE,W 20-7,2,2,20,10,0,100,10,,WR,6-208
136,Isaiah McKenzie,19,3,Thu,1,1,2022-09-08,27-152,BUF,@,LAR,W 31-10,3,2,19,9.5,1,66.7,6.3,2,WR,5-172
137,Kyle Pitts,19,7,Sun,1,1,2022-09-11,21-340,ATL,,NOR,L 26-27,7,2,19,9.5,0,28.6,2.7,1,TE,1-4
138,Demarcus Robinson,19,4,Sun,1,1,2022-09-11,27-355,BAL,@,NYJ,W 24-9,4,2,19,9.5,0,50,4.8,1,WR,4-126
139,Anthony Schwartz,19,2,Sun,1,1,2022-09-11,22-006,CLE,@,CAR,W 26-24,2,1,19,19,0,50,9.5,1,WR,3-91
140,Geoff Swaim,19,4,Sun,1,1,2022-09-11,28-360,TEN,,NYG,L 20-21,4,3,19,6.3,0,75,4.8,1,TE,7-246
141,Harrison Bryant,18,4,Sun,1,1,2022-09-11,24-141,CLE,@,CAR,W 26-24,4,2,18,9,0,50,4.5,1,TE,4-115
142,Chase Claypool,18,6,Sun,1,1,2022-09-11,24-066,PIT,@,CIN,W 23-20 (OT),6,4,18,4.5,0,66.7,3,1,WR,2-49
143,Dalvin Cook,18,5,Sun,1,1,2022-09-11,27-032,MIN,,GNB,W 23-7,5,3,18,6,0,60,3.6,1,RB,2-41
144,Travis Etienne,18,4,Sun,1,1,2022-09-11,23-228,JAX,@,WAS,L 22-28,4,2,18,9,0,50,4.5,1,RB,1-25
145,Equanimeous St. Brown,18,3,Sun,1,1,2022-09-11,25-346,CHI,,SFO,W 19-10,3,1,18,18,1,33.3,6,1,WR,6-207
146,Sammy Watkins,18,3,Sun,1,1,2022-09-11,29-089,GNB,@,MIN,L 7-23,3,3,18,6,0,100,6,2,WR,1-4
147,Pharaoh Brown,17,1,Sun,1,1,2022-09-11,28-130,HOU,,IND,T 20-20 (OT),1,1,17,17,0,100,17,1,TE,
148,Amari Cooper,17,6,Sun,1,1,2022-09-11,28-086,CLE,@,CAR,W 26-24,6,3,17,5.7,0,50,2.8,,WR,1-4
149,Johnny Mundt,17,3,Sun,1,1,2022-09-11,27-292,MIN,,GNB,W 23-7,3,3,17,5.7,0,100,5.7,1,TE,
150,Juwann Winfree,17,1,Sun,1,1,2022-09-11,26-007,GNB,@,MIN,L 7-23,1,1,17,17,0,100,17,1,WR,6-187
151,Tyler Conklin,16,7,Sun,1,1,2022-09-11,27-043,NYJ,,BAL,L 9-24,7,4,16,4,1,57.1,2.3,1,TE,5-157
152,Noah Fant,16,4,Mon,1,1,2022-09-12,24-296,SEA,,DEN,W 17-16,4,3,16,5.3,0,75,4,1,TE,1-20
153,Mecole Hardman,16,6,Sun,1,1,2022-09-11,24-183,KAN,@,ARI,W 44-21,6,3,16,5.3,1,50,2.7,2,WR,2-56
154,Mack Hollins,16,1,Sun,1,1,2022-09-11,28-360,LVR,@,LAC,L 19-24,1,1,16,16,0,100,16,1,WR,4-118
155,Dennis Houston,16,5,Sun,1,1,2022-09-11,23-140,DAL,,TAM,L 3-19,5,2,16,8,0,40,3.2,,WR,
156,Josh Jacobs,16,1,Sun,1,1,2022-09-11,24-212,LVR,@,LAC,L 19-24,1,1,16,16,0,100,16,1,RB,1-24
157,Raheem Mostert,16,1,Sun,1,1,2022-09-11,30-155,MIA,,NWE,W 20-7,1,1,16,16,0,100,16,1,RB,
158,Cordarrelle Patterson,16,5,Sun,1,1,2022-09-11,31-178,ATL,,NOR,L 26-27,5,3,16,5.3,0,60,3.2,1,RB,1-29
159,Kenyan Drake,15,1,Sun,1,1,2022-09-11,28-228,BAL,@,NYJ,W 24-9,1,1,15,15,0,100,15,1,RB,3-73
160,Ty Montgomery,15,4,Sun,1,1,2022-09-11,29-232,NWE,@,MIA,L 7-20,4,3,15,5,1,75,3.8,1,WR,3-94
161,Randall Cobb,14,3,Sun,1,1,2022-09-11,32-020,GNB,@,MIN,L 7-23,3,2,14,7,0,66.7,4.7,2,WR,2-64
162,Zach Ertz,14,4,Sun,1,1,2022-09-11,31-305,ARI,,KAN,L 21-44,4,2,14,7,1,50,3.5,1,TE,2-35
163,Melvin Gordon,14,2,Mon,1,1,2022-09-12,29-152,DEN,@,SEA,L 16-17,2,2,14,7,0,100,7,0,RB,1-15
164,Joshua Kelley,14,2,Sun,1,1,2022-09-11,24-295,LAC,,LVR,W 24-19,2,2,14,7,0,100,7,1,RB,4-112
165,K.J. Osborn,14,4,Sun,1,1,2022-09-11,25-093,MIN,,GNB,W 23-7,4,3,14,4.7,0,75,3.5,,WR,5-176
166,Tony Pollard,14,2,Sun,1,1,2022-09-11,25-134,DAL,,TAM,L 3-19,2,2,14,7,0,100,7,,RB,4-128
167,Deebo Samuel,14,7,Sun,1,1,2022-09-11,26-239,SFO,@,CHI,L 10-19,7,2,14,7,0,28.6,2,0,WR,2-36
168,Devin Singletary,14,2,Thu,1,1,2022-09-08,25-005,BUF,@,LAR,W 31-10,2,2,14,7,0,100,7,2,RB,3-74
169,Durham Smythe,14,2,Sun,1,1,2022-09-11,27-033,MIA,,NWE,W 20-7,2,1,14,14,0,50,7,1,TE,4-123
170,Jonathan Taylor,14,7,Sun,1,1,2022-09-11,23-235,IND,@,HOU,T 20-20 (OT),7,4,14,3.5,0,57.1,2,0,RB,2-41
171,Russell Gage,13,2,Sun,1,1,2022-09-11,26-232,TAM,@,DAL,W 19-3,2,2,13,6.5,0,100,6.5,,WR,6-194
172,A.J. Green,13,4,Sun,1,1,2022-09-11,34-042,ARI,,KAN,L 21-44,4,2,13,6.5,0,50,3.3,1,WR,1-4
173,Nick Westbrook-Ikhine,13,2,Sun,1,1,2022-09-11,25-174,TEN,,NYG,L 20-21,2,1,13,13,0,50,6.5,1,WR,
174,Robert Woods,13,2,Sun,1,1,2022-09-11,30-154,TEN,,NYG,L 20-21,2,1,13,13,0,50,6.5,1,WR,2-41
175,Simi Fehoko,12,3,Sun,1,1,2022-09-11,24-310,DAL,,TAM,L 3-19,3,2,12,6,0,66.7,4,,WR,5-179
176,Kenneth Gainwell,12,4,Sun,1,1,2022-09-11,23-181,PHI,@,DET,W 38-35,4,2,12,6,0,50,3,1,RB,5-150
177,Allen Robinson,12,2,Thu,1,1,2022-09-08,29-015,LAR,,BUF,L 10-31,2,1,12,12,0,50,6,,WR,2-61
178,Shi Smith,12,3,Sun,1,1,2022-09-11,23-320,CAR,,CLE,L 24-26,3,1,12,12,0,33.3,4,1,WR,6-204
179,Ross Dwelley,11,2,Sun,1,1,2022-09-11,27-228,SFO,@,CHI,L 10-19,2,1,11,11,0,50,5.5,1,TE,
180,Chigoziem Okonkwo,11,1,Sun,1,1,2022-09-11,23-003,TEN,,NYG,L 20-21,1,1,11,11,0,100,11,1,TE,4-143
181,Leonard Fournette,10,2,Sun,1,1,2022-09-11,27-236,TAM,@,DAL,W 19-3,2,2,10,5,0,100,5,0,RB,1-4
182,Noah Gray,10,2,Sun,1,1,2022-09-11,23-134,KAN,@,ARI,W 44-21,2,1,10,10,0,50,5,1,TE,5-162
183,Damien Harris,10,3,Sun,1,1,2022-09-11,25-212,NWE,@,MIA,L 7-20,3,2,10,5,0,66.7,3.3,1,RB,3-87
