,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
16,New York Giants,16,21.8,359.2,62.9,5.7,1.13,0.81,21.7,20.6,33.3,214.4,1.31,0.31,6,11.8,27.2,144.8,0.94,5.3,7.69,6.69,49.3,2.19,38.8,8.8,-5.43
17,Green Bay Packers,16,21.9,337.4,58.2,5.8,1.5,0.44,18.8,18.2,27.8,195.6,1.38,1.06,6.6,9.44,28.4,141.8,1,5,7.63,5.94,52.6,1.69,38,14.7,-3.33
18,Los Angeles Chargers,16,22.1,338.3,58.8,5.8,1.38,0.56,18.5,18.6,30.1,196.3,1.31,0.81,6.1,10.4,26.3,142.1,1,5.4,6.69,4.81,45.4,1.38,36.9,11.4,-4.07
19,Cleveland Browns,16,22.1,331.1,60.9,5.4,1.19,0.5,19.1,18.9,30.6,196.7,1.19,0.69,6,9.75,28.2,134.4,1.25,4.8,7.44,5.25,43.4,1.94,37.6,10.1,-2.94
20,Kansas City Chiefs,16,22.3,331.3,64.1,5.2,1.13,0.5,19.8,24.1,36.4,223.5,2,0.63,5.7,12.1,24.6,107.8,0.63,4.4,6,5.75,42.9,1.63,36,9.7,-2.89
21,Los Angeles Rams,16,22.8,337.3,61.2,5.5,1.25,0.38,19.3,22.3,32.8,227.3,1.38,0.88,6.5,12.1,26.2,109.9,0.75,4.2,6,4.88,41.9,1.25,41.3,11.9,-4.92
22,Carolina Panthers,16,22.9,353.1,65.3,5.4,1,0.38,20.6,23,34.7,231.7,1.5,0.63,6.3,11.7,28.5,121.4,1.06,4.3,7.38,6.44,53.2,1.56,35.5,8.2,-3.51
23,Atlanta Falcons,16,23.1,370.9,64.3,5.8,1,0.38,21.2,21.9,32.9,237.9,1.5,0.63,6.9,12,30,133,0.94,4.4,8.25,6.06,48.4,0.94,44.7,10.1,-8.1
24,Seattle Seahawks,16,24.1,367.5,66.1,5.6,1.5,0.69,20.8,20.6,32.6,217,1.44,0.81,6.2,11.3,31.1,150.5,1.25,4.8,7.75,5.94,48.9,1.75,37.5,12.5,-5.59
25,Las Vegas Raiders,16,24.2,366.7,63.8,5.7,0.81,0.44,21.2,23.8,35.3,246.8,1.5,0.38,6.7,12.3,27,119.9,1.06,4.4,7.19,5.5,44.7,1.69,40.2,7.7,-7.2
26,Houston Texans,16,24.3,378.4,66.5,5.7,1.5,0.63,21.7,19.6,30.4,209.8,0.81,0.88,6.4,11.4,33.8,168.6,1.5,5,8.81,5.81,47.7,1.44,35.2,11.5,-4.79
27,Miami Dolphins,16,24.6,347.3,64.6,5.4,0.88,0.38,20.3,24.9,36.9,240.2,1.69,0.5,6.1,11.9,25.1,107.1,0.94,4.3,6.06,4.88,46.6,2.31,38.3,8,-4.74
28,Indianapolis Colts,16,24.7,332.4,64.3,5.2,1.13,0.63,20.4,21.3,31.1,204.3,1.38,0.5,6.1,10.6,30.5,128.1,1.25,4.2,7.75,5.13,42.8,2.06,36,9.1,-3.2
29,Arizona Cardinals,16,25.7,351.3,63.4,5.5,1.25,0.56,21.4,24.9,35.8,235.8,1.63,0.69,6.2,13,25.6,115.4,1.19,4.5,7.13,5.75,46.7,1.25,41,11.2,-4.51
30,Detroit Lions,16,25.7,398.7,63.7,6.3,1.25,0.56,22.5,21,33.3,249.4,1.56,0.69,7,12.5,28.1,149.3,1.38,5.3,8.06,6.19,48.9,1.94,41.1,11.3,-9.96
31,Minnesota Vikings,16,25.9,396.8,66.8,5.9,1.44,0.63,21.6,24.7,36.9,273.4,1.38,0.81,7,13.4,27.6,123.4,1.06,4.5,6.81,6.81,56.6,1.38,42.3,11.5,-5.36
32,Chicago Bears,16,27.1,369.3,60.8,6.1,1.31,0.5,20.8,18.4,28,210.9,1.31,0.81,7.2,10.6,31.5,158.3,1.81,5,8.69,4.75,38.2,1.56,40.7,11.4,-9.54
