Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,ex_ppd,home_away
Jordan Love,QB,GB,NYG,7.126,20,128.15,0.5,0,0,0,0,0.3563,Home
Brian Hoyer,QB,NE,DET,9.826,20,158.15,0.875,0,0,0,0,0.4913,Home
Trace McSorley,QB,ARI,PHI,8.175535714285715,20,94.5,0.625,18.955357142857142,0,0,0,0.4087767857142858,Home
Tyrod Taylor,QB,NYG,GB,5.068051948051949,20,89.5,0.5,24.88051948051948,0,1,1,0.2534025974025974,Away
Malik Willis,QB,TEN,WAS,9.991855327468231,22,132.9,1.25,16.758553274682306,0,1,0,0.4541752421576469,Away
Case Keenum,QB,BUF,PIT,8.743852813852815,20,125.75,0.875,2.1385281385281383,0,0,0,0.43719264069264074,Home
Nick Foles,QB,IND,DEN,4.732,20,88.3,0.3,0,0,0,0,0.2366,Away
Sam Ehlinger,QB,IND,DEN,4.732,20,88.3,0.3,0,0,0,0,0.2366,Away
Brett Rypien,QB,DEN,IND,7.12,20,108,0.7,0,0,0,0,0.356,Home
Mason Rudolph,QB,PIT,BUF,4.516,20,75.4,0.375,0,0,0,0,0.2258,Away
Chase Daniel,QB,LAC,CLE,6.756,20,106.4,0.625,0,0,0,0,0.3378,Away
Easton Stick,QB,LAC,CLE,6.756,20,106.4,0.625,0,0,0,0,0.3378,Away
Joshua Dobbs,QB,CLE,LAC,9.296,20,119.9,1.125,0,0,0,0,0.4648,Home
Kellen Mond,QB,CLE,LAC,9.296,20,119.9,1.125,0,0,0,0,0.4648,Home
Kyle Allen,QB,HOU,JAX,7.23,20,118.25,0.625,0,0,0,0,0.36150000000000004,Away
C J Beathard,QB,JAX,HOU,6.806,20,120.15,0.5,0,0,0,0,0.3403,Home
Trevor Siemian,QB,CHI,MIN,6.7700000000000005,20,131.75,0.375,0,0,0,0,0.3385,Away
Nick Mullens,QB,MIN,CHI,4.87,20,84.25,0.375,0,0,0,0,0.2435,Home
Nate Sudfeld,QB,DET,NE,8.219999999999999,20,105.5,1,0,0,0,0,0.4109999999999999,Away
Drew Lock,QB,SEA,NO,5.57,20,101.75,0.375,0,0,0,0,0.2785,Away
Jake Luton,QB,NO,SEA,8.98,20,137,0.875,0,0,0,0,0.449,Home
Skylar Thompson,QB,MIA,NYJ,7.856000000000001,20,108.9,0.875,0,0,0,0,0.39280000000000004,Away
Mike White,QB,NYJ,MIA,9.986,20,149.65,1,0,0,0,0,0.4993,Home
Desmond Ridder,QB,ATL,TB,7.2860000000000005,20,107.15,0.75,0,0,0,0,0.3643,Away
Blaine Gabbert,QB,TB,ATL,8.7,20,130,0.875,0,0,0,0,0.43499999999999994,Home
Kyle Trask,QB,TB,ATL,8.7,20,130,0.875,0,0,0,0,0.43499999999999994,Home
Taylor Heinicke,QB,WAS,TEN,10.48,21,137,1.25,0,0,0,0,0.4990476190476191,Home
Sam Howell,QB,WAS,TEN,10.48,20,137,1.25,0,0,0,0,0.524,Home
Brock Purdy,QB,SF,CAR,6.74,20,106,0.625,0,0,0,0,0.337,Away
P J Walker,QB,CAR,SF,4.226000000000001,20,80.65,0.25,0,0,0,0,0.21130000000000004,Home
Sam Darnold,QB,CAR,SF,4.226000000000001,20,80.65,0.25,0,0,0,0,0.21130000000000004,Home
Matt Corral,QB,CAR,SF,4.226000000000001,20,80.65,0.25,0,0,0,0,0.21130000000000004,Home
Gardner Minshew II,QB,PHI,ARI,9.116,20,127.9,1,0,0,0,0,0.4558,Away
Ian Book,QB,PHI,ARI,9.116,20,127.9,1,0,0,0,0,0.4558,Away
Colt McCoy,QB,ARI,PHI,6.04,20,88.5,0.625,0,0,0,0,0.302,Home
John Wolford,QB,LAR,DAL,4.92,20,85.5,0.375,0,0,0,0,0.246,Home
Bryce Perkins,QB,LAR,DAL,4.92,20,85.5,0.375,0,0,0,0,0.246,Home
Brandon Allen,QB,CIN,BAL,10.306000000000001,20,157.65,1,0,0,0,0,0.5153000000000001,Away
Tyler Huntley,QB,BAL,CIN,6.336,20,120.9,0.375,0,0,0,0,0.3168,Home
Jarrett Stidham,QB,LV,KC,10.276,20,131.9,1.25,0,0,0,0,0.5138,Away
Chad Henne,QB,KC,LV,8.576,20,126.9,0.875,0,0,0,0,0.4288,Home
Shane Buechele,QB,KC,LV,8.576,20,126.9,0.875,0,0,0,0,0.4288,Home
