Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,ex_ppd,home_away
Tyler Conklin,TE,NYJ,MIA,8.154537508209009,15,5.108363309352518,49.932129963898916,0.26785714285714285,0.5,0.5436358338806005,Home
DeVante Parker,WR,NE,DET,9.0700726010101,15,2.202020202020202,54.690625,0.41666666666666663,0,0.6046715067340067,Home
Elijah Moore,WR,NYJ,MIA,6.817628464015791,16,3.6488309352517985,49.932129963898916,0,0,0.42610177900098695,Home
Brandon Aiyuk,WR,SF,CAR,8.86554615476373,16,4.233870967741936,47.48610670892762,0.3333333333333333,0,0.5540966346727332,Away
Zach Ertz,TE,ARI,PHI,9.330625219298245,19,4.755208333333333,39.530210526315784,0.5,0,0.49108553785780235,Home
Darren Waller,TE,LV,KC,8.858642924494088,21,4.588235294117647,45.64525277435265,0.3333333333333333,0,0.4218401392616232,Away
Robbie Anderson,WR,CAR,SF,6.647793674698796,11,3.46875,42.88418674698795,0.1875,0.25,0.6043448795180724,Home
Allen Lazard,WR,GB,NYG,10.344262033319488,16,3.4163090128755362,52.8610752688172,0.5583333333333333,0,0.646516377082468,Home
Olamide Zaccheaus,WR,ATL,TB,8.174102982652707,11,3.347902097902098,47.501519337016575,0.375,0.25,0.7431002711502461,Away
Zay Jones,WR,JAX,HOU,10.476195803037,14,6.085431818181818,59.4847989394609,0.2475,0,0.7482997002169285,Home
Michael Thomas,WR,NO,SEA,15.672468829793015,23,5.066931330472103,59.39003164556962,1.2000000000000002,0,0.6814116882518703,Home
Devin Duvernay,WR,BAL,CIN,9.044201069233766,13,3.276315789473684,45.42406810860561,0.4772727272727273,0,0.6957077745564436,Home
DJ Moore,WR,CAR,SF,6.405065888554217,13,3.7578125,34.01159638554217,0.1875,0,0.4926973760426321,Home
Jarvis Landry,WR,NO,SEA,6.158564676481774,13,3.564914163090129,43.76107594936709,0,0,0.47373574434475185,Home
George Pickens,WR,PIT,BUF,5.15634595959596,12,2.6597222222222223,38.264848484848486,0,0,0.42969549663299667,Away
Robert Woods,WR,TEN,WAS,9.05300661090124,18,3.5654411764705882,50.20286022665947,0.375,0,0.5029448117167356,Away
Marquez Valdes Scantling,WR,KC,LV,5.681780365545199,14,3.1831275720164607,40.90216579536968,0,0,0.40584145468179994,Home
Joshua Palmer,WR,LAC,CLE,5.9605170214625565,14,2.851618705035971,33.68041002277904,0.19444444444444445,0,0.425751215818754,Away
Isaiah McKenzie,WR,BUF,PIT,9.077613978417865,15,3.4319787985865724,35.36624579124579,0.6375,0,0.6051742652278577,Home
Jakobi Meyers,WR,NE,DET,12.250157828282829,16,7.156565656565657,86.71875,0,0,0.7656348642676768,Home
Kendrick Bourne,WR,NE,DET,4.727698863636364,13,2.4772727272727275,39.890625,0,0.25,0.3636691433566434,Home
Russell Gage,WR,TB,ATL,7.57720469225351,18,5.180660377358491,38.61874503574265,0.2708333333333333,0.25,0.42095581623630607,Home
Kyle Pitts,TE,ATL,TB,5.7689096124869605,15,3.347902097902098,40.949585635359114,0,0,0.3845939741657974,Away
Jahan Dotson,WR,WAS,TEN,12.340567057245254,18,2.860074626865672,41.60529743812418,1.125,0,0.6855870587358475,Home
Treylon Burks,WR,TEN,WAS,5.250635456017269,14,2.7426470588235294,38.793119266055044,0,0,0.3750453897155192,Away
Donovan Peoples Jones,WR,CLE,LAC,5.57265693115159,13,3.3292682926829267,39.08022784810126,0,0,0.4286659177808915,Home
Gabe Davis,WR,BUF,PIT,7.152427549939919,17,2.4435689045936395,42.476430976430976,0.2805,0,0.420731032349407,Home
Mo Alie Cox,TE,IND,DEN,5.283871585264901,13,2.01953125,23.541059602649007,0.32,0,0.40645166040499237,Away
Darnell Mooney,WR,CHI,MIN,7.538796380090499,11,3.8588235294117648,56.09384615384616,0,0,0.6853451254627726,Away
Taysom Hill,TE,NO,SEA,0.22666555861900367,16,0.31371244635193135,0.6980933544303798,0,0,0.01416659741368773,Home
K J Osborn,WR,MIN,CHI,4.7185650406504065,13,2.2165,24.853150406504064,0.1875,0,0.3629665415884928,Home
Will Dissly,TE,SEA,NO,7.331854386090612,11,2.6176470588235294,26.480308566788466,0.5625,0,0.6665322169173283,Away
Dawson Knox,TE,BUF,PIT,3.939845391488501,13,2.745583038869258,25.670538720538723,0,0,0.3030650301145001,Home
Logan Thomas,TE,WAS,TEN,6.1381291477372155,14,3.098414179104478,29.014220581849763,0.28125,0,0.43843779626694396,Home
Robert Tonyan,TE,GB,NYG,5.053079837555956,13,2.7757510729613735,24.15204301075269,0.20833333333333331,0,0.3886984490427658,Home
Hayden Hurst,TE,CIN,BAL,6.253715077062042,13,3.7213438735177866,28.93043140303148,0.25,0,0.4810550059278494,Away
Marvin Jones Jr,WR,JAX,HOU,5.127299215642951,11,2.64375,26.804242156429517,0.1875,0,0.46611811051299556,Home
Cameron Brate,TE,TB,ATL,3.897546532887737,14,2.7136792452830187,25.407069102462273,0,0,0.2783961809205526,Home
Evan Engram,TE,JAX,HOU,4.118928237858032,12,3.1244318181818183,25.567123287671233,0,0,0.3432440198215027,Home
DJ Chark Jr,WR,DET,NE,5.712107771260998,11,2.205,28.996077712609974,0.28500000000000003,0,0.5192825246600907,Away
Allen Robinson II,WR,LAR,DAL,4.430130527548843,18,2.0504716981132076,20.923946784922393,0.21875,0,0.2461183626416024,Home
Chris Godwin,WR,TB,ATL,7.243510123338379,24,4.933962264150944,47.76528991262907,0,0,0.3018129218057658,Home
Julio Jones,WR,TB,ATL,4.848666956404454,17,1.9735849056603774,38.61874503574265,0,0,0.2852157033179091,Home
Irv Smith Jr,TE,MIN,CHI,4.053353658536586,13,2.015,19.208536585365856,0.1875,0,0.31179643527204504,Home
Laviska Shenault Jr,WR,CAR,SF,7.264420180722892,11,1.15625,44.36295180722892,0.375,0,0.660401834611172,Home
Jamal Agnew,WR,JAX,HOU,4.857629002129113,11,1.4420454545454544,18.866062748563856,0.375,0,0.4416026365571921,Home
Hunter Renfrow,WR,LV,KC,4.036163293924229,15,5.735294117647059,41.68516235100699,0,1.5,0.26907755292828195,Away
Dalton Schultz,TE,DAL,LAR,3.9663123865698733,12,3.394736842105263,29.289439655172416,0,0.33,0.3305260322141561,Away
Foster Moreau,TE,LV,KC,3.7211175987040934,11,2.2941176470588234,25.740587751746816,0,0,0.33828341806400847,Away
Mike Gesicki,TE,MIA,NYJ,3.808907393094464,11,1.8425531914893618,15.542974640164498,0.2222222222222222,0,0.3462643084631331,Away
Mecole Hardman,WR,KC,LV,3.9401693364368664,11,1.9588477366255144,17.334727408513817,0.20454545454545453,0,0.3581972124033515,Home
Keenan Allen,WR,LAC,CLE,7.21469002474558,22,3.258992805755396,55.851936218678816,0,0,0.32794045567025365,Away
KJ Hamler,WR,DEN,IND,1.8332660408898036,11,0.5123762376237624,15.770779220779222,0,0,0.16666054917180032,Home
George Kittle,TE,SF,CAR,4.570406250532523,20,3.629032258064516,27.558901215002642,0,0,0.22852031252662613,Away
Albert Okwuegbunam,TE,DEN,IND,1.6848592002057348,12,1.4346534653465346,9.675324675324674,0,0,0.1404049333504779,Home
Jelani Woods,TE,IND,DEN,2.9916323468543045,11,0.55078125,7.962417218543045,0.32,0,0.27196657698675497,Away
Michael Gallup,WR,DAL,LAR,11.264337568058076,17,2.263157894736842,26.32758620689655,1.25,0,0.6626080922387104,Away
Rondale Moore,WR,ARI,PHI,2.2567697368421054,15,2.59375,9.598947368421053,0,0,0.15045131578947368,Home
