,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
10,Seattle Seahawks,15,24.3,348.5,60.2,5.8,1.4,0.73,20.3,24.1,34.2,238.7,1.8,0.67,6.5,12.4,23.4,109.8,0.8,4.7,5.8,6.47,53.9,2.07,40.5,11.7,3.8
11,Jacksonville Jaguars,15,23.5,367.7,64.3,5.7,1.27,0.8,21.3,23.5,35.7,239.2,1.6,0.47,6.4,12.5,27,128.5,0.87,4.8,7,5.6,41.3,1.73,40,11.9,6.32
12,Las Vegas Raiders,15,23.2,347.6,61.1,5.7,1.13,0.2,19.5,20.9,34.4,225.9,1.6,0.93,6.2,11,24.7,121.7,0.73,4.9,7.07,6.73,55.7,1.47,42.1,11.2,4.4
13,Los Angeles Chargers,15,22.1,355,68.3,5.2,1.13,0.47,20.6,28.7,42.4,270.1,1.4,0.67,6,13.5,23.4,84.9,0.87,3.6,5.33,4.93,38.8,1.73,37.1,9.6,3.22
14,Cleveland Browns,15,21.5,355.1,67,5.3,1.27,0.6,21.1,20.5,32.9,207.7,0.93,0.67,5.9,10.9,32,147.3,1.27,4.6,8.6,6,52,1.53,35.2,11.3,3.15
15,Baltimore Ravens,15,21.4,342.3,61.8,5.5,1.07,0.4,20.1,17.8,28.2,176.3,1.2,0.67,5.8,8.6,31.4,166,0.87,5.3,10.3,4.87,41.7,1.27,40.1,10.2,4.23
16,New England Patriots,15,21.2,317.2,59,5.4,1.33,0.6,16.9,20.8,31.1,208.6,0.93,0.73,6.2,9.6,25.4,108.6,0.8,4.3,6,6.4,52.1,1.33,33.1,11.8,-1.47
17,Atlanta Falcons,15,21,315.8,58.9,5.4,1.27,0.67,19.2,14.6,23.9,155,1,0.6,5.9,8.53,32.7,160.8,0.93,4.9,8.8,4.07,33.7,1.87,38.1,11.6,4.11
18,Green Bay Packers,15,20.9,342.6,62.2,5.5,1.33,0.6,19.8,22,33.9,219.5,1.67,0.73,6.1,11.1,26.3,123.1,0.67,4.7,6.73,5.47,45.5,1.93,34.8,11.4,3.94
19,Carolina Panthers,15,20.9,306.9,57.1,5.4,1.07,0.4,16.3,15.9,27,175.9,0.87,0.67,6,7.93,28,131,1.07,4.7,7,6.27,52.3,1.4,37,8,-0.07
20,New York Giants,15,20.7,333.2,64.3,5.2,1,0.6,20.5,20.3,30.4,188.3,0.93,0.4,5.6,10,30.8,144.9,1.2,4.7,8.67,6.33,49.4,1.87,36.5,7.5,3.17
21,Arizona Cardinals,15,20.5,327,68.3,4.8,1.4,0.47,19.5,25.9,39.8,214.6,1,0.93,5,11.3,25.8,112.4,0.93,4.4,6.8,6.87,54.4,1.4,32.1,12.1,-1.81
22,Chicago Bears,15,20.2,316.3,59.5,5.3,1.4,0.6,17.1,13.5,21.9,136.5,1.13,0.8,5.4,6.53,34.3,179.7,1.13,5.2,9.27,5,45.7,1.27,36.5,11.9,0.63
23,New Orleans Saints,15,20.2,337.1,59.4,5.7,1.53,0.67,18,20.2,30.9,223.1,1.53,0.87,6.8,10.9,26.5,114,0.73,4.3,5.87,6.27,53.7,1.2,33.3,13.3,1.63
24,Washington Commanders,15,19,336.4,67.3,5,1.27,0.47,20.4,21.1,33.8,212.7,1.53,0.8,5.8,11.3,30.7,123.7,0.47,4,7.33,5.67,51.4,1.8,30.2,11,-0.77
25,New York Jets,15,18.9,329.5,63.6,5.2,1.33,0.53,17.5,21.1,36.5,224.7,1,0.8,5.8,11.2,24.5,104.9,0.87,4.3,4.87,5.53,53.5,1.47,31.2,11.6,-1.59
26,Tennessee Titans,16,17.6,295.8,57.5,5.1,1.31,0.69,16.1,16.6,26.7,171.8,0.94,0.63,5.8,8.69,28,124,1,4.4,6.25,6.56,57.3,1.19,27.2,10,-1.1
27,Los Angeles Rams,15,18.7,281.5,59.6,4.7,1.4,0.47,17.8,21.5,32.4,191.6,1.07,0.93,5.4,11.2,23.8,89.9,0.87,3.8,5.13,4.67,39.9,1.47,34.4,13.6,-0.22
28,Tampa Bay Buccaneers,15,17.7,346.3,68.8,5,1.33,0.67,20.6,29.5,44.8,269.3,1.4,0.67,5.8,14.3,22.7,77,0.27,3.4,4.6,5.87,47.5,1.67,31.8,10.6,-0.11
29,Pittsburgh Steelers,15,17.6,320,64.8,4.9,1.2,0.27,20,22.4,34.3,204.6,0.67,0.93,5.6,11.3,28.1,115.4,0.93,4.1,7.07,5.6,43.2,1.6,33.3,10.1,1.47
30,Houston Texans,15,16.9,278.9,58.9,4.7,1.6,0.47,16.4,20.2,33,190,1.13,1.13,5.4,9,23.6,88.9,0.47,3.8,5.6,4.93,37.2,1.8,29.9,13.2,-6.47
31,Indianapolis Colts,15,16.5,309.9,65.1,4.8,2,0.87,18.1,23.9,36.1,207.1,0.93,1.13,5.2,11.5,25.3,102.8,0.47,4.1,5.13,5.33,48.3,1.4,29.1,17.1,-7.22
32,Denver Broncos,15,15.5,316.6,63.3,5,1.33,0.47,17.1,20.4,33.9,209.1,0.93,0.87,5.5,9.73,25.6,107.5,0.53,4.2,5.8,7.13,60.7,1.6,27.4,10.3,-3.67
