player,Position_yah,combined_fppd,combined_projection,TEAM,Opponent_yah,Salary_yah,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Mike Gesicki,TE,0.6429914297302743,7.072905727033017,MIA,NYJ,11,8.304151038618597,0.7549228216925997,4.2,4 out of 5 stars,F
Tyler Lockett,WR,0.7623029980894271,12.196847969430834,SEA,NO,16,12.195497099186907,0.7622185686991818,12.2,2 out of 5 stars,B+
Pat Freiermuth,TE,0.5898978222769137,7.668671689599877,PIT,BUF,13,7.2695309851426835,0.5591946911648218,8.6,1 out of 5 stars,C
Diontae Johnson,WR,0.7022849582598668,11.236559332157869,PIT,BUF,16,10.8665133316541,0.6791570832283812,12.1,2 out of 5 stars,B
Hunter Renfrow,WR,0.7102064618887017,10.653096928330527,LV,KC,15,12.347281326186469,0.8231520884124311,6.7,3 out of 5 stars,C-
Tyler Higbee,TE,0.53027242303093,7.954086345463951,LAR,DAL,15,7.2058376363770735,0.4803891757584715,9.7,3 out of 5 stars,B
CeeDee Lamb,WR,0.47108123504385446,12.248112111140216,DAL,LAR,26,11.497303015914593,0.4422039621505613,14,3 out of 5 stars,A
T J Hockenson,TE,0.452207126192236,9.496349650036956,DET,NE,21,9.237642357195654,0.4398877312950311,10.1,3 out of 5 stars,A-
Michael Pittman Jr,WR,0.6832519310144954,11.615282827246423,IND,DEN,17,11.064689753209176,0.6508641031299515,12.9,2 out of 5 stars,A-
Tee Higgins,WR,0.5004767601902046,13.512872525135524,CIN,BAL,27,13.26124646447932,0.491157276462197,14.1,3 out of 5 stars,A
Darren Waller,TE,0.4836149419273423,10.155913780474188,LV,KC,21,9.365591114963127,0.44598052928395854,12,3 out of 5 stars,A
Tyler Conklin,TE,0.45576872072047314,6.836530810807097,NYJ,MIA,15,7.023615444010138,0.4682410296006759,6.4,4 out of 5 stars,C-
Chris Godwin,WR,0.4784062382403582,11.481749717768597,TB,ATL,24,11.002499596812283,0.4584374832005118,12.6,3 out of 5 stars,A-
David Njoku,TE,0.45301295074735526,7.248207211957684,CLE,LAC,16,7.097438874225263,0.44358992963907895,7.6,3 out of 5 stars,C
Brandin Cooks,WR,0.7556406234074047,12.090249974518475,HOU,JAX,16,11.95749996359782,0.7473437477248637,12.4,4 out of 5 stars,B+
Jaylen Waddle,WR,0.491573895558926,13.272495180091003,MIA,NYJ,27,13.046421685844289,0.4832008031794181,13.8,4 out of 5 stars,A
Gerald Everett,TE,0.4378492765499009,6.5677391482485135,LAC,CLE,15,6.082484497497878,0.4054989664998585,7.7,3 out of 5 stars,C
Darnell Mooney,WR,0.9923238903825106,10.915562794207617,CHI,MIN,11,11.693661134582308,1.0630601031438462,9.1,3 out of 5 stars,C
Amon Ra St Brown,WR,0.3362578606491644,10.087735819474933,DET,NE,30,11.239622599249904,0.3746540866416635,7.4,4 out of 5 stars,C+
Evan Engram,TE,0.5057678530274435,6.069214236329323,JAC,HOU,12,6.313163194756177,0.5260969328963481,5.5,2 out of 5 stars,D
Mo Alie Cox,TE,0.3628155893033815,4.716602660943959,IND,DEN,13,4.7237180870627995,0.3633629297740615,4.7,3 out of 5 stars,F
Terry McLaurin,WR,0.49358927360547666,11.352553292925963,WAS,TEN,23,10.98936184703709,0.47779834117552566,12.2,3 out of 5 stars,B
Foster Moreau,TE,0.33768511868512135,3.7145363055363347,LV,KC,11,4.406480436480479,0.4005891305891344,2.1,3 out of 5 stars,F
Marquise Brown,WR,0.62875455681186,11.94633657942534,ARI,PHI,19,11.32333797060763,0.59596515634777,13.4,2 out of 5 stars,A-
Amari Cooper,WR,0.6584496983924566,12.510544269456675,CLE,LAC,19,12.643634670652393,0.6654544563501258,12.2,3 out of 5 stars,B+
Adam Thielen,WR,0.6163442367640578,11.09419626175304,MIN,CHI,18,11.091708945361487,0.6162060525200826,11.1,2 out of 5 stars,B-
Christian Kirk,WR,0.5470309207160914,13.128742097186194,JAC,HOU,24,12.841060138837424,0.5350441724515593,13.8,3 out of 5 stars,A
Kendrick Bourne,WR,0.6239706263291626,8.111618142279113,NE,DET,13,9.402311631827304,0.7232547409097927,5.1,3 out of 5 stars,F
Albert Okwuegbunam,TE,0.3887087144843675,4.66450457381241,DEN,IND,12,4.949292248303443,0.4124410206919536,4,4 out of 5 stars,F
DeVonta Smith,WR,0.6264681194970653,10.64995803145011,PHI,ARI,17,10.0713686163573,0.5924334480210176,12,4 out of 5 stars,B
A J Brown,WR,0.49925723265184074,13.4799452815997,PHI,ARI,27,12.914207545142432,0.47830398315342343,14.8,4 out of 5 stars,A
Tyler Boyd,WR,0.5133893345459355,9.754397356372774,CIN,BAL,19,10.206281937675392,0.5371727335618628,8.7,3 out of 5 stars,C
Brandon Aiyuk,WR,0.5340440967019863,8.54470554723178,SF,CAR,16,7.878150781759686,0.4923844238599804,10.1,3 out of 5 stars,C+
K J Osborn,WR,0.5486481817961035,7.132426363349346,MIN,CHI,13,7.532037661927639,0.5793875124559722,6.2,2 out of 5 stars,D-
Hayden Hurst,TE,0.4060904291122339,5.279175578459041,CIN,BAL,13,4.927393683512916,0.3790302833471474,6.1,4 out of 5 stars,D
Jakobi Meyers,WR,0.5197390475771361,8.315824761234177,NE,DET,16,9.094035373191684,0.5683772108244803,6.5,3 out of 5 stars,D+
Allen Lazard,WR,0.5576518339163444,8.9224293426615109,GB,NYG,16,7.946327632373588,0.49664547702334927,11.2,4 out of 5 stars,B-
Logan Thomas,TE,0.5141188892918128,7.197664450085379,WAS,TEN,14,7.968092071550542,0.5691494336821815,5.4,5 out of 5 stars,D
Russell Gage,WR,0.4603232656281475,8.285818781306656,TB,ATL,18,8.79402683043808,0.48855704613544887,7.1,3 out of 5 stars,D+
Elijah Moore,WR,0.6444716703950332,10.31154672632053,NYJ,MIA,16,10.659352466172187,0.6662095291357617,9.5,2 out of 5 stars,C
Courtland Sutton,WR,0.5596791189036492,10.074224140265684,DEN,IND,18,8.391748771808121,0.4662082651004512,14,5 out of 5 stars,A
