player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
Hayden Hurst,TE,BAL,4.927393683512916,13,0.3790302833471474
Jakobi Meyers,WR,DET,9.094035373191685,16,0.5683772108244803
Allen Lazard,WR,NYG,7.946327632373588,16,0.49664547702334927
Logan Thomas,TE,TEN,7.968092071550542,14,0.5691494336821815
Russell Gage,WR,ATL,8.79402683043808,18,0.48855704613544887
Elijah Moore,WR,MIA,10.659352466172187,16,0.6662095291357617
Courtland Sutton,WR,IND,8.391748771808121,18,0.46620826510045116
Robert Woods,WR,WAS,12.44311689637679,18,0.6912842720209328
Robert Tonyan,TE,NYG,5.2633904882244105,13,0.40487619140187775
Will Dissly,TE,NO,3.441646367387733,11,0.3128769424897939
Mecole Hardman,WR,LV,6.192668437949472,11,0.5629698579954066
Jarvis Landry,WR,SEA,8.691920905899428,13,0.6686093004538022
Donovan Peoples Jones,WR,LAC,7.550515615117375,13,0.5808088934705673
Corey Davis,WR,MIA,10.616121186078628,18,0.5897845103377015
Nelson Agholor,WR,DET,6.658224840074878,13,0.5121711415442214
Laviska Shenault Jr,WR,SF,6.680308991001961,11,0.6073008173638146
DeVante Parker,WR,DET,9.156846696860805,15,0.6104564464573871
Marquez Valdes Scantling,WR,LV,6.535457957235659,14,0.4668184255168328
Zay Jones,WR,HOU,6.759893420914704,14,0.482849530065336
Olamide Zaccheaus,WR,TB,5.842390976102295,11,0.5311264523729359
Rashod Bateman,WR,CIN,8.506701953224171,15,0.5671134635482781
Michael Gallup,WR,LAR,8.178319948271774,17,0.48107764401598674
Rondale Moore,WR,PHI,5.357315036498953,15,0.3571543357665969
Jamal Agnew,WR,HOU,5.717356012008457,11,0.5197596374553143
Josh Reynolds,WR,NE,6.62997903350355,13,0.5099983871925807
Devin Duvernay,WR,CIN,4.974521247838384,13,0.3826554806029526
Julio Jones,WR,ATL,5.586951568970914,17,0.3286442099394655
Jerry Jeudy,WR,IND,8.115662372768,15,0.5410441581845333
Mack Hollins,WR,KC,5.161036426923626,16,0.32256477668272665
Isaiah McKenzie,WR,PIT,3.4877334937589723,15,0.23251556625059816
Chris Olave,WR,SEA,1.8790224744662356,20,0.09395112372331178
DK Metcalf,WR,NO,1.4425032689689763,22,0.06556833040768074
Noah Brown,WR,LAR,1.7903076792196009,16,0.11189422995122505
Curtis Samuel,WR,TEN,1.7960004030272,20,0.08980002015136
Garrett Wilson,WR,MIA,1.8425477918232716,20,0.09212738959116358
Drake London,WR,TB,2.073721203106286,18,0.11520673350590477
JuJu Smith Schuster,WR,LV,1.0169630689938134,17,0.05982135699963608
Greg Dortch,WR,PHI,1.2329928453947367,11,0.1120902586722488
Romeo Doubs,WR,NYG,1.1581295375882596,13,0.0890868875067892
Robbie Anderson,WR,SF,0.9971690512048192,11,0.09065173192771084
Michael Thomas,WR,SEA,2.350870324468952,23,0.10221175323778053
DJ Moore,WR,SF,0.9607598832831326,13,0.07390460640639482
George Pickens,WR,BUF,0.773451893939394,12,0.06445432449494949
Joshua Palmer,WR,CLE,0.8940775532193834,14,0.0638626823728131
Jahan Dotson,WR,TEN,1.8510850585867882,18,0.10283805881037712
Treylon Burks,WR,WAS,0.7875953184025902,14,0.056256808457327875
Gabe Davis,WR,PIT,1.0728641324909876,17,0.06310965485241103
Taysom Hill,TE,SEA,0.03399983379285055,16,0.0021249896120531593
Marvin Jones Jr,WR,HOU,0.7690948823464427,11,0.06991771657694934
DJ Chark Jr,WR,NE,0.8568161656891495,11,0.0778923786990136
Allen Robinson II,WR,DAL,0.6645195791323265,18,0.036917754396240364
Irv Smith Jr,TE,CHI,0.6080030487804878,13,0.04676946529080676
KJ Hamler,WR,IND,0.2749899061334705,11,0.024999082375770046
Jelani Woods,TE,DEN,0.44874485202814574,11,0.04079498654801325
