,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
55,Zay Jones,42,5,42,Sun,6,6,2022-10-16,27-200,JAX,@,IND,L 27-34,5,5,42,8.4,0,100,8.4,3,WR,2-37
56,Juwan Johnson,41,6,41,Sun,6,6,2022-10-16,26-033,NOR,,CIN,L 26-30,6,4,41,10.3,0,66.7,6.8,3,TE,
57,Terry McLaurin,41,4,41,Thu,6,6,2022-10-13,27-028,WAS,@,CHI,W 12-7,4,3,41,13.7,0,75,10.3,3,WR,3-76
58,Evan Engram,40,6,40,Sun,6,6,2022-10-16,28-044,JAX,@,IND,L 27-34,6,5,40,8,0,83.3,6.7,1,TE,1-23
59,Jake Ferguson,40,6,40,Sun,6,6,2022-10-16,23-271,DAL,@,PHI,L 17-26,6,4,40,10,1,66.7,6.7,3,TE,4-129
60,Drake London,40,4,40,Sun,6,6,2022-10-16,21-084,ATL,,SFO,W 28-14,4,3,40,13.3,0,75,10,2,WR,1-8
61,Ben Skowronek,40,5,40,Sun,6,6,2022-10-16,25-111,LAR,,CAR,W 24-10,5,5,40,8,0,100,8,2,WR,7-249
62,D'Wayne Eskridge,39,3,39,Sun,6,6,2022-10-16,25-207,SEA,,ARI,W 19-9,3,3,39,13,0,100,13,3,WR,2-56
63,Daniel Bellinger,38,5,38,Sun,6,6,2022-10-16,22-024,NYG,,BAL,W 24-20,5,5,38,7.6,1,100,7.6,3,TE,4-112
64,Leonard Fournette,38,6,38,Sun,6,6,2022-10-16,27-271,TAM,@,PIT,L 18-20,6,6,38,6.3,1,100,6.3,1,RB,1-4
65,Kylen Granson,38,4,38,Sun,6,6,2022-10-16,24-203,IND,,JAX,W 34-27,4,4,38,9.5,0,100,9.5,3,TE,4-127
66,Dawson Knox,37,3,37,Sun,6,6,2022-10-16,25-336,BUF,@,KAN,W 24-20,3,3,37,12.3,1,100,12.3,2,TE,3-96
67,Wan'Dale Robinson,37,4,37,Sun,6,6,2022-10-16,21-284,NYG,,BAL,W 24-20,4,3,37,12.3,1,75,9.3,3,WR,2-43
68,Tyquan Thornton,37,5,37,Sun,6,6,2022-10-16,22-070,NWE,@,CLE,W 38-15,5,4,37,9.3,1,80,7.4,3,WR,2-50
69,Marquez Callaway,36,7,36,Sun,6,6,2022-10-16,24-203,NOR,,CIN,L 26-30,7,3,36,12,0,42.9,5.1,3,WR,
70,Adam Thielen,36,8,36,Sun,6,6,2022-10-16,32-055,MIN,@,MIA,W 24-16,8,4,36,9,1,50,4.5,3,WR,
71,D.K. Metcalf,34,7,34,Sun,6,6,2022-10-16,24-306,SEA,,ARI,W 19-9,7,2,34,17,0,28.6,4.9,2,WR,2-64
72,Kyle Juszczyk,33,4,33,Sun,6,6,2022-10-16,31-176,SFO,@,ATL,L 14-28,4,4,33,8.3,0,100,8.3,3,FB,4-130
73,Isaiah Likely,30,4,30,Sun,6,6,2022-10-16,22-181,BAL,@,NYG,L 20-24,4,2,30,15,0,50,7.5,2,TE,4-139
74,Gerald Everett,29,7,29,Mon,6,6,2022-10-17,28-114,LAC,,DEN,W 19-16 (OT),7,5,29,5.8,0,71.4,4.1,2,TE,2-44
75,Jerick McKinnon,29,3,29,Sun,6,6,2022-10-16,30-166,KAN,,BUF,L 20-24,3,3,29,9.7,0,100,9.7,1,RB,3-96
76,Eno Benjamin,28,3,28,Sun,6,6,2022-10-16,23-186,ARI,@,SEA,L 9-19,3,3,28,9.3,0,100,9.3,2,RB,7-222
77,Chase Edmonds,28,2,28,Sun,6,6,2022-10-16,26-186,MIA,,MIN,L 16-24,2,2,28,14,0,100,14,,RB,4-134
78,Diontae Johnson,28,7,28,Sun,6,6,2022-10-16,26-103,PIT,,TAM,W 20-18,7,5,28,5.6,0,71.4,4,2,WR,3-66
79,George Pickens,27,6,27,Sun,6,6,2022-10-16,21-226,PIT,,TAM,W 20-18,6,3,27,9,0,50,4.5,1,WR,2-52
80,Brandon Powell,27,5,27,Sun,6,6,2022-10-16,27-034,LAR,,CAR,W 24-10,5,4,27,6.8,0,80,5.4,1,WR,
81,Demarcus Robinson,27,5,27,Sun,6,6,2022-10-16,28-025,BAL,@,NYG,L 20-24,5,3,27,9,0,60,5.4,1,WR,4-126
82,Jelani Woods,27,3,27,Sun,6,6,2022-10-16,24-007,IND,,JAX,W 34-27,3,2,27,13.5,1,66.7,9,2,TE,3-73
83,Marquise Goodwin,26,2,26,Sun,6,6,2022-10-16,31-331,SEA,,ARI,W 19-9,2,2,26,13,0,100,13,2,WR,3-78
84,Marcus Johnson,25,4,25,Sun,6,6,2022-10-16,28-072,NYG,,BAL,W 24-20,4,2,25,12.5,0,50,6.3,2,WR,
85,Aaron Jones,25,4,25,Sun,6,6,2022-10-16,27-318,GNB,,NYJ,L 10-27,4,3,25,8.3,0,75,6.3,1,RB,5-182
86,Alvin Kamara,25,9,25,Sun,6,6,2022-10-16,27-083,NOR,,CIN,L 26-30,9,6,25,4.2,0,66.7,2.8,1,RB,3-67
87,Christian Kirk,24,5,24,Sun,6,6,2022-10-16,25-332,JAX,@,IND,L 27-34,5,4,24,6,1,80,4.8,1,WR,2-47
88,Skyy Moore,24,3,24,Sun,6,6,2022-10-16,22-036,KAN,,BUF,L 20-24,3,1,24,24,0,33.3,8,1,WR,2-54
89,Joe Mixon,23,6,23,Sun,6,6,2022-10-16,26-084,CIN,@,NOR,W 30-26,6,4,23,5.8,1,66.7,3.8,2,RB,2-48
90,Cade Otton,23,3,23,Sun,6,6,2022-10-16,23-184,TAM,@,PIT,L 18-20,3,2,23,11.5,0,66.7,7.7,1,TE,4-106
91,Cole Turner,23,2,23,Thu,6,6,2022-10-13,22-211,WAS,@,CHI,W 12-7,2,2,23,11.5,0,100,11.5,1,TE,5-149
92,Travis Etienne,22,2,22,Sun,6,6,2022-10-16,23-263,JAX,@,IND,L 27-34,2,2,22,11,0,100,11,1,RB,1-25
93,Dallas Goedert,22,6,22,Sun,6,6,2022-10-16,27-286,PHI,,DAL,W 26-17,6,2,22,11,0,33.3,3.7,2,TE,2-49
94,Peyton Hendershot,22,5,22,Sun,6,6,2022-10-16,23-176,DAL,@,PHI,L 17-26,5,2,22,11,0,40,4.4,2,TE,
95,Devin Singletary,22,5,22,Sun,6,6,2022-10-16,25-043,BUF,@,KAN,W 24-20,5,4,22,5.5,0,80,4.4,2,RB,3-74
96,Ian Thomas,22,2,22,Sun,6,6,2022-10-16,26-132,CAR,@,LAR,L 10-24,2,2,22,11,0,100,11,1,TE,4-101
97,Pharaoh Brown,21,3,21,Sun,6,6,2022-10-16,28-165,CLE,,NWE,L 15-38,3,2,21,10.5,0,66.7,7,2,TE,
98,Romeo Doubs,21,9,21,Sun,6,6,2022-10-16,22-186,GNB,,NYJ,L 10-27,9,4,21,5.3,0,44.4,2.3,,WR,4-132
99,Hayden Hurst,21,3,21,Sun,6,6,2022-10-16,29-053,CIN,@,NOR,W 30-26,3,3,21,7,0,100,7,,TE,1-25
100,Josh Oliver,21,3,21,Sun,6,6,2022-10-16,25-209,BAL,@,NYG,L 20-24,3,2,21,10.5,0,66.7,7,1,TE,3-69
101,Jack Stoll,21,1,21,Sun,6,6,2022-10-16,24-261,PHI,,DAL,W 26-17,1,1,21,21,0,100,21,1,TE,
102,Russell Gage,20,4,20,Sun,6,6,2022-10-16,26-267,TAM,@,PIT,L 18-20,4,2,20,10,0,50,5,1,WR,6-194
103,Tim Jones,20,1,20,Sun,6,6,2022-10-16,24-153,JAX,@,IND,L 27-34,1,1,20,20,0,100,20,1,WR,
104,Kyle Pitts,19,3,19,Sun,6,6,2022-10-16,22-010,ATL,,SFO,W 28-14,3,3,19,6.3,1,100,6.3,1,TE,1-4
105,Harrison Bryant,18,4,18,Sun,6,6,2022-10-16,24-176,CLE,,NWE,L 15-38,4,3,18,6,0,75,4.5,,TE,4-115
106,Michael Gallup,18,7,18,Sun,6,6,2022-10-16,26-226,DAL,@,PHI,L 17-26,7,2,18,9,0,28.6,2.6,,WR,3-81
107,Antonio Gibson,18,4,18,Thu,6,6,2022-10-13,24-112,WAS,@,CHI,W 12-7,4,3,18,6,0,75,4.5,1,RB,3-66
108,Reggie Gilliam,18,3,18,Sun,6,6,2022-10-16,25-057,BUF,@,KAN,W 24-20,3,3,18,6,0,100,6,1,FB,
109,Richie James,18,2,18,Sun,6,6,2022-10-16,27-041,NYG,,BAL,W 24-20,2,2,18,9,0,100,9,,WR,7-240
110,Jauan Jennings,18,3,18,Sun,6,6,2022-10-16,25-098,SFO,@,ATL,L 14-28,3,2,18,9,0,66.7,6,,WR,7-217
111,K.J. Osborn,18,5,18,Sun,6,6,2022-10-16,25-128,MIN,@,MIA,W 24-16,5,3,18,6,0,60,3.6,,WR,5-176
112,Darius Slayton,18,3,18,Sun,6,6,2022-10-16,25-277,NYG,,BAL,W 24-20,3,1,18,18,0,33.3,6,1,WR,5-171
113,Kendrick Bourne,17,1,17,Sun,6,6,2022-10-16,27-073,NWE,@,CLE,W 38-15,1,1,17,17,0,100,17,1,WR,
114,Matt Breida,17,2,17,Sun,6,6,2022-10-16,27-230,NYG,,BAL,W 24-20,2,2,17,8.5,0,100,8.5,1,RB,
115,DeAndre Carter,17,5,17,Mon,6,6,2022-10-17,29-190,LAC,,DEN,W 19-16 (OT),5,3,17,5.7,0,60,3.4,1,WR,
116,Tyler Lockett,17,5,17,Sun,6,6,2022-10-16,30-018,SEA,,ARI,W 19-9,5,2,17,8.5,0,40,3.4,1,WR,3-69
117,C.J. Uzomah,17,2,17,Sun,6,6,2022-10-16,29-275,NYJ,@,GNB,W 27-10,2,2,17,8.5,0,100,8.5,1,TE,5-157
118,Mike Williams,17,6,17,Mon,6,6,2022-10-17,28-013,LAC,,DEN,W 19-16 (OT),6,2,17,8.5,0,33.3,2.8,,WR,1-7
119,Tyler Conklin,16,2,16,Sun,6,6,2022-10-16,27-078,NYJ,@,GNB,W 27-10,2,1,16,16,0,50,8,1,TE,5-157
120,Eric Tomlinson,16,1,16,Mon,6,6,2022-10-17,30-178,DEN,@,LAC,L 16-19 (OT),1,1,16,16,0,100,16,1,TE,
121,Cole Kmet,15,3,15,Thu,6,6,2022-10-13,23-217,CHI,,WAS,L 7-12,3,1,15,15,0,33.3,5,1,TE,2-43
122,Rhamondre Stevenson,15,5,15,Sun,6,6,2022-10-16,24-235,NWE,@,CLE,W 38-15,5,4,15,3.8,0,80,3,1,RB,4-120
123,Michael Woods II,15,2,15,Sun,6,6,2022-10-16,22-211,CLE,,NWE,L 15-38,2,1,15,15,0,50,7.5,1,WR,6-202
124,Cameron Brate,14,3,14,Sun,6,6,2022-10-16,31-105,TAM,@,PIT,L 18-20,3,2,14,7,0,66.7,4.7,,TE,
125,Nick Chubb,14,2,14,Sun,6,6,2022-10-16,26-293,CLE,,NWE,L 15-38,2,1,14,14,0,50,7,1,RB,2-35
126,Devin Duvernay,14,5,14,Sun,6,6,2022-10-16,25-034,BAL,@,NYG,L 20-24,5,1,14,14,0,20,2.8,1,WR,3-92
127,Keith Kirkwood,14,1,14,Sun,6,6,2022-10-16,27-294,NOR,,CIN,L 26-30,1,1,14,14,0,100,14,1,WR,
128,Sony Michel,14,3,14,Mon,6,6,2022-10-17,27-242,LAC,,DEN,W 19-16 (OT),3,3,14,4.7,0,100,4.7,0,RB,1-31
129,Ronnie Rivers,14,1,14,Sun,6,6,2022-10-16,23-258,LAR,,CAR,W 24-10,1,1,14,14,0,100,14,1,RB,
130,Amari Rodgers,14,1,14,Sun,6,6,2022-10-16,23-023,GNB,,NYJ,L 10-27,1,1,14,14,0,100,14,1,WR,3-85
131,Khalil Shakir,14,2,14,Sun,6,6,2022-10-16,22-255,BUF,@,KAN,W 24-20,2,1,14,14,0,50,7,1,WR,5-148
132,Courtland Sutton,14,3,14,Mon,6,6,2022-10-17,27-007,DEN,@,LAC,L 16-19 (OT),3,2,14,7,0,66.7,4.7,1,WR,2-40
133,David Bell,13,2,13,Sun,6,6,2022-10-16,21-306,CLE,,NWE,L 15-38,2,1,13,13,0,50,6.5,,WR,3-99
134,Malcolm Brown,13,1,13,Sun,6,6,2022-10-16,29-154,LAR,,CAR,W 24-10,1,1,13,13,0,100,13,1,RB,
135,Noah Gray,13,3,13,Sun,6,6,2022-10-16,23-169,KAN,,BUF,L 20-24,3,3,13,4.3,0,100,4.3,,TE,5-162
136,David Montgomery,13,1,13,Thu,6,6,2022-10-13,25-128,CHI,,WAS,L 7-12,1,1,13,13,0,100,13,1,RB,3-73
137,Kenneth Walker III,13,3,13,Sun,6,6,2022-10-16,21-361,SEA,,ARI,W 19-9,3,2,13,6.5,0,66.7,4.3,0,RB,2-41
138,Saquon Barkley,12,3,12,Sun,6,6,2022-10-16,25-249,NYG,,BAL,W 24-20,3,3,12,4,0,100,4,0,RB,1-2
139,Will Dissly,12,1,12,Sun,6,6,2022-10-16,26-100,SEA,,ARI,W 19-9,1,1,12,12,0,100,12,1,TE,4-120
140,AJ Dillon,11,6,11,Sun,6,6,2022-10-16,24-167,GNB,,NYJ,L 10-27,6,4,11,2.8,0,66.7,1.8,0,RB,2-62
141,Luke Farrell,11,1,11,Sun,6,6,2022-10-16,25-002,JAX,@,IND,L 27-34,1,1,11,11,0,100,11,1,TE,5-145
142,Mark Ingram,11,2,11,Sun,6,6,2022-10-16,32-299,NOR,,CIN,L 26-30,2,1,11,11,0,50,5.5,1,RB,1-28
143,Colby Parkinson,11,2,11,Sun,6,6,2022-10-16,23-281,SEA,,ARI,W 19-9,2,2,11,5.5,0,100,5.5,,TE,4-133
144,Samaje Perine,11,2,11,Sun,6,6,2022-10-16,27-030,CIN,@,NOR,W 30-26,2,2,11,5.5,0,100,5.5,,RB,4-114
145,Rachaad White,11,4,11,Sun,6,6,2022-10-16,23-277,TAM,@,PIT,L 18-20,4,3,11,3.7,0,75,2.8,2,RB,3-91
146,Noah Brown,10,3,10,Sun,6,6,2022-10-16,26-283,DAL,@,PHI,L 17-26,3,1,10,10,0,33.3,3.3,1,WR,7-239
147,Alec Ingold,10,2,10,Sun,6,6,2022-10-16,26-099,MIA,,MIN,L 16-24,2,2,10,5,0,100,5,0,FB,
148,Velus Jones Jr.,10,1,10,Thu,6,6,2022-10-13,25-155,CHI,,WAS,L 7-12,1,1,10,10,0,100,10,1,WR,3-71
149,Sean McKeon,10,1,10,Sun,6,6,2022-10-16,24-292,DAL,@,PHI,L 17-26,1,1,10,10,0,100,10,1,TE,
150,Josiah Deguara,9,1,9,Sun,6,6,2022-10-16,25-244,GNB,,NYJ,L 10-27,1,1,9,9,0,100,9,,TE,3-94
151,Darrell Henderson,9,3,9,Sun,6,6,2022-10-16,25-058,LAR,,CAR,W 24-10,3,2,9,4.5,0,66.7,3,1,RB,3-70
152,D'Ernest Johnson,9,2,9,Sun,6,6,2022-10-16,26-231,CLE,,NWE,L 15-38,2,2,9,4.5,0,100,4.5,,RB,
153,Isaiah McKenzie,9,5,9,Sun,6,6,2022-10-16,27-190,BUF,@,KAN,W 24-20,5,2,9,4.5,0,40,1.8,,WR,5-172
154,Isiah Pacheco,9,2,9,Sun,6,6,2022-10-16,22-228,KAN,,BUF,L 20-24,2,2,9,4.5,0,100,4.5,1,RB,7-251
155,Randall Cobb,8,1,8,Sun,6,6,2022-10-16,32-055,GNB,,NYJ,L 10-27,1,1,8,8,0,100,8,,WR,2-64
156,Kenyan Drake,8,2,8,Sun,6,6,2022-10-16,28-263,BAL,@,NYG,L 20-24,2,1,8,8,0,50,4,1,RB,3-73
157,Kendall Hinton,8,1,8,Mon,6,6,2022-10-17,25-240,DEN,@,LAC,L 16-19 (OT),1,1,8,8,0,100,8,,WR,
158,Tony Pollard,8,3,8,Sun,6,6,2022-10-16,25-169,DAL,@,PHI,L 17-26,3,2,8,4,0,66.7,2.7,1,RB,4-128
159,David Sills,8,2,8,Sun,6,6,2022-10-16,26-140,NYG,,BAL,W 24-20,2,1,8,8,0,50,4,1,WR,
160,Keith Smith,8,1,8,Sun,6,6,2022-10-16,30-191,ATL,,SFO,W 28-14,1,1,8,8,0,100,8,0,FB,
161,Adam Trautman,8,1,8,Sun,6,6,2022-10-16,25-253,NOR,,CIN,L 26-30,1,1,8,8,0,100,8,,TE,3-105
162,Garrett Wilson,8,5,8,Sun,6,6,2022-10-16,22-086,NYJ,@,GNB,W 27-10,5,1,8,8,0,20,1.6,,WR,1-10
163,Andrew Beck,7,1,7,Mon,6,6,2022-10-17,26-155,DEN,@,LAC,L 16-19 (OT),1,1,7,7,0,100,7,,FB,
164,A.J. Green,7,4,7,Sun,6,6,2022-10-16,34-077,ARI,@,SEA,L 9-19,4,2,7,3.5,0,50,1.8,,WR,1-4
165,Najee Harris,7,3,7,Sun,6,6,2022-10-16,24-221,PIT,,TAM,W 20-18,3,2,7,3.5,1,66.7,2.3,1,RB,1-24
166,Tyler Higbee,7,2,7,Sun,6,6,2022-10-16,29-288,LAR,,CAR,W 24-10,2,1,7,7,0,50,3.5,,TE,4-110
167,D.J. Moore,7,7,7,Sun,6,6,2022-10-16,25-185,CAR,@,LAR,L 10-24,7,3,7,2.3,0,42.9,1,,WR,1-24
168,Irv Smith Jr.,7,4,7,Sun,6,6,2022-10-16,24-068,MIN,@,MIA,W 24-16,4,4,7,1.8,1,100,1.8,1,TE,2-50
169,Tommy Sweeney,7,1,7,Sun,6,6,2022-10-16,27-107,BUF,@,KAN,W 24-20,1,1,7,7,0,100,7,1,TE,7-228
170,Braxton Berrios,6,1,6,Sun,6,6,2022-10-16,27-010,NYJ,@,GNB,W 27-10,1,1,6,6,0,100,6,0,WR,6-210
171,Michael Carter,6,1,6,Sun,6,6,2022-10-16,23-162,NYJ,@,GNB,W 27-10,1,1,6,6,0,100,6,0,RB,4-107
172,Dalvin Cook,6,1,6,Sun,6,6,2022-10-16,27-067,MIN,@,MIA,W 24-16,1,1,6,6,0,100,6,0,RB,2-41
173,Curtis Samuel,6,5,6,Thu,6,6,2022-10-13,26-063,WAS,@,CHI,W 12-7,5,2,6,3,0,40,1.2,,WR,2-40
174,Trent Sherfield,6,4,6,Sun,6,6,2022-10-16,26-232,MIA,,MIN,L 16-24,4,1,6,6,0,25,1.5,,WR,
175,Cam Sims,6,2,6,Thu,6,6,2022-10-13,26-280,WAS,@,CHI,W 12-7,2,1,6,6,0,50,3,,WR,
176,Jamal Agnew,5,1,5,Sun,6,6,2022-10-16,27-196,JAX,@,IND,L 27-34,1,1,5,5,0,100,5,0,WR,5-165
177,Ezekiel Elliott,5,1,5,Sun,6,6,2022-10-16,27-086,DAL,@,PHI,L 17-26,1,1,5,5,0,100,5,1,RB,1-4
178,Breece Hall,5,2,5,Sun,6,6,2022-10-16,21-138,NYJ,@,GNB,W 27-10,2,2,5,2.5,0,100,2.5,0,RB,2-36
179,Phillip Lindsay,5,3,5,Sun,6,6,2022-10-16,28-084,IND,,JAX,W 34-27,3,3,5,1.7,0,100,1.7,,RB,
180,Dax Milne,5,1,5,Thu,6,6,2022-10-13,23-112,WAS,@,CHI,W 12-7,1,1,5,5,0,100,5,,WR,7-258
