,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
18,Patrick Mahomes,85.2,40,85.2,Sun,6,6,2022-10-16,27-029,KAN,,BUF,L 20-24,25,40,15,62.5,338,2,2,,5,5,85.2,3,19,6.98,8.5,7.2,6.26,13.5,QB,1-10
19,Geno Smith,82.3,31,82.3,Sun,6,6,2022-10-16,32-006,SEA,,ARI,W 19-9,20,31,11,64.5,197,0,0,,0,0,82.3,5,37,13.89,6.4,6.35,4.44,9.9,QB,2-39
20,Andy Dalton,77.9,32,77.9,Sun,6,6,2022-10-16,34-352,NOR,,CIN,L 26-30,17,32,15,53.1,162,1,0,,3.1,0,77.9,1,7,3.03,5.1,5.69,5.3,9.5,QB,2-35
21,Skylar Thompson,75.5,13,75.5,Sun,6,6,2022-10-16,25-134,MIA,,MIN,L 16-24,7,13,6,53.8,89,0,0,,0,0,75.5,1,8,7.14,6.8,6.85,5.79,12.7,QB,7-247
22,Zach Wilson,73.8,18,73.8,Sun,6,6,2022-10-16,23-074,NYJ,@,GNB,W 27-10,10,18,8,55.6,110,0,0,,0,0,73.8,2,11,10,6.1,6.11,4.95,11,QB,1-2
23,Justin Fields,71.5,27,71.5,Thu,6,6,2022-10-13,23-222,CHI,,WAS,L 7-12,14,27,13,51.9,190,1,1,,3.7,3.7,71.5,5,36,15.63,7,6.11,4.03,13.6,QB,1-11
24,Lamar Jackson,71.1,32,71.1,Sun,6,6,2022-10-16,25-282,BAL,@,NYG,L 20-24,17,32,15,53.1,210,1,1,,3.1,3.1,71.1,2,15,5.88,6.6,5.78,5,12.4,QB,1-32
25,P.J. Walker,69.8,16,69.8,Sun,6,6,2022-10-16,27-232,CAR,@,LAR,L 10-24,10,16,6,62.5,60,0,0,,0,0,69.8,2,9,11.11,3.8,3.75,2.83,6,QB,
26,Kyler Murray,67.6,37,67.6,Sun,6,6,2022-10-16,25-070,ARI,@,SEA,L 9-19,23,37,14,62.2,222,0,1,,0,2.7,67.6,6,51,13.95,6,4.78,2.93,9.7,QB,1-1
27,Justin Herbert,66.3,57,66.3,Mon,6,6,2022-10-17,24-221,LAC,,DEN,W 19-16 (OT),37,57,20,64.9,238,0,1,,0,1.8,66.3,2,14,3.39,4.2,3.39,3.03,6.4,QB,1-6
28,Carson Wentz,66.3,22,66.3,Thu,6,6,2022-10-13,29-287,WAS,@,CHI,W 12-7,12,22,10,54.5,99,0,0,,0,0,66.3,3,13,12,4.5,4.5,3.44,8.3,QB,1-2
29,Jacob Eason,61.7,5,61.7,Sun,6,6,2022-10-16,24-333,CAR,@,LAR,L 10-24,3,5,2,60,59,0,1,,0,20,61.7,0,0,0,11.8,2.8,2.8,19.7,QB,4-122
30,Taysom Hill,60.4,4,60.4,Sun,6,6,2022-10-16,32-054,NOR,,CIN,L 26-30,2,4,2,50,16,0,0,,0,0,60.4,0,0,0,4,4,4,8,TE,
31,Jordan Love,56.2,4,56.2,Sun,6,6,2022-10-16,23-348,GNB,,NYJ,L 10-27,2,4,2,50,8,0,0,,0,0,56.2,0,0,0,2,2,2,4,QB,1-26
32,Jacoby Brissett,54.5,45,54.5,Sun,6,6,2022-10-16,29-309,CLE,,NWE,L 15-38,21,45,24,46.7,266,1,2,,2.2,4.4,54.5,4,8,8.16,5.9,4.36,3.84,12.7,QB,3-91
33,Cooper Rush,37.3,38,37.3,Sun,6,6,2022-10-16,28-329,DAL,@,PHI,L 17-26,18,38,20,47.4,181,1,3,,2.6,7.9,37.3,0,0,0,4.8,1.74,1.74,10.1,QB,
