,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
73,CeeDee Lamb,9,2,9,Sun,6,6,2022-10-16,23-191,DAL,@,PHI,L 17-26,2,9,4.5,0,0,WR,1-17
74,Isiah Pacheco,9,2,9,Sun,6,6,2022-10-16,22-228,KAN,,BUF,L 20-24,2,9,4.5,0,0,RB,7-251
75,Skylar Thompson,9,1,9,Sun,6,6,2022-10-16,25-134,MIA,,MIN,L 16-24,1,9,9,0,1,QB,7-247
76,Chase Claypool,8,1,8,Sun,6,6,2022-10-16,24-101,PIT,,TAM,W 20-18,1,8,8,0,0,WR,2-49
77,James Cook,8,2,8,Sun,6,6,2022-10-16,23-021,BUF,@,KAN,W 24-20,2,8,4,0,,RB,2-63
78,Melvin Gordon,8,3,8,Mon,6,6,2022-10-17,29-187,DEN,@,LAC,L 16-19 (OT),3,8,2.7,0,,RB,1-15
79,Diontae Johnson,8,2,8,Sun,6,6,2022-10-16,26-103,PIT,,TAM,W 20-18,2,8,4,0,0,WR,3-66
80,Velus Jones Jr.,8,1,8,Thu,6,6,2022-10-13,25-155,CHI,,WAS,L 7-12,1,8,8,0,1,WR,3-71
81,Keaontay Ingram,7,3,7,Sun,6,6,2022-10-16,22-355,ARI,@,SEA,L 9-19,3,7,2.3,0,,RB,6-201
82,Phillip Lindsay,7,3,7,Sun,6,6,2022-10-16,28-084,IND,,JAX,W 34-27,3,7,2.3,0,,RB,
83,Chuba Hubbard,6,2,6,Sun,6,6,2022-10-16,23-127,CAR,@,LAR,L 10-24,2,6,3,0,1,RB,4-126
84,Daniel Jones,6,6,6,Sun,6,6,2022-10-16,25-142,NYG,,BAL,W 24-20,6,6,1,0,1,QB,1-6
85,Avery Williams,6,2,6,Sun,6,6,2022-10-16,24-093,ATL,,SFO,W 28-14,2,6,3,0,,RB,5-183
86,Kevin Harris,5,3,5,Sun,6,6,2022-10-16,21-333,NWE,@,CLE,W 38-15,3,5,1.7,0,,RB,6-183
87,Samaje Perine,5,2,5,Sun,6,6,2022-10-16,27-030,CIN,@,NOR,W 30-26,2,5,2.5,0,,RB,4-114
88,Pierre Strong,5,1,5,Sun,6,6,2022-10-16,23-310,NWE,@,CLE,W 38-15,1,5,5,0,,RB,4-127
89,Mitchell Trubisky,5,6,5,Sun,6,6,2022-10-16,28-057,PIT,,TAM,W 20-18,6,5,0.8,0,1,QB,1-2
90,Travis Kelce,4,1,4,Sun,6,6,2022-10-16,33-011,KAN,,BUF,L 20-24,1,4,4,0,0,TE,3-63
91,Christian Kirk,4,1,4,Sun,6,6,2022-10-16,25-332,JAX,@,IND,L 27-34,1,4,4,0,0,WR,2-47
92,Tevin Coleman,3,4,3,Sun,6,6,2022-10-16,29-183,SFO,@,ATL,L 14-28,4,3,0.8,0,,RB,3-73
93,Chase Edmonds,3,2,3,Sun,6,6,2022-10-16,26-186,MIA,,MIN,L 16-24,2,3,1.5,0,,RB,4-134
94,C.J. Ham,3,1,3,Sun,6,6,2022-10-16,29-086,MIN,@,MIA,W 24-16,1,3,3,0,1,FB,
95,Alexander Mattison,3,1,3,Sun,6,6,2022-10-16,24-119,MIN,@,MIA,W 24-16,1,3,3,0,,RB,3-102
96,Alec Ingold,2,1,2,Sun,6,6,2022-10-16,26-099,MIA,,MIN,L 16-24,1,2,2,0,1,FB,
97,Donovan Peoples-Jones,2,1,2,Sun,6,6,2022-10-16,23-239,CLE,,NWE,L 15-38,1,2,2,0,0,WR,6-187
98,Keith Smith,2,1,2,Sun,6,6,2022-10-16,30-191,ATL,,SFO,W 28-14,1,2,2,0,1,FB,
99,Jaylen Warren,2,2,2,Sun,6,6,2022-10-16,23-349,PIT,,TAM,W 20-18,2,2,1,0,1,RB,
100,Carson Wentz,2,2,2,Thu,6,6,2022-10-13,29-287,WAS,@,CHI,W 12-7,2,2,1,0,0,QB,1-2
101,Mike Boone,1,1,1,Mon,6,6,2022-10-17,27-079,DEN,@,LAC,L 16-19 (OT),1,1,1,0,,RB,
102,Tyler Conklin,1,1,1,Sun,6,6,2022-10-16,27-078,NYJ,@,GNB,W 27-10,1,1,1,0,1,TE,5-157
103,DeeJay Dallas,1,2,1,Sun,6,6,2022-10-16,24-030,SEA,,ARI,W 19-9,2,1,0.5,0,1,RB,4-144
104,Jerick McKinnon,1,2,1,Sun,6,6,2022-10-16,30-166,KAN,,BUF,L 20-24,2,1,0.5,0,0,RB,3-96
105,George Pickens,1,1,1,Sun,6,6,2022-10-16,21-226,PIT,,TAM,W 20-18,1,1,1,0,0,WR,2-52
106,Equanimeous St. Brown,1,1,1,Thu,6,6,2022-10-13,26-013,CHI,,WAS,L 7-12,1,1,1,0,,WR,6-207
107,Zach Wilson,1,5,1,Sun,6,6,2022-10-16,23-074,NYJ,@,GNB,W 27-10,5,1,0.2,0,0,QB,1-2
108,Tom Brady,0,1,0,Sun,6,6,2022-10-16,45-074,TAM,@,PIT,L 18-20,1,0,0,0,0,QB,6-199
