,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
12,Cincinnati Bengals,12,21.3,330,60.7,5.4,1.17,0.5,18.1,19.4,32.9,215.7,0.92,0.67,6.3,10.2,26.2,114.3,0.92,4.4,6.58,5.75,47.7,1.33,40.6,10.2,-3.17
13,Washington Commanders,13,19.7,310.5,58.9,5.3,1.15,0.62,17.5,19.2,31.1,200.1,1.54,0.54,5.9,9.69,25.2,110.4,0.54,4.4,5.62,5.15,42.9,2.15,31.3,8.7,-0.24
14,Carolina Panthers,12,22.2,348.2,65.8,5.3,1,0.33,20.4,22.6,34.2,212.5,1.25,0.67,5.9,11.1,29.6,135.7,1.08,4.6,7.83,6.75,54.5,1.5,34,7.8,-1.87
15,Kansas City Chiefs,12,22.5,343.4,63.3,5.4,1,0.5,20.1,24.5,36,237.3,2,0.5,6.1,13,24.3,106.2,0.58,4.4,5.92,6.08,46.5,1.17,38.9,8.7,-4.94
16,Jacksonville Jaguars,12,22.7,369.1,64.6,5.7,1.33,0.58,21.8,22.8,35.6,255.5,1.58,0.75,6.9,12.7,27.4,113.6,1,4.1,7.5,5.08,38.8,1.67,40.7,12.2,-6.38
17,Pittsburgh Steelers,12,23.1,362.6,63.3,5.7,1.42,0.25,19.8,21.5,35.2,255.1,2,1.17,6.9,12.8,26.3,107.5,0.5,4.1,5.67,5.92,43,1.42,38.9,13,-4.01
18,Minnesota Vikings,12,23.3,398.7,66.1,6,1.67,0.67,21.7,25.2,37.4,283.6,1.33,1,7.1,13.4,26.2,115.1,1.08,4.4,6.83,6.75,54.9,1.42,40.7,13.3,-5.07
19,Houston Texans,12,23.9,378.3,66.6,5.7,1.17,0.5,21.4,18.1,29.6,209.2,0.83,0.67,6.6,11.5,34.7,169.1,1.25,4.9,8.5,6.08,49.3,1.42,35.8,9,-5.72
20,Miami Dolphins,12,24.1,344,63.5,5.4,1,0.42,20.1,24.2,35.8,233.5,1.58,0.58,6.1,11.6,25.3,110.5,1.08,4.4,6.33,4.5,47.9,2.17,36.6,9.2,-4.34
21,Los Angeles Rams,13,22.8,330.5,60.6,5.5,1.08,0.38,18.6,22.4,33,228.6,1.38,0.69,6.5,11.9,25.6,101.9,0.62,4,5.38,5.08,39.8,1.31,40.9,9.8,-4.41
22,New Orleans Saints,13,22.8,328.2,63.8,5.1,0.69,0.46,19.8,20.8,33.2,203.2,1.23,0.23,5.7,10.2,27.9,125,0.85,4.5,6.92,5.77,50.3,2.69,39,5.7,-4.29
23,Indianapolis Colts,13,22.9,314.8,62.6,5,0.92,0.54,19.3,20.3,29.8,188.6,1.23,0.38,5.9,9.85,30.4,126.2,1.15,4.2,7.62,4.92,40.8,1.85,35.1,7.4,-2.45
24,Cleveland Browns,12,25,342.3,60.8,5.6,1,0.58,19.6,20.3,32,214.8,1.42,0.42,6.3,10.4,26.8,127.4,1.33,4.8,7.17,5.83,49.5,2,41.6,8,-4.96
25,Green Bay Packers,13,23.2,347.7,60.5,5.8,1.15,0.38,19.5,18.5,27.9,192.9,1.38,0.77,6.5,9.38,30.7,154.8,1.15,5,8.38,5.62,51.4,1.77,39,11,-5.14
26,Seattle Seahawks,12,25.3,382.9,67.3,5.7,1.75,0.83,21.7,21.7,33.1,227.7,1.5,0.92,6.4,11.8,31.5,155.3,1.33,4.9,7.92,6.25,53.8,1.92,39.2,14.6,-6.98
27,Los Angeles Chargers,12,25.8,371.7,61.3,6.1,1.42,0.67,20.3,20.1,31.6,220.1,1.67,0.75,6.6,11.8,27.9,151.6,1.08,5.4,7,5,48.4,1.5,42.9,11.3,-7.51
28,Atlanta Falcons,13,24,380.6,65.6,5.8,1.15,0.38,21.9,23.4,34.7,251.1,1.46,0.77,7,12.5,29.6,129.5,1.15,4.4,8.31,6.31,51.7,1.08,45,11.5,-8.84
29,Las Vegas Raiders,13,24.1,365,63.8,5.7,0.77,0.46,21.1,24.6,35.3,254.5,1.62,0.31,6.8,12.5,26.6,110.5,1.08,4.2,6.85,5.38,44.5,1.69,40,7.4,-7.5
30,Arizona Cardinals,12,26.8,356.2,62.6,5.7,1.17,0.58,21.7,25.3,36.5,245.4,2,0.58,6.4,13.4,24.2,110.8,1.08,4.6,6.92,5.83,44.7,1.33,43.1,10.8,-6.23
31,Detroit Lions,12,27,402.2,65.1,6.2,1.25,0.5,23.3,22.1,34.5,252.5,1.58,0.75,6.9,12.9,28.8,149.7,1.5,5.2,8.58,6.75,51.3,1.83,43.1,11.4,-10.7
32,Chicago Bears,13,25.6,350.5,59.5,5.9,1.15,0.46,20.5,18.2,27.4,204.2,1.23,0.69,7.1,10.4,30.8,146.3,1.62,4.7,8.38,4.54,36.3,1.77,39.7,9.9,-8.84
