player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Jameis Winston,NA,NA,NA,NA,NA,NA
Jimmy Garoppolo,NA,NA,NA,NA,NA,NA
Daniel Jones,NA,NA,NA,NA,NA,NA
Cooper Rush,NA,NA,NA,NA,NA,NA
Mac Jones,NA,NA,NA,NA,NA,NA
Mitch Trubisky,NA,NA,NA,NA,NA,NA
Zach Wilson,NA,NA,NA,NA,NA,NA
Kenny Pickett,NA,NA,NA,NA,NA,NA
Andy Dalton,NA,NA,NA,NA,NA,NA
Bailey Zappe,NA,NA,NA,NA,NA,NA
Trey Lance,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,NA,NA,NA,NA,NA,NA
Skylar Thompson,NA,NA,NA,NA,NA,NA
Dak Prescott,NA,NA,NA,NA,NA,NA
Jordan Love,NA,NA,NA,NA,NA,NA
P J Walker,NA,NA,NA,NA,NA,NA
Brian Hoyer,NA,NA,NA,NA,NA,NA
Trace McSorley,NA,NA,NA,NA,NA,NA
Tyrod Taylor,NA,NA,NA,NA,NA,NA
Case Keenum,NA,NA,NA,NA,NA,NA
Braxton Berrios,NA,NA,NA,NA,NA,NA
Cordarrelle Patterson,NA,NA,NA,NA,NA,NA
Javonte Williams,NA,NA,NA,NA,NA,NA
Noah Brown,NA,NA,NA,NA,NA,NA
Greg Dortch,NA,NA,NA,NA,NA,NA
Ben Skowronek,NA,NA,NA,NA,NA,NA
Ashton Dulin,NA,NA,NA,NA,NA,NA
DeAndre Carter,NA,NA,NA,NA,NA,NA
Samaje Perine,NA,NA,NA,NA,NA,NA
Chase Edmonds,NA,NA,NA,NA,NA,NA
Sterling Shepard,NA,NA,NA,NA,NA,NA
Kendrick Bourne,NA,NA,NA,NA,NA,NA
Mecole Hardman,NA,NA,NA,NA,NA,NA
Justice Hill,NA,NA,NA,NA,NA,NA
Jaylen Warren,NA,NA,NA,NA,NA,NA
Jauan Jennings,NA,NA,NA,NA,NA,NA
Mo Alie Cox,NA,NA,NA,NA,NA,NA
Dante Pettis,NA,NA,NA,NA,NA,NA
Juwan Johnson,NA,NA,NA,NA,NA,NA
KhaDarel Hodge,NA,NA,NA,NA,NA,NA
James Cook,NA,NA,NA,NA,NA,NA
Kylen Granson,NA,NA,NA,NA,NA,NA
Parris Campbell,NA,NA,NA,NA,NA,NA
Shi Smith,NA,NA,NA,NA,NA,NA
Cameron Brate,NA,NA,NA,NA,NA,NA
Caleb Huntley,NA,NA,NA,NA,NA,NA
Ian Thomas,NA,NA,NA,NA,NA,NA
Sony Michel,NA,NA,NA,NA,NA,NA
Quez Watkins,NA,NA,NA,NA,NA,NA
Kendall Hinton,NA,NA,NA,NA,NA,NA
Zach Gentry,NA,NA,NA,NA,NA,NA
Jamal Agnew,NA,NA,NA,NA,NA,NA
Eric Saubert,NA,NA,NA,NA,NA,NA
Breshad Perriman,NA,NA,NA,NA,NA,NA
Trent Sherfield,NA,NA,NA,NA,NA,NA
Harrison Bryant,NA,NA,NA,NA,NA,NA
Scotty Miller,NA,NA,NA,NA,NA,NA
Adam Trautman,NA,NA,NA,NA,NA,NA
Skyy Moore,NA,NA,NA,NA,NA,NA
Cade Otton,NA,NA,NA,NA,NA,NA
Johnny Mundt,NA,NA,NA,NA,NA,NA
John Bates,NA,NA,NA,NA,NA,NA
Pharaoh Brown,NA,NA,NA,NA,NA,NA
Avery Williams,NA,NA,NA,NA,NA,NA
Christian Watson,NA,NA,NA,NA,NA,NA
Matt Breida,NA,NA,NA,NA,NA,NA
Quintin Morris,NA,NA,NA,NA,NA,NA
KJ Hamler,NA,NA,NA,NA,NA,NA
Jalen Guyton,NA,NA,NA,NA,NA,NA
Jake Kumerow,NA,NA,NA,NA,NA,NA
Marquez Callaway,NA,NA,NA,NA,NA,NA
Justin Watson,NA,NA,NA,NA,NA,NA
Mike Strachan,NA,NA,NA,NA,NA,NA
Isaiah Likely,NA,NA,NA,NA,NA,NA
Giovanni Ricci,NA,NA,NA,NA,NA,NA
Jonnu Smith,NA,NA,NA,NA,NA,NA
Noah Gray,NA,NA,NA,NA,NA,NA
Dan Arnold,NA,NA,NA,NA,NA,NA
Tutu Atwell,NA,NA,NA,NA,NA,NA
Jonathan Williams,NA,NA,NA,NA,NA,NA
David Bell,NA,NA,NA,NA,NA,NA
Marquise Goodwin,NA,NA,NA,NA,NA,NA
Ray Ray McCloud III,NA,NA,NA,NA,NA,NA
Andrew Beck,NA,NA,NA,NA,NA,NA
Trestan Ebner,NA,NA,NA,NA,NA,NA
Travis Homer,NA,NA,NA,NA,NA,NA
Durham Smythe,NA,NA,NA,NA,NA,NA
Albert Okwuegbunam,NA,NA,NA,NA,NA,NA
Ross Dwelley,NA,NA,NA,NA,NA,NA
A J Green,NA,NA,NA,NA,NA,NA
Demarcus Robinson,NA,NA,NA,NA,NA,NA
Cedrick Wilson Jr,NA,NA,NA,NA,NA,NA
Josiah Deguara,NA,NA,NA,NA,NA,NA
Jelani Woods,NA,NA,NA,NA,NA,NA
Patrick Ricard,NA,NA,NA,NA,NA,NA
Peyton Hendershot,NA,NA,NA,NA,NA,NA
Tommy Tremble,NA,NA,NA,NA,NA,NA
Parker Hesse,NA,NA,NA,NA,NA,NA
Isaiah Hodgins,NA,NA,NA,NA,NA,NA
Elijah Mitchell,NA,NA,NA,NA,NA,NA
Grant Calcaterra,NA,NA,NA,NA,NA,NA
Tanner Hudson,NA,NA,NA,NA,NA,NA
Anthony Firkser,NA,NA,NA,NA,NA,NA
Reggie Gilliam,NA,NA,NA,NA,NA,NA
Zach Pascal,NA,NA,NA,NA,NA,NA
Anthony Schwartz,NA,NA,NA,NA,NA,NA
Mike Thomas,NA,NA,NA,NA,NA,NA
Kendall Blanton,NA,NA,NA,NA,NA,NA
Tyrion Davis Price,NA,NA,NA,NA,NA,NA
Myles Gaskin,NA,NA,NA,NA,NA,NA
Byron Pringle,NA,NA,NA,NA,NA,NA
Brandon Powell,NA,NA,NA,NA,NA,NA
Montrell Washington,NA,NA,NA,NA,NA,NA
Boston Scott,NA,NA,NA,NA,NA,NA
Terrace Marshall Jr,NA,NA,NA,NA,NA,NA
Mitchell Wilcox,NA,NA,NA,NA,NA,NA
