player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Velus Jones Jr,NA,NA,NA,NA,NA,NA
Jalen Reagor,NA,NA,NA,NA,NA,NA
Tyler Davis,NA,NA,NA,NA,NA,NA
Alec Ingold,NA,NA,NA,NA,NA,NA
Andre Baccellia,NA,NA,NA,NA,NA,NA
Simi Fehoko,NA,NA,NA,NA,NA,NA
Trey McBride,NA,NA,NA,NA,NA,NA
Dax Milne,NA,NA,NA,NA,NA,NA
Armani Rogers,NA,NA,NA,NA,NA,NA
Kadarius Toney,NA,NA,NA,NA,NA,NA
Cole Turner,NA,NA,NA,NA,NA,NA
Trevon Wesco,NA,NA,NA,NA,NA,NA
Dee Eskridge,NA,NA,NA,NA,NA,NA
Kenny Golladay,NA,NA,NA,NA,NA,NA
C J Ham,NA,NA,NA,NA,NA,NA
Andy Isabella,NA,NA,NA,NA,NA,NA
Jake Ferguson,NA,NA,NA,NA,NA,NA
Lil Jordan Humphrey,NA,NA,NA,NA,NA,NA
Tony Jones Jr,NA,NA,NA,NA,NA,NA
Gary Brightwell,NA,NA,NA,NA,NA,NA
Ryan Griffin,NA,NA,NA,NA,NA,NA
Ko Kieft,NA,NA,NA,NA,NA,NA
Trey Sermon,NA,NA,NA,NA,NA,NA
Mike Davis,NA,NA,NA,NA,NA,NA
D Onta Foreman,NA,NA,NA,NA,NA,NA
Gunner Olszewski,NA,NA,NA,NA,NA,NA
Dwayne Washington,NA,NA,NA,NA,NA,NA
C J Uzomah,NA,NA,NA,NA,NA,NA
Tylan Wallace,NA,NA,NA,NA,NA,NA
Penny Hart,NA,NA,NA,NA,NA,NA
Chris Manhertz,NA,NA,NA,NA,NA,NA
Ihmir Smith Marsette,NA,NA,NA,NA,NA,NA
River Cracraft,NA,NA,NA,NA,NA,NA
Deonte Harty,NA,NA,NA,NA,NA,NA
Ty Montgomery,NA,NA,NA,NA,NA,NA
Jalen Nailor,NA,NA,NA,NA,NA,NA
Cam Sims,NA,NA,NA,NA,NA,NA
Stephen Sullivan,NA,NA,NA,NA,NA,NA
Bryan Edwards,NA,NA,NA,NA,NA,NA
Connor Heyward,NA,NA,NA,NA,NA,NA
Zander Horvath,NA,NA,NA,NA,NA,NA
Kyle Rudolph,NA,NA,NA,NA,NA,NA
Miles Boykin,NA,NA,NA,NA,NA,NA
Jody Fortson,NA,NA,NA,NA,NA,NA
Chris Myarick,NA,NA,NA,NA,NA,NA
Michael Burton,NA,NA,NA,NA,NA,NA
Tyler Kroft,NA,NA,NA,NA,NA,NA
Josh Oliver,NA,NA,NA,NA,NA,NA
Jordan Mason,NA,NA,NA,NA,NA,NA
Tyquan Thornton,NA,NA,NA,NA,NA,NA
Wan Dale Robinson,NA,NA,NA,NA,NA,NA
Nick Vannett,NA,NA,NA,NA,NA,NA
Chris Evans,NA,NA,NA,NA,NA,NA
Ty Johnson,NA,NA,NA,NA,NA,NA
Jack Stoll,NA,NA,NA,NA,NA,NA
Jalen Tolbert,NA,NA,NA,NA,NA,NA
KaVontae Turpin,NA,NA,NA,NA,NA,NA
Derek Watt,NA,NA,NA,NA,NA,NA
Stephen Anderson,NA,NA,NA,NA,NA,NA
Marcedes Lewis,NA,NA,NA,NA,NA,NA
Damien Williams,NA,NA,NA,NA,NA,NA
Curtis Hodges,NA,NA,NA,NA,NA,NA
Eli Wolf,NA,NA,NA,NA,NA,NA
Patrick Scales,NA,NA,NA,NA,NA,NA
Khari Blasingame,NA,NA,NA,NA,NA,NA
Jake Tonges,NA,NA,NA,NA,NA,NA
N Keal Harry,NA,NA,NA,NA,NA,NA
Washington Commanders,NA,NA,NA,NA,NA,NA
Chicago Bears,NA,NA,NA,NA,NA,NA
Marlon Mack,NA,NA,NA,NA,NA,NA
Charlie Woerner,NA,NA,NA,NA,NA,NA
Danny Gray,NA,NA,NA,NA,NA,NA
Jordan Matthews,NA,NA,NA,NA,NA,NA
Keith Smith,NA,NA,NA,NA,NA,NA
Damiere Byrd,NA,NA,NA,NA,NA,NA
Feleipe Franks,NA,NA,NA,NA,NA,NA
Jared Bernhardt,NA,NA,NA,NA,NA,NA
John FitzPatrick,NA,NA,NA,NA,NA,NA
Beau Brinkley,NA,NA,NA,NA,NA,NA
San Francisco 49ers,NA,NA,NA,NA,NA,NA
Atlanta Falcons,NA,NA,NA,NA,NA,NA
Matthew Slater,NA,NA,NA,NA,NA,NA
Pierre Strong Jr,NA,NA,NA,NA,NA,NA
Kristian Wilkerson,NA,NA,NA,NA,NA,NA
D Ernest Johnson,NA,NA,NA,NA,NA,NA
Demetric Felton,NA,NA,NA,NA,NA,NA
Jerome Ford,NA,NA,NA,NA,NA,NA
Michael Woods II,NA,NA,NA,NA,NA,NA
Jesse James,NA,NA,NA,NA,NA,NA
Jakeem Grant Sr,NA,NA,NA,NA,NA,NA
Isaiah Weston,NA,NA,NA,NA,NA,NA
New England Patriots,NA,NA,NA,NA,NA,NA
Cleveland Browns,NA,NA,NA,NA,NA,NA
Denzel Mims,NA,NA,NA,NA,NA,NA
Lawrence Cager,NA,NA,NA,NA,NA,NA
Jeremy Ruckert,NA,NA,NA,NA,NA,NA
