,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
31,Stefon Diggs,74,11,Sun,3,3,2022-09-25,28-300,BUF,@,MIA,L 19-21,11,7,74,10.6,0,63.6,6.7,4,WR,5-146
32,Romeo Doubs,73,8,Sun,3,3,2022-09-25,22-165,GNB,@,TAM,W 14-12,8,8,73,9.1,1,100,9.1,3,WR,4-132
33,K.J. Osborn,73,8,Sun,3,3,2022-09-25,25-107,MIN,,DET,W 28-24,8,5,73,14.6,1,62.5,9.1,3,WR,5-176
34,Deebo Samuel,73,8,Sun,3,3,2022-09-25,26-253,SFO,@,DEN,L 10-11,8,5,73,14.6,0,62.5,9.1,3,WR,2-36
35,Amon-Ra St. Brown,73,9,Sun,3,3,2022-09-25,22-336,DET,@,MIN,L 24-28,9,6,73,12.2,0,66.7,8.1,4,WR,4-112
36,Christian Kirk,72,9,Sun,3,3,2022-09-25,25-311,JAX,@,LAC,W 38-10,9,6,72,12,1,66.7,8,4,WR,2-47
37,Michael Pittman Jr.,72,9,Sun,3,3,2022-09-25,24-355,IND,,KAN,W 20-17,9,8,72,9,0,88.9,8,4,WR,2-34
38,Ben Skowronek,66,4,Sun,3,3,2022-09-25,25-090,LAR,@,ARI,W 20-12,4,4,66,16.5,0,100,16.5,2,WR,7-249
39,Jalen Guyton,64,3,Sun,3,3,2022-09-25,25-110,LAC,,JAX,L 10-38,3,2,64,32,0,66.7,21.3,2,WR,
40,D.K. Metcalf,64,12,Sun,3,3,2022-09-25,24-285,SEA,,ATL,L 23-27,12,5,64,12.8,1,41.7,5.3,4,WR,2-64
41,Chris Moore,63,3,Sun,3,3,2022-09-25,29-101,HOU,@,CHI,L 20-23,3,3,63,21,0,100,21,1,WR,4-107
42,Tyler Higbee,61,4,Sun,3,3,2022-09-25,29-267,LAR,@,ARI,W 20-12,4,4,61,15.3,0,100,15.3,2,TE,4-110
43,Alec Pierce,61,5,Sun,3,3,2022-09-25,22-146,IND,,KAN,W 20-17,5,3,61,20.3,0,60,12.2,3,WR,2-53
44,Adam Thielen,61,8,Sun,3,3,2022-09-25,32-034,MIN,,DET,W 28-24,8,6,61,10.2,1,75,7.6,6,WR,
45,Garrett Wilson,60,11,Sun,3,3,2022-09-25,22-065,NYJ,,CIN,L 12-27,11,6,60,10,0,54.5,5.5,3,WR,1-10
46,Rashod Bateman,59,4,Sun,3,3,2022-09-25,22-300,BAL,@,NWE,W 37-26,4,2,59,29.5,0,50,14.8,1,WR,1-27
47,Kendrick Bourne,58,5,Sun,3,3,2022-09-25,27-052,NWE,,BAL,L 26-37,5,4,58,14.5,0,80,11.6,3,WR,
48,Derrick Henry,58,6,Sun,3,3,2022-09-25,28-264,TEN,,LVR,W 24-22,6,5,58,11.6,0,83.3,9.7,2,RB,2-45
49,Travis Kelce,58,8,Sun,3,3,2022-09-25,32-355,KAN,@,IND,L 17-20,8,4,58,14.5,1,50,7.3,3,TE,3-63
50,Randall Cobb,57,2,Sun,3,3,2022-09-25,32-034,GNB,@,TAM,W 14-12,2,2,57,28.5,0,100,28.5,2,WR,2-64
51,Noah Brown,54,7,Mon,3,3,2022-09-26,26-263,DAL,@,NYG,W 23-16,7,5,54,10.8,0,71.4,7.7,3,WR,7-239
52,Drake London,54,6,Sun,3,3,2022-09-25,21-063,ATL,@,SEA,W 27-23,6,3,54,18,1,50,9,3,WR,1-8
53,Breece Hall,53,11,Sun,3,3,2022-09-25,21-117,NYJ,,CIN,L 12-27,11,6,53,8.8,0,54.5,4.8,3,RB,2-36
54,Cameron Brate,52,6,Sun,3,3,2022-09-25,31-084,TAM,,GNB,L 12-14,6,5,52,10.4,0,83.3,8.7,3,TE,
55,Elijah Moore,49,9,Sun,3,3,2022-09-25,22-182,NYJ,,CIN,L 12-27,9,4,49,12.3,0,44.4,5.4,3,WR,2-34
56,Sterling Shepard,49,10,Mon,3,3,2022-09-26,29-228,NYG,,DAL,L 16-23,10,5,49,9.8,0,50,4.9,2,WR,2-40
57,Michael Thomas,49,5,Sun,3,3,2022-09-25,29-206,NOR,@,CAR,L 14-22,5,5,49,9.8,0,100,9.8,3,WR,2-47
58,Olamide Zaccheaus,49,2,Sun,3,3,2022-09-25,25-064,ATL,@,SEA,W 27-23,2,2,49,24.5,0,100,24.5,2,WR,
59,Austin Ekeler,48,8,Sun,3,3,2022-09-25,27-131,LAC,,JAX,L 10-38,8,8,48,6,0,100,6,2,RB,
60,Curtis Samuel,48,10,Sun,3,3,2022-09-25,26-045,WAS,,PHI,L 8-24,10,7,48,6.9,0,70,4.8,2,WR,2-40
61,Marquez Valdes-Scantling,48,7,Sun,3,3,2022-09-25,27-350,KAN,@,IND,L 17-20,7,4,48,12,0,57.1,6.9,3,WR,5-174
62,DJ Chark,46,6,Sun,3,3,2022-09-25,26-002,DET,@,MIN,L 24-28,6,3,46,15.3,0,50,7.7,3,WR,2-61
63,Saquon Barkley,45,4,Mon,3,3,2022-09-26,25-229,NYG,,DAL,L 16-23,4,4,45,11.3,0,100,11.3,0,RB,1-2
64,Zach Ertz,45,10,Sun,3,3,2022-09-25,31-319,ARI,,LAR,L 12-20,10,6,45,7.5,0,60,4.5,2,TE,2-35
65,Allen Lazard,45,6,Sun,3,3,2022-09-25,26-288,GNB,@,TAM,W 14-12,6,4,45,11.3,1,66.7,7.5,4,WR,
66,Cooper Kupp,44,6,Sun,3,3,2022-09-25,29-102,LAR,@,ARI,W 20-12,6,4,44,11,0,66.7,7.3,3,WR,3-69
67,Foster Moreau,44,4,Sun,3,3,2022-09-25,25-142,LVR,@,TEN,L 22-24,4,3,44,14.7,0,75,11,3,TE,4-137
68,Colby Parkinson,44,2,Sun,3,3,2022-09-25,23-260,SEA,,ATL,L 23-27,2,2,44,22,0,100,22,2,TE,4-133
69,Breshad Perriman,44,4,Sun,3,3,2022-09-25,29-015,TAM,,GNB,L 12-14,4,3,44,14.7,0,75,11,1,WR,1-26
70,Peyton Hendershot,43,3,Mon,3,3,2022-09-26,23-156,DAL,@,NYG,W 23-16,3,3,43,14.3,0,100,14.3,2,TE,
71,Nelson Agholor,41,3,Sun,3,3,2022-09-25,29-124,NWE,,BAL,L 26-37,3,2,41,20.5,0,66.7,13.7,1,WR,1-20
72,Nico Collins,41,4,Sun,3,3,2022-09-25,23-190,HOU,@,CHI,L 20-23,4,2,41,20.5,0,50,10.3,2,WR,3-89
73,Pat Freiermuth,41,4,Thu,3,3,2022-09-22,23-332,PIT,@,CLE,L 17-29,4,2,41,20.5,0,50,10.3,2,TE,2-55
74,Daniel Bellinger,40,5,Mon,3,3,2022-09-26,22-004,NYG,,DAL,L 16-23,5,4,40,10,0,80,8,2,TE,4-112
75,Grant Calcaterra,40,1,Sun,3,3,2022-09-25,23-295,PHI,@,WAS,W 24-8,1,1,40,40,0,100,40,1,TE,6-198
76,Cole Kmet,40,3,Sun,3,3,2022-09-25,23-199,CHI,,HOU,W 23-20,3,2,40,20,0,66.7,13.3,2,TE,2-43
77,Nick Westbrook-Ikhine,40,3,Sun,3,3,2022-09-25,25-188,TEN,,LVR,W 24-22,3,3,40,13.3,0,100,13.3,3,WR,
78,Brandon Aiyuk,39,8,Sun,3,3,2022-09-25,24-192,SFO,@,DEN,L 10-11,8,3,39,13,1,37.5,4.9,3,WR,1-25
79,Clyde Edwards-Helaire,39,5,Sun,3,3,2022-09-25,23-167,KAN,@,IND,L 17-20,5,5,39,7.8,0,100,7.8,1,RB,1-32
80,George Pickens,39,7,Thu,3,3,2022-09-22,21-202,PIT,@,CLE,L 17-29,7,3,39,13,0,42.9,5.6,1,WR,2-52
81,James Cook,37,5,Sun,3,3,2022-09-25,23-000,BUF,@,MIA,L 19-21,5,4,37,9.3,0,80,7.4,0,RB,2-63
82,Gabriel Davis,37,6,Sun,3,3,2022-09-25,23-177,BUF,@,MIA,L 19-21,6,3,37,12.3,0,50,6.2,2,WR,4-128
83,Robert Tonyan,37,7,Sun,3,3,2022-09-25,28-148,GNB,@,TAM,W 14-12,7,6,37,6.2,0,85.7,5.3,1,TE,
84,Davante Adams,36,10,Sun,3,3,2022-09-25,29-275,LVR,@,TEN,L 22-24,10,5,36,7.2,1,50,3.6,2,WR,2-53
85,Richie James,36,5,Mon,3,3,2022-09-26,27-021,NYG,,DAL,L 16-23,5,4,36,9,0,80,7.2,2,WR,7-240
86,Chase Claypool,35,6,Thu,3,3,2022-09-22,24-077,PIT,@,CLE,L 17-29,6,3,35,11.7,0,50,5.8,2,WR,2-49
87,Leonard Fournette,35,6,Sun,3,3,2022-09-25,27-250,TAM,,GNB,L 12-14,6,5,35,7,0,83.3,5.8,3,RB,1-4
88,Will Dissly,34,3,Sun,3,3,2022-09-25,26-079,SEA,,ATL,L 23-27,3,3,34,11.3,1,100,11.3,2,TE,4-120
89,Tyreek Hill,33,4,Sun,3,3,2022-09-25,28-208,MIA,,BUF,W 21-19,4,2,33,16.5,0,50,8.3,2,WR,5-165
90,Marvin Jones,33,7,Sun,3,3,2022-09-25,32-197,JAX,@,LAC,W 38-10,7,4,33,8.3,1,57.1,4.7,2,WR,5-166
91,J.D. McKissic,32,9,Sun,3,3,2022-09-25,29-041,WAS,,PHI,L 8-24,9,6,32,5.3,0,66.7,3.6,3,RB,
92,Irv Smith Jr.,32,6,Sun,3,3,2022-09-25,24-047,MIN,,DET,W 28-24,6,2,32,16,0,33.3,5.3,2,TE,2-50
93,Jordan Akins,31,4,Sun,3,3,2022-09-25,30-159,HOU,@,CHI,L 20-23,4,3,31,10.3,1,75,7.8,2,TE,3-98
94,Pharaoh Brown,31,4,Sun,3,3,2022-09-25,28-144,HOU,@,CHI,L 20-23,4,3,31,10.3,0,75,7.8,1,TE,
95,DeAndre Carter,31,4,Sun,3,3,2022-09-25,29-168,LAC,,JAX,L 10-38,4,3,31,10.3,0,75,7.8,2,WR,
96,Marquise Goodwin,31,5,Sun,3,3,2022-09-25,31-310,SEA,,ATL,L 23-27,5,2,31,15.5,0,40,6.2,1,WR,3-78
97,Josh Jacobs,31,5,Sun,3,3,2022-09-25,24-226,LVR,@,TEN,L 22-24,5,5,31,6.2,0,100,6.2,1,RB,1-24
98,Jeff Wilson,31,3,Sun,3,3,2022-09-25,26-313,SFO,@,DEN,L 10-11,3,3,31,10.3,0,100,10.3,0,RB,
99,Travis Etienne,30,3,Sun,3,3,2022-09-25,23-242,JAX,@,LAC,W 38-10,3,3,30,10,0,100,10,2,RB,1-25
100,Dontrell Hilliard,30,1,Sun,3,3,2022-09-25,27-211,TEN,,LVR,W 24-22,1,1,30,30,0,100,30,1,RB,
101,Ja'Marr Chase,29,10,Sun,3,3,2022-09-25,22-208,CIN,@,NYJ,W 27-12,10,6,29,4.8,1,60,2.9,2,WR,1-5
102,Melvin Gordon,29,6,Sun,3,3,2022-09-25,29-165,DEN,,SFO,W 11-10,6,5,29,5.8,0,83.3,4.8,1,RB,1-15
103,Kendall Blanton,28,1,Sun,3,3,2022-09-25,26-319,LAR,@,ARI,W 20-12,1,1,28,28,0,100,28,1,TE,
104,George Kittle,28,5,Sun,3,3,2022-09-25,28-351,SFO,@,DEN,L 10-11,5,4,28,7,0,80,5.6,,TE,5-146
105,Rhamondre Stevenson,28,5,Sun,3,3,2022-09-25,24-214,NWE,,BAL,L 26-37,5,4,28,7,0,80,5.6,1,RB,4-120
106,Corey Davis,27,5,Sun,3,3,2022-09-25,27-257,NYJ,,CIN,L 12-27,5,2,27,13.5,0,40,5.4,1,WR,1-5
107,Noah Fant,27,4,Sun,3,3,2022-09-25,24-309,SEA,,ATL,L 23-27,4,4,27,6.8,0,100,6.8,1,TE,1-20
108,Kendall Hinton,27,1,Sun,3,3,2022-09-25,25-218,DEN,,SFO,W 11-10,1,1,27,27,0,100,27,1,WR,
109,Brandon Powell,27,3,Sun,3,3,2022-09-25,27-013,LAR,@,ARI,W 20-12,3,3,27,9,0,100,9,1,WR,
110,Tyler Davis,26,2,Sun,3,3,2022-09-25,25-176,GNB,@,TAM,W 14-12,2,2,26,13,0,100,13,1,TE,6-206
111,Dallas Goedert,26,4,Sun,3,3,2022-09-25,27-265,PHI,@,WAS,W 24-8,4,3,26,8.7,1,75,6.5,1,TE,2-49
112,Noah Gray,26,2,Sun,3,3,2022-09-25,23-148,KAN,@,IND,L 17-20,2,1,26,26,0,50,13,1,TE,5-162
113,Jaelon Darden,25,1,Sun,3,3,2022-09-25,23-254,TAM,,GNB,L 12-14,1,1,25,25,0,100,25,1,WR,4-129
114,Devin Duvernay,25,2,Sun,3,3,2022-09-25,25-013,BAL,@,NWE,W 37-26,2,2,25,12.5,1,100,12.5,2,WR,3-92
115,Gerald Everett,25,6,Sun,3,3,2022-09-25,28-092,LAC,,JAX,L 10-38,6,2,25,12.5,0,33.3,4.2,1,TE,2-44
116,Dawson Knox,25,4,Sun,3,3,2022-09-25,25-315,BUF,@,MIA,L 19-21,4,4,25,6.3,0,100,6.3,1,TE,3-96
117,Jonnu Smith,25,4,Sun,3,3,2022-09-25,27-034,NWE,,BAL,L 26-37,4,4,25,6.3,0,100,6.3,1,TE,3-100
118,Ben Ellefson,24,2,Sun,3,3,2022-09-25,26-024,MIN,,DET,W 28-24,2,2,24,12,0,100,12,2,TE,
119,Kyle Juszczyk,24,1,Sun,3,3,2022-09-25,31-155,SFO,@,DEN,L 10-11,1,1,24,24,0,100,24,1,FB,4-130
120,Nyheim Hines,23,6,Sun,3,3,2022-09-25,25-317,IND,,KAN,W 20-17,6,5,23,4.6,0,83.3,3.8,1,RB,4-104
121,Darnell Mooney,23,6,Sun,3,3,2022-09-25,24-331,CHI,,HOU,W 23-20,6,2,23,11.5,0,33.3,3.8,1,WR,5-173
122,Johnny Mundt,23,2,Sun,3,3,2022-09-25,27-306,MIN,,DET,W 28-24,2,2,23,11.5,0,100,11.5,2,TE,
123,Allen Robinson,23,5,Sun,3,3,2022-09-25,29-032,LAR,@,ARI,W 20-12,5,2,23,11.5,0,40,4.6,1,WR,2-61
124,Durham Smythe,23,3,Sun,3,3,2022-09-25,27-047,MIA,,BUF,W 21-19,3,3,23,7.7,0,100,7.7,1,TE,4-123
125,Brandin Cooks,22,7,Sun,3,3,2022-09-25,29-000,HOU,@,CHI,L 20-23,7,2,22,11,0,28.6,3.1,1,WR,1-20
126,Anthony Firkser,22,1,Sun,3,3,2022-09-25,27-218,ATL,@,SEA,W 27-23,1,1,22,22,0,100,22,1,TE,
127,Reggie Gilliam,22,3,Sun,3,3,2022-09-25,25-036,BUF,@,MIA,L 19-21,3,2,22,11,0,66.7,7.3,1,FB,
128,Jarvis Landry,22,5,Sun,3,3,2022-09-25,29-301,NOR,@,CAR,L 14-22,5,2,22,11,0,40,4.4,1,WR,2-63
129,Quintin Morris,22,2,Sun,3,3,2022-09-25,23-247,BUF,@,MIA,L 19-21,2,2,22,11,0,100,11,2,TE,
130,Shi Smith,22,2,Sun,3,3,2022-09-25,23-334,CAR,,NOR,W 22-14,2,2,22,11,0,100,11,1,WR,6-204
131,Darren Waller,22,5,Sun,3,3,2022-09-25,30-012,LVR,@,TEN,L 22-24,5,3,22,7.3,0,60,4.4,1,TE,6-204
132,Rex Burkhead,21,5,Sun,3,3,2022-09-25,32-085,HOU,@,CHI,L 20-23,5,4,21,5.3,0,80,4.2,,RB,6-190
133,Dameon Pierce,21,2,Sun,3,3,2022-09-25,22-218,HOU,@,CHI,L 20-23,2,2,21,10.5,0,100,10.5,1,RB,4-107
134,David Sills,20,4,Mon,3,3,2022-09-26,26-120,NYG,,DAL,L 16-23,4,2,20,10,0,50,5,2,WR,
135,Equanimeous St. Brown,20,2,Sun,3,3,2022-09-25,25-360,CHI,,HOU,W 23-20,2,1,20,20,0,50,10,1,WR,6-207
136,Jonathan Taylor,20,5,Sun,3,3,2022-09-25,23-249,IND,,KAN,W 20-17,5,3,20,6.7,0,60,4,1,RB,2-41
137,Jamaal Williams,20,2,Sun,3,3,2022-09-25,27-175,DET,@,MIN,L 24-28,2,2,20,10,0,100,10,1,RB,4-134
138,Austin Hooper,19,2,Sun,3,3,2022-09-25,27-331,TEN,,LVR,W 24-22,2,2,19,9.5,0,100,9.5,1,TE,3-81
139,Geoff Swaim,19,3,Sun,3,3,2022-09-25,29-009,TEN,,LVR,W 24-22,3,3,19,6.3,1,100,6.3,2,TE,7-246
140,James Conner,18,5,Sun,3,3,2022-09-25,27-143,ARI,,LAR,L 12-20,5,3,18,6,0,60,3.6,0,RB,3-105
141,T.J. Hockenson,18,4,Sun,3,3,2022-09-25,25-084,DET,@,MIN,L 24-28,4,3,18,6,1,75,4.5,1,TE,1-8
142,Zach Pascal,18,3,Sun,3,3,2022-09-25,27-281,PHI,@,WAS,W 24-8,3,3,18,6,0,100,6,2,WR,
143,Jamal Agnew,17,1,Sun,3,3,2022-09-25,27-175,JAX,@,LAC,W 38-10,1,1,17,17,0,100,17,1,WR,5-165
144,DeeJay Dallas,17,2,Sun,3,3,2022-09-25,24-009,SEA,,ATL,L 23-27,2,2,17,8.5,0,100,8.5,1,RB,4-144
145,J.K. Dobbins,17,2,Sun,3,3,2022-09-25,23-282,BAL,@,NWE,W 37-26,2,2,17,8.5,0,100,8.5,1,RB,2-55
146,Jerry Jeudy,17,6,Sun,3,3,2022-09-25,23-154,DEN,,SFO,W 11-10,6,2,17,8.5,0,33.3,2.8,1,WR,1-15
147,Alexander Mattison,16,1,Sun,3,3,2022-09-25,24-098,MIN,,DET,W 28-24,1,1,16,16,0,100,16,0,RB,3-102
148,James Robinson,16,3,Sun,3,3,2022-09-25,24-047,JAX,@,LAC,W 38-10,3,3,16,5.3,0,100,5.3,1,RB,
149,Phillip Dorsett,15,1,Sun,3,3,2022-09-25,29-263,HOU,@,CHI,L 20-23,1,1,15,15,0,100,15,1,WR,1-29
150,C.J. Ham,15,3,Sun,3,3,2022-09-25,29-065,MIN,,DET,W 28-24,3,2,15,7.5,0,66.7,5,1,FB,
151,Penny Hart,15,1,Sun,3,3,2022-09-25,26-082,SEA,,ATL,L 23-27,1,1,15,15,0,100,15,1,WR,
152,Giovanni Ricci,15,2,Sun,3,3,2022-09-25,25-344,CAR,,NOR,W 22-14,2,1,15,15,0,50,7.5,1,FB,
153,D'Andre Swift,15,4,Sun,3,3,2022-09-25,23-254,DET,@,MIN,L 24-28,4,3,15,5,0,75,3.8,1,RB,2-35
154,Mike Williams,15,6,Sun,3,3,2022-09-25,27-356,LAC,,JAX,L 10-38,6,1,15,15,1,16.7,2.5,1,WR,1-7
155,Robbie Anderson,14,4,Sun,3,3,2022-09-25,29-139,CAR,,NOR,W 22-14,4,1,14,14,0,25,3.5,1,WR,
156,Kareem Hunt,14,4,Thu,3,3,2022-09-22,27-047,CLE,,PIT,W 29-17,4,3,14,4.7,0,75,3.5,1,RB,3-86
157,Justin Jefferson,14,6,Sun,3,3,2022-09-25,23-101,MIN,,DET,W 28-24,6,3,14,4.7,0,50,2.3,,WR,1-22
158,Jake Kumerow,14,2,Sun,3,3,2022-09-25,30-220,BUF,@,MIA,L 19-21,2,2,14,7,0,100,7,2,WR,
159,Joe Mixon,14,7,Sun,3,3,2022-09-25,26-063,CIN,@,NYJ,W 27-12,7,3,14,4.7,0,42.9,2,0,RB,2-48
160,Samaje Perine,14,2,Sun,3,3,2022-09-25,27-009,CIN,@,NYJ,W 27-12,2,2,14,7,1,100,7,1,RB,4-114
161,Kenneth Walker III,14,3,Sun,3,3,2022-09-25,21-340,SEA,,ATL,L 23-27,3,3,14,4.7,0,100,4.7,0,RB,2-41
162,Andre Baccellia,13,4,Sun,3,3,2022-09-25,25-261,ARI,,LAR,L 12-20,4,2,13,6.5,0,50,3.3,1,WR,
163,Treylon Burks,13,2,Sun,3,3,2022-09-25,22-186,TEN,,LVR,W 24-22,2,1,13,13,0,50,6.5,1,WR,1-18
164,Jake Ferguson,13,3,Mon,3,3,2022-09-26,23-251,DAL,@,NYG,W 23-16,3,2,13,6.5,0,66.7,4.3,,TE,4-129
165,Ian Thomas,13,3,Sun,3,3,2022-09-25,26-111,CAR,,NOR,W 22-14,3,2,13,6.5,0,66.7,4.3,,TE,4-101
166,Jelani Woods,13,3,Sun,3,3,2022-09-25,23-351,IND,,KAN,W 20-17,3,2,13,6.5,2,66.7,4.3,2,TE,3-73
167,Cole Beasley,12,4,Sun,3,3,2022-09-25,33-152,TAM,,GNB,L 12-14,4,3,12,4,0,75,3,1,WR,
168,Keelan Cole,12,4,Sun,3,3,2022-09-25,29-158,LVR,@,TEN,L 22-24,4,1,12,12,0,25,3,1,WR,
169,Simi Fehoko,12,1,Mon,3,3,2022-09-26,24-325,DAL,@,NYG,W 23-16,1,1,12,12,0,100,12,1,WR,5-179
170,Khalil Herbert,12,2,Sun,3,3,2022-09-25,24-157,CHI,,HOU,W 23-20,2,2,12,6,0,100,6,0,RB,6-217
171,Alvin Kamara,12,7,Sun,3,3,2022-09-25,27-062,NOR,@,CAR,L 14-22,7,2,12,6,0,28.6,1.7,0,RB,3-67
172,Dax Milne,12,1,Sun,3,3,2022-09-25,23-094,WAS,,PHI,L 8-24,1,1,12,12,0,100,12,1,WR,7-258
173,Albert Okwuegbunam,12,2,Sun,3,3,2022-09-25,24-153,DEN,,SFO,W 11-10,2,1,12,12,0,50,6,,TE,4-118
174,Cordarrelle Patterson,12,1,Sun,3,3,2022-09-25,31-192,ATL,@,SEA,W 27-23,1,1,12,12,0,100,12,1,RB,1-29
175,Patrick Ricard,12,1,Sun,3,3,2022-09-25,28-121,BAL,@,NWE,W 37-26,1,1,12,12,0,100,12,,FB,
176,Kyle Rudolph,12,1,Sun,3,3,2022-09-25,32-320,TAM,,GNB,L 12-14,1,1,12,12,0,100,12,1,TE,2-43
177,River Cracraft,11,1,Sun,3,3,2022-09-25,27-328,MIA,,BUF,W 21-19,1,1,11,11,1,100,11,1,WR,
178,Andy Isabella,11,2,Sun,3,3,2022-09-25,25-311,ARI,,LAR,L 12-20,2,1,11,11,0,50,5.5,1,WR,2-62
179,Aaron Jones,11,4,Sun,3,3,2022-09-25,27-297,GNB,@,TAM,W 14-12,4,3,11,3.7,0,75,2.8,0,RB,5-182
180,Ray-Ray McCloud,11,1,Sun,3,3,2022-09-25,25-345,SFO,@,DEN,L 10-11,1,1,11,11,0,100,11,1,WR,6-187
181,Byron Pringle,11,1,Sun,3,3,2022-09-25,28-312,CHI,,HOU,W 23-20,1,1,11,11,0,100,11,1,WR,
182,Parris Campbell,10,2,Sun,3,3,2022-09-25,25-071,IND,,KAN,W 20-17,2,2,10,5,0,100,5,,WR,2-59
183,Jahan Dotson,10,8,Sun,3,3,2022-09-25,22-187,WAS,,PHI,L 8-24,8,2,10,5,0,25,1.3,,WR,1-16
184,Donovan Peoples-Jones,10,3,Thu,3,3,2022-09-22,23-215,CLE,,PIT,W 29-17,3,1,10,10,0,33.3,3.3,1,WR,6-187
185,Mo Alie-Cox,9,3,Sun,3,3,2022-09-25,29-006,IND,,KAN,W 20-17,3,1,9,9,0,33.3,3,,TE,
