,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
12,Minnesota Vikings,9,21.2,381.2,65,5.9,2,0.89,21.9,24.1,35.8,262.9,1.33,1.11,6.8,13.4,26.3,118.3,1.11,4.5,6.78,7,58.3,1.67,34.3,15.7,-2.66
13,Baltimore Ravens,9,21.8,350.8,62.3,5.6,1.78,0.78,20.4,25,37.8,258.8,1.44,1,6.3,13.1,21.6,92,1,4.3,5.67,4.78,38.2,1.67,39.4,16,-5.44
14,Los Angeles Rams,9,22.2,310.8,59.7,5.2,0.89,0.33,16.9,22.6,33.3,214.7,1.22,0.56,6.1,10.8,24.3,96.1,0.67,3.9,5.22,5.33,37.9,0.89,37,8.7,-2.36
15,Indianapolis Colts,10,20.3,307,62.1,4.9,0.9,0.5,18.8,20.6,30.4,196.3,1.2,0.4,6,10.1,29.2,110.7,0.8,3.8,6.8,5.1,41.3,1.9,32.5,7,-0.53
16,Jacksonville Jaguars,10,20.5,357.7,63.3,5.7,1.4,0.5,20.7,22.6,35.4,247.6,1.6,0.9,6.7,12.1,26.3,110.1,0.9,4.2,6.9,5.7,43.6,1.7,35,12.6,-4.28
17,Kansas City Chiefs,9,22.9,347.4,63.8,5.4,0.89,0.56,20,25.8,38.6,248.4,2.11,0.33,6,13.4,22.2,99,0.56,4.5,5.44,6.44,49.2,1.11,37.8,7.1,-4.43
18,Houston Texans,9,23,394.7,66.6,5.9,1.22,0.44,22,18.6,29.4,212.9,1,0.78,6.7,11.6,34.7,181.8,1.44,5.2,9.11,6.44,51.6,1.33,37.8,9.2,-8.91
19,Pittsburgh Steelers,9,23,371.9,64.4,5.8,1.33,0.22,19.9,22.1,36.1,263.9,2,1.11,6.9,12.8,26.4,108,0.56,4.1,5.67,6.33,44.9,1.44,37,12,-4.62
20,Washington Commanders,10,21.3,324,59.2,5.5,1.1,0.7,17.8,19,31.5,212.7,1.8,0.4,6.3,10.5,25.3,111.3,0.5,4.4,4.9,5.9,48.9,2.4,32.8,7.8,-2
21,Las Vegas Raiders,9,25.1,376.1,63.3,5.9,0.67,0.33,21.2,24.3,34.3,250,1.89,0.33,7.1,12.1,27.9,126.1,1.11,4.5,7.78,5.78,49.3,1.33,42.2,6.7,-9
22,Los Angeles Chargers,9,25.3,356.1,61.2,5.8,1.33,0.56,19.9,20.8,31.8,209.3,1.44,0.78,6.2,11.7,27.2,146.8,1.22,5.4,6.78,5.56,54.8,1.44,42.4,10.1,-6.39
23,Cleveland Browns,9,26.4,349.1,60.1,5.8,0.89,0.56,20.1,19.6,30.6,218,1.44,0.33,6.7,10.8,27.3,131.1,1.67,4.8,7.22,5.33,44.9,2.11,43.4,8.1,-8.8
24,Seattle Seahawks,10,24.1,370,66.7,5.5,1.7,1,21.3,22.1,33.5,229.1,1.5,0.7,6.3,12.1,30.5,140.9,1.2,4.6,7.1,6.4,55.6,2.1,36.8,14.2,-6.31
25,Miami Dolphins,10,24.1,356.7,62.5,5.7,0.8,0.4,20.3,23.7,34.9,239.8,1.6,0.4,6.5,11.5,25.6,116.9,1.2,4.6,6.7,4.5,48.5,2.1,36.8,7.5,-7.3
26,Green Bay Packers,11,22.1,328.3,59.7,5.5,1,0.27,19.1,18.6,28.2,192.5,1.45,0.73,6.4,9.82,29.5,135.8,0.91,4.6,7.36,5.91,52.8,1.91,36.5,9.6,-3.48
27,Carolina Panthers,10,24.3,362.4,66.7,5.4,0.9,0.2,21.2,22.8,34.2,223.2,1.4,0.7,6.2,11.6,30.6,139.2,1.2,4.5,8,6.7,51.7,1.6,36.8,7.7,-3.76
28,New Orleans Saints,10,24.7,326.4,62.5,5.2,0.7,0.5,19.5,19.3,31.3,195.9,1.1,0.2,5.7,9.2,28.4,130.5,1.1,4.6,7.3,5.8,49.6,3,40.9,5.5,-4.8
29,Chicago Bears,10,24.7,345.4,59.5,5.8,1.3,0.4,20.6,18.4,27.6,203.4,1.1,0.9,7,10.3,30.4,142,1.7,4.7,8.5,5.4,43.4,1.8,37.3,11.8,-7.62
30,Atlanta Falcons,10,25,399.5,66.2,6,1.3,0.5,22.3,26,37.9,280.1,1.5,0.8,7.1,13.8,27,119.4,1.3,4.4,7.4,6.4,55.8,1.1,44.7,12.6,-9.74
31,Arizona Cardinals,10,25.8,357.6,63,5.7,1.4,0.7,21.7,24.8,36.2,247.1,1.7,0.7,6.5,13,24.9,110.5,1.2,4.4,7.2,6.3,47.6,1.5,42.6,13,-4.79
32,Detroit Lions,9,29.3,416.2,64.4,6.5,1.11,0.44,23.7,21.7,32.7,255.3,1.67,0.67,7.4,12.6,30.1,160.9,1.67,5.3,9,7,54.7,2.11,45.2,9.7,-12.84
