,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
21,Minnesota Vikings,6,23.2,339.8,63,5.4,1,0.17,22,25.5,38.3,242,1.5,0.83,6,14,22.8,97.8,1.17,4.3,5.67,4.17,30.8,2.33,36.8,8.8,6.19
22,Dallas Cowboys,7,19.1,305,59.6,5.1,0.86,0.29,17.3,17.6,30,183.3,0.86,0.57,5.8,9.43,28,121.7,0.86,4.3,6.29,7,53.9,1.57,34.6,7.7,-0.35
23,Green Bay Packers,7,18.3,331.6,62.3,5.3,1.29,0.86,19.7,24.1,36.1,221.3,1.57,0.43,5.8,11.4,24,110.3,0.43,4.6,6.29,5.71,41.1,2,26.9,10.3,1.05
24,Chicago Bears,7,18,307.3,57.9,5.3,1.57,0.71,16.7,10.9,19.4,126.3,0.71,0.86,5.4,6.43,34.6,181,1,5.2,8.57,5,41.1,1.71,37,12.3,0.09
25,Washington Commanders,7,17.9,326.6,67.1,4.9,1.29,0.29,19.6,23.4,37.9,221,1.71,1,5.4,11.3,25.9,105.6,0.43,4.1,6.14,6.57,60.7,2.14,25.9,10.6,-3.13
26,Carolina Panthers,7,17.7,271.9,53.3,5.1,1.14,0.43,13.3,16.9,28.9,169.7,0.86,0.71,5.4,7.14,21.6,102.1,0.57,4.7,4.86,4.86,46.9,1.29,28.9,9.2,-6.12
27,Tennessee Titans,6,19.2,274.2,56.5,4.9,1.17,0.67,16.7,16,25,165.5,1,0.5,6.1,8.83,29.2,108.7,1,3.7,5.67,6.5,57.7,2.17,31.3,7.8,-0.3
28,Indianapolis Colts,7,16.1,341.6,68.7,5,2,0.71,21,29,42.4,260.6,1.29,1.29,5.7,14.7,22.9,81,0.29,3.5,5,6,49.6,1.29,30.3,18.4,-3.45
29,Pittsburgh Steelers,7,15.3,298.6,62.3,4.8,1.71,0.43,18,23.6,36.4,210.7,0.71,1.29,5.5,12,23.7,87.9,0.57,3.7,4.86,6,42.6,1.14,26.9,12.8,-4.16
30,Houston Texans,6,17.7,310,59.7,5.2,1,0.17,17.3,22,34.5,209.3,1.17,0.83,5.7,9.33,23,100.7,0.5,4.4,5.83,5.5,44.2,2.17,32.8,9,-1.61
31,Los Angeles Rams,6,17.3,309.8,62.5,5,2.17,0.83,19.2,26.8,37.8,239.3,1,1.33,5.8,13.7,21,70.5,0.83,3.4,4,4,34.2,1.5,32.3,21,-2.61
32,Denver Broncos,7,14.3,328.6,64,5.1,1.14,0.57,16.9,20,34.9,219.1,0.71,0.57,5.8,9.71,26.1,109.4,0.43,4.2,5.14,8.29,74.3,2,28.4,8.6,-4.27
