,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
22,San Francisco 49ers,8,18.4,285.9,60.1,4.8,1.13,0.38,17.1,21.1,31.8,199.3,1,0.75,5.7,10.6,25.1,86.6,1,3.4,4.75,5.13,46.5,1.75,28,8.5,0.17
23,Tampa Bay Buccaneers,8,18.9,326.4,64.3,5.1,1.13,0.38,18.3,21.6,33.6,194,1.63,0.75,5.3,10.8,27.5,132.4,0.63,4.8,6.25,6.75,55.8,1.25,29.5,10.2,-0.05
24,Indianapolis Colts,8,19.6,319.8,61.9,5.2,1,0.5,19.9,20.3,29.5,199.8,1.13,0.5,6.3,10.6,30,120,0.88,4,7,4.63,38,2.25,32.2,7.8,-1.88
25,Carolina Panthers,8,23.3,358.6,66.9,5.4,1,0.25,20.3,23,35.1,232,1.38,0.75,6.3,11.9,30.3,126.6,0.88,4.2,6.88,7.25,55.6,1.5,36.2,8.5,-1.69
26,Cleveland Browns,8,24.9,331.4,59.3,5.6,1,0.63,19,18.8,30.3,208.3,1.25,0.38,6.4,10,26.6,123.1,1.63,4.6,6.75,5.38,45.1,2.25,40,8.9,-6.34
27,Green Bay Packers,8,21.6,316,57.1,5.5,0.88,0.38,18.3,17.5,26.1,174.8,1,0.5,6.2,8.75,28.9,141.3,1,4.9,7.63,5.88,52,1.88,38.6,8.4,-2.68
28,Miami Dolphins,8,24,362.8,61.6,5.9,0.88,0.38,20,24.8,35.8,262.1,1.5,0.5,7,12.3,24,100.6,1.25,4.2,5.63,4.38,42.6,2.13,35.6,8,-7.11
29,New Orleans Saints,8,25,320.8,60.1,5.3,0.88,0.63,18,20.4,32.6,208.3,1.25,0.25,6,9.5,25.1,112.5,0.88,4.5,5.75,6.25,53.1,2.75,40,6.7,-2.84
30,Detroit Lions,7,32.1,421.3,64.7,6.5,0.86,0.57,25,22.9,33,266.4,1.71,0.29,7.7,13.7,30.1,154.9,1.86,5.1,9,6.57,46.4,2.29,47.3,6.8,-15.91
31,Washington Commanders,8,21.5,334.4,60,5.6,0.75,0.5,17.9,18.8,31,214,1.75,0.25,6.4,10.4,26.4,120.4,0.5,4.6,4.88,5.88,46.5,2.63,32.6,4.2,-3.01
32,Las Vegas Raiders,7,24.9,366.7,63.3,5.8,0.57,0.14,21.3,24.7,35.7,258.1,2.14,0.43,7,12.4,26.3,108.6,0.86,4.1,7.43,6.29,55.6,1.43,41.2,5.9,-8.14
