,,Passing,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
16,Patrick Mahomes,97.7,37,Sun,4,4,2022-10-02,27-015,KAN,@,TAM,W 41-31,23,37,14,62.2,249,3,1,,8.1,2.7,97.7,3,21,7.5,6.7,7.14,6.08,10.8,QB,1-10
17,Kyler Murray,96.7,32,Sun,4,4,2022-10-02,25-056,ARI,@,CAR,W 26-16,23,32,9,71.9,207,2,1,1,6.3,3.1,96.7,1,1,3.03,6.5,6.31,6.09,9,QB,1-1
18,Brian Hoyer,92.4,6,Sun,4,4,2022-10-02,36-354,NWE,@,GNB,L 24-27 (OT),5,6,1,83.3,37,0,0,,0,0,92.4,1,8,14.29,6.2,6.17,4.14,7.4,QB,
19,Jack Fox,91.7,1,Sun,4,4,2022-10-02,26-031,DET,,SEA,L 45-48,1,1,0,100,6,0,0,,0,0,91.7,0,0,0,6,6,6,6,P,
20,Aaron Rodgers,89.1,35,Sun,4,4,2022-10-02,38-304,GNB,,NWE,W 27-24 (OT),21,35,14,60,251,2,1,1,5.7,2.9,89.1,1,7,2.78,7.2,7.03,6.64,12,QB,1-24
21,Davis Mills,88.5,35,Sun,4,4,2022-10-02,23-346,HOU,,LAC,L 24-34,26,35,9,74.3,246,2,2,,5.7,5.7,88.5,4,31,10.26,7,5.6,4.23,9.5,QB,3-67
22,Kirk Cousins,84.6,38,Sun,4,4,2022-10-02,34-044,MIN,@,NOR,W 28-25,25,38,13,65.8,273,1,1,,2.6,2.6,84.6,3,23,7.32,7.2,6.53,5.49,10.9,QB,4-102
23,Trevor Lawrence,84.3,23,Sun,4,4,2022-10-02,22-361,JAX,@,PHI,L 21-29,11,23,12,47.8,174,2,1,,8.7,4.3,84.3,4,26,14.81,7.6,7.35,5.3,15.8,QB,1-1
24,Teddy Bridgewater,84.1,23,Thu,4,4,2022-09-29,29-323,MIA,@,CIN,L 15-27,14,23,9,60.9,193,1,1,,4.3,4.3,84.1,0,0,0,8.4,7.3,7.3,13.8,QB,1-32
25,Justin Fields,76.7,22,Sun,4,4,2022-10-02,23-211,CHI,@,NYG,L 12-20,11,22,11,50,174,0,0,,0,0,76.7,6,19,21.43,7.9,7.91,5.54,15.8,QB,1-11
26,Derek Carr,76.6,34,Sun,4,4,2022-10-02,31-188,LVR,,DEN,W 32-23,21,34,13,61.8,188,0,0,,0,0,76.6,2,15,5.56,5.5,5.53,4.81,9,QB,2-36
27,Daniel Jones,76.1,13,Sun,4,4,2022-10-02,25-128,NYG,,CHI,W 20-12,8,13,5,61.5,71,0,0,,0,0,76.1,1,11,7.14,5.5,5.46,4.29,8.9,QB,1-6
28,Jalen Hurts,72.7,25,Sun,4,4,2022-10-02,24-056,PHI,,JAX,W 29-21,16,25,9,64,204,0,1,1,0,4,72.7,2,13,7.41,8.2,6.36,5.41,12.8,QB,2-53
29,Matthew Stafford,71,48,Mon,4,4,2022-10-03,34-238,LAR,@,SFO,L 9-24,32,48,16,66.7,254,0,1,1,0,2.1,71,7,54,12.73,5.3,4.35,2.82,7.9,QB,1-1
30,Josh Allen,68.4,36,Sun,4,4,2022-10-02,26-134,BUF,@,BAL,W 23-20,19,36,17,52.8,213,1,1,,2.8,2.8,68.4,1,12,2.7,5.9,5.22,4.76,11.2,QB,1-7
31,Jacoby Brissett,68,35,Sun,4,4,2022-10-02,29-295,CLE,@,ATL,L 20-23,21,35,14,60,234,0,1,,0,2.9,68,1,8,2.78,6.7,5.4,5.03,11.1,QB,3-91
32,Kenny Pickett,65.1,13,Sun,4,4,2022-10-02,24-118,PIT,,NYJ,L 20-24,10,13,3,76.9,120,0,3,,0,23.1,65.1,0,0,0,9.2,-1.15,-1.15,12,QB,1-20
33,Lamar Jackson,63,29,Sun,4,4,2022-10-02,25-268,BAL,,BUF,L 20-23,20,29,9,69,144,1,2,,3.4,6.9,63,2,10,6.45,5,2.55,2.06,7.2,QB,1-32
34,Baker Mayfield,61.9,36,Sun,4,4,2022-10-02,27-171,CAR,,ARI,L 16-26,22,36,14,61.1,197,1,2,,2.8,5.6,61.9,2,17,5.26,5.5,3.53,2.89,9,QB,1-1
35,Zach Wilson,59,36,Sun,4,4,2022-10-02,23-060,NYJ,@,PIT,W 24-20,18,36,18,50,252,1,2,,2.8,5.6,59,1,4,2.7,7,5.06,4.81,14,QB,1-2
36,Carson Wentz,56.6,42,Sun,4,4,2022-10-02,29-276,WAS,@,DAL,L 10-25,25,42,17,59.5,170,1,2,,2.4,4.8,56.6,2,15,4.55,4,2.38,1.93,6.8,QB,1-2
37,Tua Tagovailoa,52.7,14,Thu,4,4,2022-09-29,24-211,MIA,@,CIN,L 15-27,8,14,6,57.1,110,0,1,,0,7.1,52.7,1,10,6.67,7.9,4.64,3.67,13.8,QB,1-5
38,Mitchell Trubisky,41.8,13,Sun,4,4,2022-10-02,28-043,PIT,,NYJ,L 20-24,7,13,6,53.8,84,0,1,,0,7.7,41.8,3,26,18.75,6.5,3,0.81,12,QB,1-2
39,Marcus Mariota,41.3,19,Sun,4,4,2022-10-02,28-337,ATL,,CLE,W 23-20,7,19,12,36.8,139,0,1,,0,5.3,41.3,1,8,5,7.3,4.95,4.3,19.9,QB,1-2
40,Tyrod Taylor,5.6,3,Sun,4,4,2022-10-02,33-060,NYG,,CHI,W 20-12,1,3,2,33.3,11,0,1,,0,33.3,5.6,0,0,0,3.7,-11.33,-11.33,11,QB,6-180
