,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
57,Jeff Wilson,SFO,27,RB,2,1,2,2,13.5,6.8,0,0.5,14,2,13.5,100.0%,6.8,13.5,53,0,2,16,3.9,53,13.5,15.5,4.3,66.5,0,0
58,Mike Evans,TAM,29,WR,2,2,5.5,4,66,16.5,0.5,4,41,4,66,72.7%,12,,,,0,,,,,4,16.5,66,1,0
59,Darren Waller,LVR,30,TE,2,2,7,5,64.5,12.9,0.5,3.5,31,5,64.5,71.4%,9.2,,,,0,,,,,5,12.9,64.5,1,0
60,Ashton Dulin,IND,25,WR,2,1,6.5,4,62.5,15.6,0,2.5,39,4,62.5,61.5%,9.6,0.5,1.5,0,0,3,3,1.5,0.5,4.5,14.2,64,0,0
61,David Njoku,CLE,26,TE,3,3,5.33,4.33,42.7,9.8,0.33,3,19,4.3,42.7,81.3%,8,,,,0,,,,,4.33,9.8,42.7,1,0
62,Chase Claypool,PIT,24,WR,3,3,6,3.67,26.3,7.2,0,1.33,20,3.7,26.3,61.1%,4.4,2.33,15.7,0,1,15,6.7,15.7,2.3,6,7,42,0,0
63,Gerald Everett,LAC,28,TE,2,2,7,4.5,62.5,13.9,0.5,2,26,4.5,62.5,64.3%,8.9,,,,0,,,,,4.5,13.9,62.5,1,0
64,Melvin Gordon,DEN,29,RB,2,0,1.5,1.5,10,6.7,0,0,8,1.5,10,100.0%,6.7,11,52.5,0,1.5,13,4.8,52.5,11,12.5,5,62.5,0,0.5
65,Mike Williams,LAC,28,WR,2,2,7,5,61.5,12.3,0.5,2,39,5,61.5,71.4%,8.8,,,,0,,,,,5,12.3,61.5,1,0
66,Michael Thomas,NOR,29,WR,2,2,8.5,5.5,61,11.1,1.5,5,21,5.5,61,64.7%,7.2,,,,0,,,,,5.5,11.1,61,3,0
67,Breece Hall,NYJ,21,RB,2,0,5,3.5,24,6.9,0.5,1.5,16,3.5,24,70.0%,4.8,6.5,36.5,0,1,23,5.6,36.5,6.5,10,6.1,60.5,1,0.5
68,Chris Olave,NOR,22,WR,2,1,8,4,60.5,15.1,0,1.5,51,4,60.5,50.0%,7.6,,,,0,,,,,4,15.1,60.5,0,0.5
69,Michael Pittman Jr.,IND,25,WR,1,1,13,9,121,13.4,1,7,28,9,121,69.2%,9.3,,,,0,,,,,9,13.4,121,1,0
70,Darrell Henderson,LAR,25,RB,2,2,2.5,2.5,13,5.2,0,0.5,10,2.5,13,100.0%,5.2,11.5,47,0.5,3,18,4.1,47,11.5,14,4.3,60,1,0
71,Tony Pollard,DAL,25,RB,2,1,4.5,3,34.5,11.5,0,1,46,3,34.5,66.7%,7.7,7.5,25.5,0.5,1.5,17,3.4,25.5,7.5,10.5,5.7,60,1,0
72,DeAndre Carter,LAC,29,WR,2,1,3.5,3,59.5,19.8,0.5,3,35,3,59.5,85.7%,17,,,,0,,,,,3,19.8,59.5,1,0
73,Greg Dortch,ARI,24,WR,2,2,6.5,5.5,59,10.7,0.5,3,29,5.5,59,84.6%,9.1,,,,0,,,,,5.5,10.7,59,1,0
74,Travis Etienne,JAX,23,RB,2,0,3.5,2.5,25.5,10.2,0,1.5,23,2.5,25.5,71.4%,7.3,6.5,33.5,0,1.5,27,5.2,33.5,6.5,9,6.6,59,0,0.5
75,Dameon Pierce,HOU,22,RB,2,2,1,1,7,7,0,0,8,1,7,100.0%,7,13,51,0,4,12,3.9,51,13,14,4.1,58,0,0
76,Jerry Jeudy,DEN,23,WR,2,2,5,2.5,56.5,22.6,0.5,2,67,2.5,56.5,50.0%,11.3,0.5,0.5,0,0.5,1,1,0.5,0.5,3,19,57,1,0
77,Eno Benjamin,ARI,23,RB,2,0,4,3,26.5,8.8,0,0.5,22,3,26.5,75.0%,6.6,6,29.5,0,1.5,16,4.9,29.5,6,9,6.2,56,0,0
78,Richie James,NYG,27,WR,2,0,6,5,55,11,0,2.5,16,5,55,83.3%,9.2,0.5,1,0,0,2,2,1,0.5,5.5,10.2,56,0,0
79,Marquise Brown,ARI,25,WR,2,2,8.5,5,55.5,11.1,0.5,2,26,5,55.5,58.8%,6.5,,,,0,,,,,5,11.1,55.5,1,0
