,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
181,Michael Woods II,6,2,6,Mon,8,8,2022-10-31,22-226,CLE,,CIN,W 32-13,2,1,6,6,0,50,3,1,WR,6-202
182,Brock Wright,6,1,6,Sun,7,8,2022-10-30,23-337,DET,,MIA,L 27-31,1,1,6,6,0,100,6,,TE,
183,Jordan Akins,5,2,5,Sun,7,8,2022-10-30,30-194,HOU,,TEN,L 10-17,2,1,5,5,0,50,2.5,,TE,3-98
184,Kenyan Drake,5,4,5,Thu,8,8,2022-10-27,28-274,BAL,@,TAM,W 27-22,4,4,5,1.3,1,100,1.3,1,RB,3-73
185,Jared Goff,5,1,5,Sun,7,8,2022-10-30,28-016,DET,,MIA,L 27-31,1,1,5,5,0,100,5,0,QB,1-1
186,Austin Hooper,5,1,5,Sun,7,8,2022-10-30,28-001,TEN,@,HOU,W 17-10,1,1,5,5,0,100,5,,TE,3-81
187,Alec Ingold,5,1,5,Sun,8,8,2022-10-30,26-113,MIA,@,DET,W 31-27,1,1,5,5,0,100,5,0,FB,
188,Velus Jones Jr.,5,3,5,Sun,8,8,2022-10-30,25-172,CHI,@,DAL,L 29-49,3,1,5,5,0,33.3,1.7,0,WR,3-71
189,Colby Parkinson,5,1,5,Sun,8,8,2022-10-30,23-295,SEA,,NYG,W 27-13,1,1,5,5,0,100,5,,TE,4-133
190,David Sills,5,2,5,Sun,8,8,2022-10-30,26-154,NYG,@,SEA,L 13-27,2,1,5,5,0,50,2.5,,WR,
191,Trent Taylor,5,1,5,Mon,8,8,2022-10-31,28-184,CIN,@,CLE,L 13-32,1,1,5,5,0,100,5,,WR,5-177
192,Dax Milne,4,1,4,Sun,8,8,2022-10-30,23-129,WAS,@,IND,W 17-16,1,1,4,4,0,100,4,,WR,7-258
193,Josh Oliver,4,1,4,Thu,8,8,2022-10-27,25-220,BAL,@,TAM,W 27-22,1,1,4,4,0,100,4,,TE,3-69
194,Davante Adams,3,5,3,Sun,7,8,2022-10-30,29-310,LVR,@,NOR,L 0-24,5,1,3,3,0,20,0.6,,WR,2-53
195,Nick Chubb,3,1,3,Mon,8,8,2022-10-31,26-308,CLE,,CIN,W 32-13,1,1,3,3,0,100,3,0,RB,2-35
196,Bryan Edwards,3,1,3,Sun,8,8,2022-10-30,23-351,ATL,,CAR,W 37-34 (OT),1,1,3,3,0,100,3,,WR,3-81
197,D'Wayne Eskridge,3,2,3,Sun,8,8,2022-10-30,25-221,SEA,,NYG,W 27-13,2,1,3,3,0,50,1.5,,WR,2-56
198,Zach Gentry,3,1,3,Sun,8,8,2022-10-30,26-050,PIT,@,PHI,L 13-35,1,1,3,3,0,100,3,,TE,5-141
199,Marcus Johnson,3,6,3,Sun,8,8,2022-10-30,28-086,NYG,@,SEA,L 13-27,6,1,3,3,0,16.7,0.5,,WR,
200,Raheem Mostert,3,1,3,Sun,8,8,2022-10-30,30-204,MIA,@,DET,W 31-27,1,1,3,3,0,100,3,0,RB,
