,,Rushing,,,,,,,,,,,,Rushing,,,,,,
30,Lamar Jackson,43,9,43,Thu,8,8,2022-10-27,25-293,BAL,@,TAM,W 27-22,9,43,4.8,0,2,QB,1-32
31,Josh Jacobs,43,10,43,Sun,7,8,2022-10-30,24-261,LVR,@,NOR,L 0-24,10,43,4.3,0,2,RB,1-24
32,Marcus Mariota,43,6,43,Sun,8,8,2022-10-30,29-000,ATL,,CAR,W 37-34 (OT),6,43,7.2,0,2,QB,1-2
33,Kareem Hunt,42,11,42,Mon,8,8,2022-10-31,27-086,CLE,,CIN,W 32-13,11,42,3.8,0,2,RB,3-86
34,Alexander Mattison,40,5,40,Sun,7,8,2022-10-30,24-133,MIN,,ARI,W 34-26,5,40,8,1,3,RB,3-102
35,Tyler Allgeier,39,14,39,Sun,8,8,2022-10-30,22-198,ATL,,CAR,W 37-34 (OT),14,39,2.8,0,2,RB,5-151
36,Damien Harris,37,11,37,Sun,8,8,2022-10-30,25-261,NWE,@,NYJ,W 22-17,11,37,3.4,0,3,RB,3-87
37,Kenny Pickett,37,7,37,Sun,8,8,2022-10-30,24-146,PIT,@,PHI,L 13-35,7,37,5.3,0,4,QB,1-20
38,Kyler Murray,36,6,36,Sun,8,8,2022-10-30,25-084,ARI,@,MIN,L 26-34,6,36,6,0,0,QB,1-1
39,James Cook,35,5,35,Sun,7,8,2022-10-30,23-035,BUF,,GNB,W 27-17,5,35,7,0,2,RB,2-63
40,Dameon Pierce,35,15,35,Sun,7,8,2022-10-30,22-253,HOU,,TEN,L 10-17,15,35,2.3,0,4,RB,4-107
41,Dak Prescott,34,5,34,Sun,8,8,2022-10-30,29-093,DAL,,CHI,W 49-29,5,34,6.8,1,2,QB,4-135
42,Devin Duvernay,33,2,33,Thu,8,8,2022-10-27,25-045,BAL,@,TAM,W 27-22,2,33,16.5,1,2,WR,3-92
43,Velus Jones Jr.,33,2,33,Sun,8,8,2022-10-30,25-172,CHI,@,DAL,L 29-49,2,33,16.5,0,2,WR,3-71
44,Najee Harris,32,8,32,Sun,8,8,2022-10-30,24-235,PIT,@,PHI,L 13-35,8,32,4,0,2,RB,1-24
45,Melvin Gordon,29,9,29,Sun,8,8,2022-10-30,29-200,DEN,@,JAX,W 21-17,9,29,3.2,1,2,RB,1-15
46,Taylor Heinicke,29,6,29,Sun,8,8,2022-10-30,29-229,WAS,@,IND,W 17-16,6,29,4.8,1,2,QB,
47,Curtis Samuel,29,4,29,Sun,8,8,2022-10-30,26-080,WAS,@,IND,W 17-16,4,29,7.3,0,1,WR,2-40
48,Parris Campbell,28,1,28,Sun,8,8,2022-10-30,25-106,IND,,WAS,L 16-17,1,28,28,0,1,WR,2-59
49,Justice Hill,28,4,28,Thu,8,8,2022-10-27,24-347,BAL,@,TAM,W 27-22,4,28,7,0,1,RB,4-113
50,Spencer Brown,27,6,27,Sun,8,8,2022-10-30,23-351,CAR,@,ATL,L 34-37 (OT),6,27,4.5,0,,RB,
51,Joe Mixon,27,8,27,Mon,8,8,2022-10-31,26-099,CIN,@,CLE,L 13-32,8,27,3.4,0,1,RB,2-48
52,Michael Carter,26,7,26,Sun,8,8,2022-10-30,23-176,NYJ,,NWE,L 17-22,7,26,3.7,0,1,RB,4-107
53,Geno Smith,26,5,26,Sun,8,8,2022-10-30,32-020,SEA,,NYG,W 27-13,5,26,5.2,0,1,QB,2-39
54,Leonard Fournette,24,9,24,Thu,8,8,2022-10-27,27-282,TAM,,BAL,L 22-27,9,24,2.7,1,3,RB,1-4
55,Malik Davis,23,8,23,Sun,8,8,2022-10-30,23-338,DAL,,CHI,W 49-29,8,23,2.9,0,0,RB,
56,Eno Benjamin,22,9,22,Sun,8,8,2022-10-30,23-200,ARI,@,MIN,L 26-34,9,22,2.4,0,2,RB,7-222
57,Kirk Cousins,22,4,22,Sun,7,8,2022-10-30,34-072,MIN,,ARI,W 34-26,4,22,5.5,1,2,QB,4-102
58,Ronnie Rivers,21,8,21,Sun,7,8,2022-10-30,23-272,LAR,,SFO,L 14-31,8,21,2.6,0,1,RB,
59,Boston Scott,21,7,21,Sun,7,8,2022-10-30,27-186,PHI,,PIT,W 35-13,7,21,3,0,1,RB,6-201
60,Steven Sims,21,2,21,Sun,8,8,2022-10-30,25-213,PIT,@,PHI,L 13-35,2,21,10.5,0,1,WR,
61,Nyheim Hines,20,5,20,Sun,8,8,2022-10-30,25-352,IND,,WAS,L 16-17,5,20,4,1,1,RB,4-104
62,Daniel Jones,20,6,20,Sun,8,8,2022-10-30,25-156,NYG,@,SEA,L 13-27,6,20,3.3,0,0,QB,1-6
63,Brian Robinson Jr.,20,8,20,Sun,8,8,2022-10-30,23-222,WAS,@,IND,W 17-16,8,20,2.5,0,3,RB,3-98
64,P.J. Walker,20,1,20,Sun,8,8,2022-10-30,27-246,CAR,@,ATL,L 34-37 (OT),1,20,20,0,1,QB,
65,Antonio Gibson,19,7,19,Sun,8,8,2022-10-30,24-129,WAS,@,IND,W 17-16,7,19,2.7,0,1,RB,3-66
66,Mac Jones,19,7,19,Sun,8,8,2022-10-30,24-055,NWE,@,NYJ,W 22-17,7,19,2.7,0,2,QB,1-15
67,Tua Tagovailoa,19,5,19,Sun,8,8,2022-10-30,24-242,MIA,@,DET,W 31-27,5,19,3.8,0,1,QB,1-5
68,Rachaad White,19,4,19,Thu,8,8,2022-10-27,23-288,TAM,,BAL,L 22-27,4,19,4.8,0,1,RB,3-91
69,D'Ernest Johnson,17,4,17,Mon,8,8,2022-10-31,26-246,CLE,,CIN,W 32-13,4,17,4.3,0,1,RB,
70,James Robinson,17,5,17,Sun,8,8,2022-10-30,24-082,NYJ,,NWE,L 17-22,5,17,3.4,0,,RB,
71,Russell Wilson,17,4,17,Sun,8,8,2022-10-30,33-335,DEN,@,JAX,W 21-17,4,17,4.3,0,3,QB,3-75
72,Darrell Henderson,16,4,16,Sun,7,8,2022-10-30,25-072,LAR,,SFO,L 14-31,4,16,4,0,,RB,3-70
73,Sam Ehlinger,15,6,15,Sun,8,8,2022-10-30,24-030,IND,,WAS,L 16-17,6,15,2.5,0,1,QB,6-218
74,Trevor Lawrence,15,3,15,Sun,8,8,2022-10-30,23-024,JAX,,DEN,L 17-21,3,15,5,0,1,QB,1-1
75,Chase Edmonds,14,4,14,Sun,8,8,2022-10-30,26-200,MIA,@,DET,W 31-27,4,14,3.5,0,1,RB,4-134
76,Jeff Wilson,14,4,14,Sun,8,8,2022-10-30,26-348,SFO,@,LAR,W 31-14,4,14,3.5,0,2,RB,
77,Jamycal Hasty,13,4,13,Sun,8,8,2022-10-30,26-048,JAX,,DEN,L 17-21,4,13,3.3,0,,RB,
78,C.J. Moore,13,1,13,Sun,7,8,2022-10-30,26-319,DET,,MIA,L 27-31,1,13,13,0,1,S,
79,Dwayne Washington,13,4,13,Sun,8,8,2022-10-30,28-189,NOR,,LVR,W 24-0,4,13,3.3,0,,RB,7-236
80,Jacoby Brissett,12,6,12,Mon,8,8,2022-10-31,29-324,CLE,,CIN,W 32-13,6,12,2,1,4,QB,3-91
81,Rondale Moore,12,2,12,Sun,8,8,2022-10-30,22-143,ARI,@,MIN,L 26-34,2,12,6,0,1,WR,2-49
82,Malik Willis,12,5,12,Sun,7,8,2022-10-30,23-158,TEN,@,HOU,W 17-10,5,12,2.4,0,0,QB,3-86
83,Aaron Rodgers,11,1,11,Sun,8,8,2022-10-30,38-332,GNB,@,BUF,L 17-27,1,11,11,0,1,QB,1-24
84,KaVontae Turpin,11,1,11,Sun,8,8,2022-10-30,26-089,DAL,,CHI,W 49-29,1,11,11,0,1,WR,
85,Malcolm Brown,10,5,10,Sun,7,8,2022-10-30,29-168,LAR,,SFO,L 14-31,5,10,2,0,,RB,
86,Travis Homer,10,2,10,Sun,8,8,2022-10-30,24-084,SEA,,NYG,W 27-13,2,10,5,0,0,RB,6-204
87,Jalen Hurts,10,2,10,Sun,7,8,2022-10-30,24-084,PHI,,PIT,W 35-13,2,10,5,0,0,QB,2-53
88,Cooper Kupp,10,2,10,Sun,7,8,2022-10-30,29-137,LAR,,SFO,L 14-31,2,10,5,0,1,WR,3-69
89,KJ Hamler,9,1,9,Sun,8,8,2022-10-30,23-114,DEN,@,JAX,W 21-17,1,9,9,0,0,WR,2-46
90,Davis Mills,8,3,8,Sun,7,8,2022-10-30,24-009,HOU,,TEN,L 10-17,3,8,2.7,0,0,QB,3-67
91,Darrel Williams,8,5,8,Sun,8,8,2022-10-30,27-198,ARI,@,MIN,L 26-34,5,8,1.6,0,2,RB,
92,Tyreek Hill,7,1,7,Sun,8,8,2022-10-30,28-243,MIA,@,DET,W 31-27,1,7,7,0,1,WR,5-165
93,Zay Jones,7,1,7,Sun,8,8,2022-10-30,27-214,JAX,,DEN,L 17-21,1,7,7,0,0,WR,2-37
94,Samaje Perine,7,1,7,Mon,8,8,2022-10-31,27-045,CIN,@,CLE,L 13-32,1,7,7,0,1,RB,4-114
95,Craig Reynolds,7,2,7,Sun,7,8,2022-10-30,26-137,DET,,MIA,L 27-31,2,7,3.5,0,,RB,
96,Ty Johnson,6,2,6,Sun,8,8,2022-10-30,25-043,NYJ,,NWE,L 17-22,2,6,3,0,,RB,6-186
97,J.D. McKissic,6,2,6,Sun,8,8,2022-10-30,29-076,WAS,@,IND,W 17-16,2,6,3,0,,RB,
98,D'Andre Swift,6,5,6,Sun,7,8,2022-10-30,23-289,DET,,MIA,L 27-31,5,6,1.2,0,1,RB,2-35
99,Matt Breida,5,2,5,Sun,8,8,2022-10-30,27-244,NYG,@,SEA,L 13-27,2,5,2.5,0,,RB,
100,Marcus Allen,4,1,4,Sun,8,8,2022-10-30,26-084,PIT,@,PHI,L 13-35,1,4,4,0,1,LB,5-148
101,Kenneth Gainwell,3,1,3,Sun,7,8,2022-10-30,23-230,PHI,,PIT,W 35-13,1,3,3,0,1,RB,5-150
102,Jimmy Garoppolo,3,1,3,Sun,8,8,2022-10-30,30-362,SFO,@,LAR,W 31-14,1,3,3,0,1,QB,2-62
103,Jared Goff,3,1,3,Sun,7,8,2022-10-30,28-016,DET,,MIA,L 27-31,1,3,3,0,0,QB,1-1
104,D.J. Moore,3,1,3,Sun,8,8,2022-10-30,25-199,CAR,@,ATL,L 34-37 (OT),1,3,3,0,0,WR,1-24
105,Salvon Ahmed,2,1,2,Sun,8,8,2022-10-30,23-305,MIA,@,DET,W 31-27,1,2,2,0,,RB,
106,Joe Burrow,2,1,2,Mon,8,8,2022-10-31,25-325,CIN,@,CLE,L 13-32,1,2,2,0,1,QB,1-1
107,Isaiah McKenzie,2,2,2,Sun,7,8,2022-10-30,27-204,BUF,,GNB,W 27-17,2,2,1,1,1,WR,5-172
108,Zach Wilson,2,1,2,Sun,8,8,2022-10-30,23-088,NYJ,,NWE,L 17-22,1,2,2,0,0,QB,1-2
109,Raheem Blackshear,1,2,1,Sun,8,8,2022-10-30,23-147,CAR,@,ATL,L 34-37 (OT),2,1,0.5,0,,RB,
110,Tom Brady,1,1,1,Thu,8,8,2022-10-27,45-085,TAM,,BAL,L 22-27,1,1,1,0,0,QB,6-199
111,Alec Ingold,1,1,1,Sun,8,8,2022-10-30,26-113,MIA,@,DET,W 31-27,1,1,1,1,1,FB,
112,CeeDee Lamb,1,1,1,Sun,8,8,2022-10-30,23-205,DAL,,CHI,W 49-29,1,1,1,0,0,WR,1-17
113,Julio Jones,0,1,0,Thu,8,8,2022-10-27,33-261,TAM,,BAL,L 22-27,1,0,0,0,0,WR,1-6
114,Davante Adams,-1,1,-1,Sun,7,8,2022-10-30,29-310,LVR,@,NOR,L 0-24,1,-1,-1,0,,WR,2-53
115,Derek Carr,-1,1,-1,Sun,7,8,2022-10-30,31-216,LVR,@,NOR,L 0-24,1,-1,-1,0,0,QB,2-36
116,Gardner Minshew II,-1,1,-1,Sun,7,8,2022-10-30,26-167,PHI,,PIT,W 35-13,1,-1,-1,0,0,QB,6-178
117,Matthew Stafford,-1,2,-1,Sun,7,8,2022-10-30,34-265,LAR,,SFO,L 14-31,2,-1,-0.5,1,1,QB,1-1
118,Matthias Farley,-3,1,-3,Sun,7,8,2022-10-30,30-107,LVR,@,NOR,L 0-24,1,-3,-3,0,,S,
119,Deon Jackson,-4,1,-4,Sun,8,8,2022-10-30,23-254,IND,,WAS,L 16-17,1,-4,-4,0,,RB,
120,Trestan Ebner,-5,2,-5,Sun,8,8,2022-10-30,23-301,CHI,@,DAL,L 29-49,2,-5,-2.5,0,,RB,6-203
121,Olamide Zaccheaus,-6,1,-6,Sun,8,8,2022-10-30,25-099,ATL,,CAR,W 37-34 (OT),1,-6,-6,0,0,WR,
122,Terry McLaurin,-7,1,-7,Sun,8,8,2022-10-30,27-045,WAS,@,IND,W 17-16,1,-7,-7,0,0,WR,3-76
