player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Tyler Higbee,TE,LAR,CAR,Home,8.596789744860995,21,0.40937094023147597,7.995413921229994,0.3807339962490473,10,4 out of 5 stars,B+
CeeDee Lamb,WR,DAL,PHI,Away,12.382145564547011,21,0.5896259792641434,11.860207949352873,0.5647718071120414,13.6,2 out of 5 stars,A
Keenan Allen,WR,LAC,DEN,Home,5.256664220647773,21,0.25031734384037013,6.39523460092539,0.30453498099644716,2.6,3 out of 5 stars,F
Michael Pittman Jr,WR,IND,JAX,Home,11.287570002069533,20,0.5643785001034767,10.982242860099335,0.5491121430049668,12,4 out of 5 stars,A-
Tee Higgins,WR,CIN,NO,Away,9.15220420016407,22,0.4160092818256395,8.660291714520099,0.3936496233872772,10.3,2 out of 5 stars,B+
Tyler Conklin,TE,NYJ,GB,Away,5.368295164324325,13,0.41294578187110187,5.011850234749035,0.3855269411345412,6.2,3 out of 5 stars,D+
Chris Godwin,WR,TB,PIT,Away,8.93571673247057,22,0.40616894238502593,7.751023903529388,0.3523192683422449,11.7,4 out of 5 stars,A-
David Njoku,TE,CLE,NE,Home,9.286329194579288,17,0.546254658504664,9.83761313511327,0.5786831255948982,8,3 out of 5 stars,B
Jaylen Waddle,WR,MIA,MIN,Home,12.522087881115379,25,0.5008835152446152,12.831554115879111,0.5132621646351645,11.8,3 out of 5 stars,A-
Gerald Everett,TE,LAC,DEN,Home,7.129309764549596,17,0.4193711626205645,6.799013949356566,0.3999419970209745,7.9,3 out of 5 stars,B-
Cole Kmet,TE,CHI,WAS,Home,4.282785945887622,11,0.38934417689887474,4.018265636982318,0.3652968760893016,4.9,2 out of 5 stars,D
Darnell Mooney,WR,CHI,WAS,Home,7.973270521172639,16,0.4983294075732899,7.576100744532342,0.47350629653327136,8.9,4 out of 5 stars,C+
Evan Engram,TE,JAC,IND,Away,5.2975959513051425,13,0.40750738086962635,4.82513707329306,0.3711643902533123,6.4,5 out of 5 stars,C
Terry McLaurin,WR,WAS,CHI,Away,8.432874464394166,17,0.49605143908200977,7.461249234848808,0.4388970138146358,10.7,3 out of 5 stars,B
Marquise Brown,WR,ARI,SEA,Away,15.69742109194422,24,0.6540592121643425,16.467744417063173,0.6861560173776322,13.9,3 out of 5 stars,A
Amari Cooper,WR,CLE,NE,Home,12.935844850561583,21,0.615992611931504,13.551206929373691,0.6452955680654139,11.5,3 out of 5 stars,B+
Adam Thielen,WR,MIN,MIA,Away,9.20777128005198,19,0.4846195410553674,8.78253040007426,0.46223844210917153,10.2,2 out of 5 stars,B
Christian Kirk,WR,JAC,IND,Away,11.808460210427764,20,0.5904230105213882,11.85494315775395,0.5927471578876975,11.7,4 out of 5 stars,A-
DeVonta Smith,WR,PHI,DAL,Home,10.54685587203832,19,0.555097677475701,10.266936960054744,0.5403651031607759,11.2,3 out of 5 stars,B
A J Brown,WR,PHI,DAL,Home,12.341257719613377,24,0.5142190716505574,11.71608245659054,0.4881701023579392,13.8,3 out of 5 stars,A
Tyler Boyd,WR,CIN,NO,Away,7.802404101722724,16,0.48765025635767023,7.674863002461034,0.47967893765381464,8.1,2 out of 5 stars,C
Brandon Aiyuk,WR,SF,ATL,Away,9.497738636363636,16,0.5936086647727272,9.539626623376623,0.5962266639610391,9.4,3 out of 5 stars,B-
K J Osborn,WR,MIN,MIA,Away,6.242626705653021,16,0.3901641691033138,6.089466722361459,0.3805916701475912,6.6,2 out of 5 stars,D+
Chase Claypool,WR,PIT,TB,Home,4.95099085147094,12,0.41258257095591166,4.0728440735299145,0.33940367279415956,7,3 out of 5 stars,C-
Hayden Hurst,TE,CIN,NO,Away,5.969266137145201,11,0.5426605579222911,5.741808767350288,0.5219826152136625,6.5,1 out of 5 stars,C+
Jakobi Meyers,WR,NE,CLE,Away,12.260395786212705,16,0.766274736638294,13.143422551732437,0.8214639094832772,10.2,3 out of 5 stars,B-
Allen Lazard,WR,GB,NYJ,Home,10.991607581279906,18,0.6106448656266614,11.03086797325701,0.6128259985142783,10.9,3 out of 5 stars,B
Russell Gage,WR,TB,PIT,Away,6.816197338597645,13,0.5243228721998189,6.780281912282351,0.5215601470986424,6.9,4 out of 5 stars,C-
Elijah Moore,WR,NYJ,GB,Away,5.666668108108108,14,0.4047620077220077,4.838097297297297,0.3455783783783784,7.6,3 out of 5 stars,C
Courtland Sutton,WR,DEN,LAC,Away,13.644917371737174,17,0.80264219833748085,13.749881959624537,0.8088165858602667,13.4,3 out of 5 stars,A
Robert Tonyan,TE,GB,NYJ,Home,5.613343711607262,13,0.43179567012363557,5.361919588010376,0.4124553529238751,6.2,3 out of 5 stars,C-
Will Dissly,TE,SEA,ARI,Home,6.999542031052776,17,0.41173776653251626,7.899345758646824,0.4646673975674602,4.9,4 out of 5 stars,D
Jarvis Landry,WR,NO,CIN,Home,5.3532968586191405,14,0.3823783470442243,5.933281226598772,0.4238058018999123,4,3 out of 5 stars,F
Donovan Peoples Jones,WR,CLE,NE,Home,5.874440557776509,12,0.4895367131480424,5.477772225395013,0.45648101878291775,6.8,3 out of 5 stars,D+
Corey Davis,WR,NYJ,GB,Away,8.09007135135135,15,0.53933809009009,8.428673359073358,0.5619115572715572,7.3,3 out of 5 stars,C
Nelson Agholor,WR,NE,CLE,Away,5.842832410972088,11,0.5311665828156443,5.989760587102984,0.5445236897366349,5.5,3 out of 5 stars,F
Randall Cobb,WR,GB,NYJ,Home,6.229590537095836,11,0.5663264124632579,5.899415052994052,0.5363104593630956,7,3 out of 5 stars,C-
Laviska Shenault Jr,WR,CAR,LAR,Away,6.7446329134287,12,0.562052742785725,9.206618447755286,0.7672182039796072,1,3 out of 5 stars,F
DeVante Parker,WR,NE,CLE,Away,6.123993583573949,11,0.5567266894158135,6.134276547962784,0.5576615043602531,6.1,3 out of 5 stars,D-
Marquez Valdes Scantling,WR,KC,BUF,Home,6.705190119760479,11,0.6095627381600436,6.107414456800685,0.5552194960727895,8.1,3 out of 5 stars,C
Zay Jones,WR,JAC,IND,Away,7.595749925046254,12,0.6329791604205212,7.636785607208935,0.6363988006007446,7.5,4 out of 5 stars,C
Olamide Zaccheaus,WR,ATL,SF,Home,6.9251160705238615,11,0.6295560064112601,7.32159438646266,0.6655994896784236,6,4 out of 5 stars,D-
Michael Gallup,WR,DAL,PHI,Away,8.540746177213897,15,0.5693830784809265,8.943923110305569,0.596261540687038,7.6,2 out of 5 stars,C
Tre Quan Smith,WR,NO,CIN,Home,5.079475101093305,11,0.461770463735755,5.284964430133293,0.4804513118302994,4.6,3 out of 5 stars,F
Rondale Moore,WR,ARI,SEA,Away,6.935908590988489,17,0.4079946229993229,6.265583701412128,0.3685637471418899,8.5,3 out of 5 stars,C+
Devin Duvernay,WR,BAL,NYG,Away,8.576931968998531,14,0.6126379977856093,8.738474241426474,0.6241767315304624,8.2,3 out of 5 stars,C
Julio Jones,WR,TB,PIT,Away,4.096293777875265,14,0.29259241270537606,4.823276825536093,0.34451977325257804,2.4,4 out of 5 stars,F
Jerry Jeudy,WR,DEN,LAC,Away,10.279660006000597,14,0.7342614290000427,10.528085722857998,0.7520061230612856,9.7,3 out of 5 stars,B-
Colby Parkinson,TE,SEA,ARI,Home,3.6792319137729086,14,0.26280227955520774,4.227474162532727,0.30196244018090906,2.4,4 out of 5 stars,F
Darius Slayton,WR,NYG,BAL,Home,4.970662079744677,14,0.3550472914103341,4.358088685349539,0.3112920489535385,6.4,3 out of 5 stars,D+
Isaiah McKenzie,WR,BUF,KC,Away,8.82953333333333,16,0.5518458333333331,9.52790476190476,0.5954940476190476,7.2,3 out of 5 stars,C
Taysom Hill,TE,NO,CIN,Home,1.6810304709731165,22,0.07641047595332348,-0.34138504146697624,-0.01551750188486255,6.4,3 out of 5 stars,C+
Chris Olave,WR,NO,CIN,Home,10.219801123258948,22,0.4645364146935886,10.356858747512783,0.4707663067051265,9.9,3 out of 5 stars,B
DK Metcalf,WR,SEA,ARI,Home,12.352869725782003,28,0.4411739187779287,11.775528179688578,0.4205545778460206,13.7,3 out of 5 stars,A
Curtis Samuel,WR,WAS,CHI,Away,8.759980240386664,16,0.5474987650241665,7.79997177198095,0.48749823574880935,11,3 out of 5 stars,B
