,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
88,Damien Harris,28,2,28,Sun,10,11,2022-11-20,25-282,NWE,,NYJ,W 10-3,2,2,28,14,0,100,14,2,RB,3-87
89,Hayden Hurst,28,3,28,Sun,10,11,2022-11-20,29-088,CIN,@,PIT,W 37-30,3,2,28,14,0,66.7,9.3,2,TE,1-25
90,Alec Pierce,28,8,28,Sun,11,11,2022-11-20,22-202,IND,,PHI,L 16-17,8,3,28,9.3,0,37.5,3.5,1,WR,2-53
91,Nick Westbrook-Ikhine,28,2,28,Thu,10,11,2022-11-17,25-241,TEN,@,GNB,W 27-17,2,2,28,14,0,100,14,2,WR,
92,Najee Harris,26,6,26,Sun,10,11,2022-11-20,24-256,PIT,,CIN,L 30-37,6,4,26,6.5,0,66.7,4.3,1,RB,1-24
93,Shi Smith,26,5,26,Sun,11,11,2022-11-20,24-025,CAR,@,BAL,L 3-13,5,4,26,6.5,0,80,5.2,2,WR,6-204
94,Chuba Hubbard,25,3,25,Sun,11,11,2022-11-20,23-162,CAR,@,BAL,L 3-13,3,2,25,12.5,0,66.7,8.3,1,RB,4-126
95,Adam Thielen,25,3,25,Sun,10,11,2022-11-20,32-090,MIN,,DAL,L 3-40,3,2,25,12.5,0,66.7,8.3,2,WR,
96,D.J. Moore,24,5,24,Sun,11,11,2022-11-20,25-220,CAR,@,BAL,L 3-13,5,3,24,8,0,60,4.8,1,WR,1-24
97,Equanimeous St. Brown,24,2,24,Sun,11,11,2022-11-20,26-051,CHI,@,ATL,L 24-27,2,2,24,12,0,100,12,2,WR,6-207
98,Ian Thomas,24,4,24,Sun,11,11,2022-11-20,26-167,CAR,@,BAL,L 3-13,4,3,24,8,0,75,6,,TE,4-101
99,Latavius Murray,23,4,23,Sun,10,11,2022-11-20,32-306,DEN,,LVR,L 16-22 (OT),4,4,23,5.8,0,100,5.8,1,RB,6-181
100,David Bell,22,5,22,Sun,10,11,2022-11-20,21-341,CLE,@,BUF,L 23-31,5,4,22,5.5,0,80,4.4,1,WR,3-99
101,Malik Davis,22,3,22,Sun,10,11,2022-11-20,23-359,DAL,@,MIN,W 40-3,3,2,22,11,0,66.7,7.3,1,RB,
102,Kareem Hunt,22,2,22,Sun,10,11,2022-11-20,27-106,CLE,@,BUF,L 23-31,2,2,22,11,0,100,11,2,RB,3-86
103,Dalton Schultz,22,5,22,Sun,10,11,2022-11-20,26-132,DAL,@,MIN,W 40-3,5,3,22,7.3,0,60,4.4,1,TE,4-137
104,Keelan Cole,21,2,21,Sun,10,11,2022-11-20,29-214,LVR,@,DEN,W 22-16 (OT),2,1,21,21,0,50,10.5,1,WR,
105,Diontae Johnson,21,5,21,Sun,10,11,2022-11-20,26-138,PIT,,CIN,L 30-37,5,4,21,5.3,0,80,4.2,0,WR,3-66
106,Brandon Aiyuk,20,4,20,Mon,10,11,2022-11-21,24-249,SFO,@,ARI,W 38-10,4,2,20,10,2,50,5,2,WR,1-25
107,Lawrence Cager,20,3,20,Sun,10,11,2022-11-20,25-092,NYG,,DET,L 18-31,3,2,20,10,0,66.7,6.7,1,TE,
108,Hunter Henry,20,1,20,Sun,10,11,2022-11-20,27-348,NWE,,NYJ,W 10-3,1,1,20,20,0,100,20,1,TE,2-35
109,Aaron Jones,20,7,20,Thu,11,11,2022-11-17,27-350,GNB,,TEN,L 17-27,7,6,20,3.3,0,85.7,2.9,1,RB,5-182
110,Chris Moore,20,7,20,Sun,10,11,2022-11-20,29-157,HOU,,WAS,L 10-23,7,5,20,4,0,71.4,2.9,1,WR,4-107
111,Brock Wright,20,2,20,Sun,10,11,2022-11-20,23-358,DET,@,NYG,W 31-18,2,2,20,10,0,100,10,2,TE,
112,DeVante Parker,19,2,19,Sun,10,11,2022-11-20,29-304,NWE,,NYJ,W 10-3,2,2,19,9.5,0,100,9.5,,WR,1-14
113,Robert Tonyan,19,4,19,Thu,11,11,2022-11-17,28-201,GNB,,TEN,L 17-27,4,2,19,9.5,0,50,4.8,1,TE,
114,Nelson Agholor,18,3,18,Sun,10,11,2022-11-20,29-180,NWE,,NYJ,W 10-3,3,2,18,9,0,66.7,6,,WR,1-20
