,,Rushing,,,,,,,,,,,,Rushing,,,,,,
61,AJ Dillon,13,6,13,Thu,11,11,2022-11-17,24-199,GNB,,TEN,L 17-27,6,13,2.2,0,1,RB,2-62
62,Olamide Zaccheaus,13,1,13,Sun,11,11,2022-11-20,25-120,ATL,,CHI,W 27-24,1,13,13,0,1,WR,
63,Baker Mayfield,12,2,12,Sun,11,11,2022-11-20,27-220,CAR,@,BAL,L 3-13,2,12,6,0,1,QB,1-1
64,Isaiah Spiller,11,4,11,Sun,10,11,2022-11-20,21-103,LAC,,KAN,L 27-30,4,11,2.8,0,1,RB,4-123
65,Davis Mills,10,5,10,Sun,10,11,2022-11-20,24-030,HOU,,WAS,L 10-23,5,10,2,1,3,QB,3-67
66,James Robinson,10,7,10,Sun,10,11,2022-11-20,24-103,NYJ,@,NWE,L 3-10,7,10,1.4,0,,RB,
67,Clyde Edwards-Helaire,9,2,9,Sun,10,11,2022-11-20,23-223,KAN,@,LAC,W 30-27,2,9,4.5,0,1,RB,1-32
68,Darrell Henderson,9,2,9,Sun,10,11,2022-11-20,25-093,LAR,@,NOR,L 20-27,2,9,4.5,0,,RB,3-70
69,Trestan Ebner,8,6,8,Sun,11,11,2022-11-20,23-322,CHI,@,ATL,L 24-27,6,8,1.3,0,,RB,6-203
70,Dameon Pierce,8,10,8,Sun,10,11,2022-11-20,22-274,HOU,,WAS,L 10-23,10,8,0.8,0,1,RB,4-107
71,Boston Scott,8,3,8,Sun,10,11,2022-11-20,27-207,PHI,@,IND,W 17-16,3,8,2.7,0,,RB,6-201
72,Russell Wilson,8,1,8,Sun,10,11,2022-11-20,33-356,DEN,,LVR,L 16-22 (OT),1,8,8,0,0,QB,3-75
73,Josh Allen,7,3,7,Sun,10,11,2022-11-20,26-183,BUF,,CLE,W 31-23,3,7,2.3,0,1,QB,1-7
74,Deon Jackson,7,1,7,Sun,11,11,2022-11-20,23-275,IND,,PHI,L 16-17,1,7,7,0,,RB,
75,Zack Moss,7,2,7,Sun,11,11,2022-11-20,24-340,IND,,PHI,L 16-17,2,7,3.5,0,,RB,3-86
76,Kalif Raymond,7,1,7,Sun,10,11,2022-11-20,28-104,DET,@,NYG,W 31-18,1,7,7,0,1,WR,
77,Trayveon Williams,7,2,7,Sun,10,11,2022-11-20,25-033,CIN,@,PIT,W 37-30,2,7,3.5,0,,RB,6-182
78,Chase Edmonds,6,2,6,Sun,10,11,2022-11-20,26-221,DEN,,LVR,L 16-22 (OT),2,6,3,0,,RB,4-134
79,Colt McCoy,6,3,6,Mon,11,11,2022-11-21,36-077,ARI,,SFO,L 10-38,3,6,2,0,1,QB,3-85
80,Trace McSorley,6,1,6,Mon,11,11,2022-11-21,27-090,ARI,,SFO,L 10-38,1,6,6,0,0,QB,6-197
81,Joe Burrow,5,4,5,Sun,10,11,2022-11-20,25-345,CIN,@,PIT,W 37-30,4,5,1.3,0,0,QB,1-1
82,Jonnu Smith,5,1,5,Sun,10,11,2022-11-20,27-090,NWE,,NYJ,W 10-3,1,5,5,0,1,TE,3-100
83,Devin Duvernay,4,1,4,Sun,10,11,2022-11-20,25-069,BAL,,CAR,W 13-3,1,4,4,0,1,WR,3-92
84,Dontrell Hilliard,4,1,4,Thu,10,11,2022-11-17,27-264,TEN,@,GNB,W 27-17,1,4,4,0,0,RB,
85,Caleb Huntley,4,1,4,Sun,11,11,2022-11-20,24-066,ATL,,CHI,W 27-24,1,4,4,0,,RB,
86,Ty Johnson,4,4,4,Sun,10,11,2022-11-20,25-064,NYJ,@,NWE,L 3-10,4,4,1,0,,RB,6-186
87,Kyle Juszczyk,4,1,4,Mon,10,11,2022-11-21,31-212,SFO,@,ARI,W 38-10,1,4,4,0,1,FB,4-130
88,Patrick Ricard,4,1,4,Sun,10,11,2022-11-20,28-177,BAL,,CAR,W 13-3,1,4,4,0,1,FB,
89,Wan'Dale Robinson,4,1,4,Sun,10,11,2022-11-20,21-319,NYG,,DET,L 18-31,1,4,4,0,0,WR,2-43
90,Matthew Stafford,4,1,4,Sun,10,11,2022-11-20,34-286,LAR,@,NOR,L 20-27,1,4,4,0,0,QB,1-1
91,Amon-Ra St. Brown,4,1,4,Sun,10,11,2022-11-20,23-027,DET,@,NYG,W 31-18,1,4,4,0,0,WR,4-112
92,Jahan Dotson,3,1,3,Sun,11,11,2022-11-20,22-243,WAS,@,HOU,W 23-10,1,3,3,0,0,WR,1-16
93,Jimmy Garoppolo,3,1,3,Mon,10,11,2022-11-21,31-019,SFO,@,ARI,W 38-10,1,3,3,0,1,QB,2-62
94,Zander Horvath,3,1,3,Sun,10,11,2022-11-20,23-345,LAC,,KAN,L 27-30,1,3,3,0,1,FB,7-260
95,Mac Jones,3,2,3,Sun,10,11,2022-11-20,24-076,NWE,,NYJ,W 10-3,2,3,1.5,0,1,QB,1-15
96,Chris Moore,3,1,3,Sun,10,11,2022-11-20,29-157,HOU,,WAS,L 10-23,1,3,3,0,0,WR,4-107
97,Brock Purdy,3,3,3,Mon,10,11,2022-11-21,22-329,SFO,@,ARI,W 38-10,3,3,1,0,,QB,7-262
98,Christian Watson,3,1,3,Thu,11,11,2022-11-17,23-189,GNB,,TEN,L 17-27,1,3,3,0,0,WR,2-34
99,Taylor Heinicke,2,3,2,Sun,11,11,2022-11-20,29-250,WAS,@,HOU,W 23-10,3,2,0.7,0,0,QB,
100,Diontae Johnson,1,1,1,Sun,10,11,2022-11-20,26-138,PIT,,CIN,L 30-37,1,1,1,0,1,WR,3-66
101,Terry McLaurin,1,1,1,Sun,11,11,2022-11-20,27-066,WAS,@,HOU,W 23-10,1,1,1,0,0,WR,3-76
102,Sony Michel,1,1,1,Sun,10,11,2022-11-20,27-276,LAC,,KAN,L 27-30,1,1,1,0,1,RB,1-31
103,Kene Nwangwu,1,4,1,Sun,10,11,2022-11-20,24-284,MIN,,DAL,L 3-40,4,1,0.3,0,,RB,4-119
104,Matt Ryan,1,1,1,Sun,11,11,2022-11-20,37-187,IND,,PHI,L 16-17,1,1,1,0,1,QB,1-3
105,Kenneth Gainwell,0,1,0,Sun,10,11,2022-11-20,23-251,PHI,@,IND,W 17-16,1,0,0,0,,RB,5-150
106,Chuba Hubbard,0,4,0,Sun,11,11,2022-11-20,23-162,CAR,@,BAL,L 3-13,4,0,0,0,1,RB,4-126
107,Alexander Mattison,0,2,0,Sun,10,11,2022-11-20,24-154,MIN,,DAL,L 3-40,2,0,0,0,,RB,3-102
108,Garrett Wilson,0,1,0,Sun,10,11,2022-11-20,22-121,NYJ,@,NWE,L 3-10,1,0,0,0,0,WR,1-10
109,Jared Goff,-1,4,-1,Sun,10,11,2022-11-20,28-037,DET,@,NYG,W 31-18,4,-1,-0.3,0,1,QB,1-1
110,Brandon Powell,-1,1,-1,Sun,10,11,2022-11-20,27-069,LAR,@,NOR,L 20-27,1,-1,-1,0,,WR,
111,Andy Dalton,-2,2,-2,Sun,11,11,2022-11-20,35-022,NOR,,LAR,W 27-20,2,-2,-1,0,0,QB,2-35
112,Steven Sims,-3,1,-3,Sun,10,11,2022-11-20,25-234,PIT,,CIN,L 30-37,1,-3,-3,0,,WR,
113,Ryan Tannehill,-3,3,-3,Thu,10,11,2022-11-17,34-113,TEN,@,GNB,W 27-17,3,-3,-1,0,0,QB,1-8
114,David Johnson,-4,1,-4,Sun,11,11,2022-11-20,30-339,NOR,,LAR,W 27-20,1,-4,-4,0,0,RB,3-86
115,Rondale Moore,-6,1,-6,Mon,11,11,2022-11-21,22-165,ARI,,SFO,L 10-38,1,-6,-6,0,,WR,2-49
116,Nyheim Hines,-8,1,-8,Sun,10,11,2022-11-20,26-008,BUF,,CLE,W 31-23,1,-8,-8,0,,RB,4-104
