,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
10,Jacksonville Jaguars,6,19,333.8,63.8,5.2,1.5,0.33,20,23.7,37.2,244.5,1.33,1.17,6.3,11.8,25,89.3,1,3.6,6.17,5.33,40.7,2,31.3,14.1,0.28
11,Cincinnati Bengals,6,19.2,339,64.7,5.2,1.33,0.5,19.2,21.3,37.7,218,0.83,0.83,5.6,10.7,25.5,121,0.33,4.7,6.67,5.5,47,1.83,40.3,11.9,0.89
12,Minnesota Vikings,6,19.7,384.5,63.7,6,1.67,0.83,20.8,23.7,34.5,272,1,0.83,7.3,13,26.3,112.5,1.33,4.3,6.83,7.17,61.3,1,32.3,13.8,-3.57
13,Tennessee Titans,5,23.6,390.8,61.8,6.3,1.4,0.6,20.8,24.4,36.2,287.6,2.4,0.8,7.4,12.4,23,103.2,0.2,4.5,6.2,7.6,51.8,2.2,37.7,13.2,-6.98
14,Chicago Bears,6,19.7,341.7,63,5.4,1.33,0.5,20.7,17.7,27.5,178.7,0.67,0.83,6.1,8.67,33.7,163,1.5,4.8,10.2,6.5,51.7,1.83,35.5,11.3,-4.56
15,Indianapolis Colts,6,20.2,323.7,62.8,5.2,1,0.5,20.5,21,30.8,202.7,1.33,0.5,6.1,11,29.5,121,1,4.1,6.83,5.33,39.5,2.67,31.9,7.2,-2.85
16,Green Bay Packers,6,20.5,299.2,55.2,5.4,0.67,0.5,17.3,17.8,25.2,164,0.67,0.17,6,8.5,27.7,135.2,1.17,4.9,7.33,6,54.5,1.5,35.5,6.5,-1.32
17,Los Angeles Rams,6,21,301.3,56.8,5.3,1.33,0.5,15.7,19.8,29.8,197.2,1,0.83,6.2,9.83,25,104.2,0.5,4.2,5.33,4.67,35.2,0.5,33.3,13.3,-0.18
18,New York Jets,6,21.3,313.2,62.5,5,1.67,0.5,19.3,21,33,207.8,1.33,1.17,5.9,10.5,27.2,105.3,1.17,3.9,6.67,6.83,49.3,2.17,31.9,13.9,-0.1
19,Las Vegas Raiders,5,26,359.2,63,5.7,0.6,0.2,21.2,24.4,35.6,256,2.2,0.4,6.9,12.6,25.8,103.2,1,4,6.8,7.2,69.6,1.8,39.2,5.9,-6.99
20,Washington Commanders,6,22.5,353.2,63.2,5.6,0.5,0.17,18.7,18.3,31.7,221.5,2,0.33,6.4,10.8,28.3,131.7,0.5,4.6,5.33,5.83,46.3,2.5,34.2,2.7,-3.77
21,Atlanta Falcons,6,22.7,385.2,65.3,5.9,1.67,0.67,22.3,27.8,40.3,281.2,1.67,1,6.7,14,23.7,104,0.83,4.4,7.17,5.83,55.5,1.17,41.7,16.7,-7.89
22,Baltimore Ravens,6,23.5,371.5,65.7,5.7,2,0.67,22.2,26.2,39.8,267.7,1.83,1.33,6.3,14.5,23.3,103.8,1,4.5,6.17,4.67,37.3,1.5,39.1,18.8,-6.28
23,Carolina Panthers,6,24.3,356.8,67,5.3,1,0.33,20.7,22,34,223.5,1.33,0.67,6.3,11.2,31.5,133.3,1.17,4.2,7.5,7.83,58.5,2,38.6,8.6,-1.58
24,Pittsburgh Steelers,6,24.3,398,70,5.7,1.67,0.33,22,23.5,38.7,277.8,2,1.33,6.8,13.7,29.3,120.2,0.67,4.1,6.5,5.67,40,1.83,38.2,14.7,-4.8
25,Kansas City Chiefs,6,24.8,356.5,65.5,5.4,0.83,0.67,21.5,28.2,40.8,266,2.5,0.17,6.2,14.3,22.3,90.5,0.5,4.1,5.67,5.83,47,1.5,41.3,6.3,-6.04
26,Los Angeles Chargers,6,25.3,349.8,59.7,5.9,1.17,0.17,19,22.7,34.7,224.8,1.83,1,6,13,22.5,125,0.83,5.6,4.5,6,59.7,1.5,40.9,9.1,-6.24
27,Miami Dolphins,6,25.8,361.3,61.2,5.9,0.67,0.5,19.8,23.2,34.2,256.7,1.67,0.17,7.1,11.8,25,104.7,1.33,4.2,5.67,4,45.2,2.33,35.3,5.9,-7.41
28,Cleveland Browns,6,27.2,361.3,60.2,6,0.83,0.5,20,19.3,31.8,229.8,1.33,0.33,6.8,11,26.5,131.5,1.83,5,6.67,6.33,50.3,2.33,41.4,7.1,-8.77
29,Seattle Seahawks,6,27.2,410.8,66.5,6.2,1.67,1,22.8,20.7,31.3,245,1.5,0.67,7.3,12,32.8,165.8,1.5,5.1,8.17,5.83,52.7,2.67,44.4,15.9,-11.72
30,Detroit Lions,5,34,428.6,66,6.5,0.8,0.4,25.4,22.4,34,261,1.6,0.4,7.4,13.6,30.6,167.6,2,5.5,9.4,6.4,43,2.4,47.3,5.5,-14.42
31,Arizona Cardinals,7,25.1,359.7,61.7,5.8,1.43,0.71,21,24.7,36.4,258.6,1.71,0.71,6.8,13.3,23.7,101.1,0.86,4.3,6.43,6,46.7,1.29,45.8,13.9,-4.63
32,New Orleans Saints,7,28.6,340.4,60.7,5.6,0.86,0.71,18.7,20,31.7,217.3,1.43,0.14,6.4,9.57,26.9,123.1,1,4.6,6.29,6.29,52.3,2.86,44.4,6.2,-4.46
