,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
449,Sean McKeon,DAL,25,TE,4,0,0.25,0.25,2.5,10,0,0.25,10,0.3,2.5,100.0%,10,,,,0,,,,,0.25,10,2.5,0,0
450,Keith Smith,ATL,30,FB,10,3,0.2,0.1,0.8,8,0,0,8,0.1,0.8,50.0%,4,0.1,0.2,0,0.1,2,2,0.2,0.1,0.2,5,1,0,0
451,Brett Rypien,DEN,26,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,3,9,0,2,6,3,9,3,3,3,9,0,1
452,Skylar Thompson,MIA,25,QB,2,1,0,0,0,,0,0,0,0,0,0.0%,,0.5,4.5,0,0.5,9,9,4.5,0.5,0.5,9,4.5,0,0.5
453,Derek Watt,PIT,30,FB,8,2,0.38,0.38,0.88,2.3,0.13,0.13,5,0.4,0.9,100.0%,2.3,0.13,0.25,0,0.13,2,2,0.3,0.1,0.5,2.3,1.13,1,0
454,Tyron Johnson,2TM,26,,4,1,0.25,0.25,2,8,0,0,8,0.3,2,100.0%,8,,,,0,,,,,0.25,8,2,0,0
455,Maurice Alexander,DET,25,WR,4,0,0.25,0.25,1.75,7,0,0,7,0.3,1.8,100.0%,7,,,,0,,,,,0.25,7,1.75,0,0
456,Jalen Camp,HOU,24,WR,1,0,1,1,7,7,0,1,7,1,7,100.0%,7,,,,0,,,,,1,7,7,0,0
457,Kylin Hill,GNB,24,RB,1,0,0,0,0,,0,0,0,0,0,0.0%,,1,7,0,1,7,7,7,1,1,7,7,0,0
458,Jordan Mason,SFO,23,RB,7,0,0,0,0,,0,0,0,0,0,0.0%,,0.14,1,0,0,7,7,1,0.1,0.14,7,1,0,0
459,Tommy Sweeney,BUF,27,TE,3,0,0.33,0.33,2.33,7,0,0.33,7,0.3,2.3,100.0%,7,,,,0,,,,,0.33,7,2.33,0,0
460,Joe Flacco,NYJ,37,QB,3,3,0,0,0,,0,0,0,0,0,0.0%,,1,2,0,0.33,7,2,2,1,1,2,2,0,1.33
461,Jakob Johnson,LVR,28,FB,8,5,0.25,0.25,0.75,3,0,0,5,0.3,0.8,100.0%,3,,,,0,,,,,0.25,3,0.75,0,0
462,Cooper Rush,DAL,29,QB,6,5,0,0,0,,0,0,0,0,0,0.0%,,1.5,1,0,0.17,6,0.7,1,1.5,1.5,0.7,1,0,0.33
463,Mason Schreck,HOU,29,TE,2,1,1,1,3,3,0,0,6,1,3,100.0%,3,,,,0,,,,,1,3,3,0,0
464,Kevin Harris,NWE,22,RB,1,0,0,0,0,,0,0,0,0,0,0.0%,,3,5,0,0,3,1.7,5,3,3,1.7,5,0,0
465,Jason Moore,LAC,27,WR,5,0,0.4,0.2,1,5,0,0,5,0.2,1,50.0%,2.5,,,,0,,,,,0.2,5,1,0,0
466,Matthew Stafford,LAR,34,QB,8,8,0,0,0,,0,0,0,0,0,0.0%,,1.5,0.63,0.13,0.38,4,0.4,0.6,1.5,1.5,0.4,0.63,1,0.63
467,Pierre Strong,NWE,24,RB,7,0,0,0,0,,0,0,0,0,0,0.0%,,0.14,0.71,0,0,5,5,0.7,0.1,0.14,5,0.71,0,0
468,Marcus Allen,PIT,26,LB,8,0,0,0,0,,0,0,0,0,0,0.0%,,0.13,0.5,0,0.13,4,4,0.5,0.1,0.13,4,0.5,0,0
469,Jalen Tolbert,DAL,23,WR,4,1,0.5,0.25,1,4,0,0,4,0.3,1,50.0%,2,,,,0,,,,,0.25,4,1,0,0
470,Ke'Shawn Vaughn,TAM,25,RB,7,0,0.14,0,0,,0,0,0,0,0,0.0%,0,0.29,0.57,0,0,5,2,0.6,0.3,0.29,2,0.57,0,0
471,Mason Kinsey,TEN,24,WR,1,0,1,1,3,3,0,0,3,1,3,100.0%,3,,,,0,,,,,1,3,3,0,0
472,M.J. Stewart,HOU,27,DB,8,0,0,0,0,,0,0,0,0,0,0.0%,,0.13,0.38,0,0.13,3,3,0.4,0.1,0.13,3,0.38,0,0
473,Salvon Ahmed,MIA,24,RB,6,0,0,0,0,,0,0,0,0,0,0.0%,,0.17,0.33,0,0,2,2,0.3,0.2,0.17,2,0.33,0,0
474,Stephen Anderson,ARI,29,TE,9,0,0.11,0.11,0.22,2,0,0,2,0.1,0.2,100.0%,2,,,,0,,,,,0.11,2,0.22,0,0
475,Ashtyn Davis,NYJ,26,S,8,0,0,0,0,,0,0,0,0,0,0.0%,,0.13,0.25,0,0.13,2,2,0.3,0.1,0.13,2,0.25,0,0
476,Devine Ozigbo,DEN,26,RB,2,0,0,0,0,,0,0,0,0,0,0.0%,,0.5,1,0,0,2,2,1,0.5,0.5,2,1,0,0
477,Adam Prentice,NOR,25,FB,3,1,0.33,0.33,0.67,2,0,0,2,0.3,0.7,100.0%,2,,,,0,,,,,0.33,2,0.67,0,0.33
478,Teagan Quitoriano,HOU,22,TE,1,0,1,1,2,2,1,1,2,1,2,100.0%,2,,,,0,,,,,1,2,2,1,0
479,Damien Williams,ATL,30,RB,1,1,0,0,0,,0,0,0,0,0,0.0%,,2,2,0,0,2,1,2,2,2,1,2,0,0
480,Shane Zylstra,DET,26,TE,4,0,0.25,0.25,0.25,1,0.25,0.25,1,0.3,0.3,100.0%,1,,,,0,,,,,0.25,1,0.25,1,0
