defense,TEAM,OPP,MATCHUP,START/SIT,proj_points,ID_yah,First Name_yah,Last Name_yah,ID + Name_yah,Position_yah,Team_yah,Opponent_yah,Game_yah,Time_yah,Salary_yah,FPPG_yah,Injury Status_yah,Starting_yah
New England Patriots,NE,at ARI,3 out of 5 stars,B-,7.1,nfl.t.17$nfl.g.2449042,New England,Patriots,nfl.t.17$nfl.g.2449042 - New England Patriots,DEF,NE,ARI,NE@ARI,8:15PM EST,20,10.4,NA,NA
Cincinnati Bengals,CIN,vs. CLE,2 out of 5 stars,C+,6.9,nfl.t.4$nfl.g.2449020,Cincinnati,Bengals,nfl.t.4$nfl.g.2449020 - Cincinnati Bengals,DEF,CIN,CLE,CLE@CIN,1:00PM EST,11,4.9,NA,NA
Tennessee Titans,TEN,vs. JAC,3 out of 5 stars,C+,6.4,nfl.t.10$nfl.g.2449029,Tennessee,Titans,nfl.t.10$nfl.g.2449029 - Tennessee Titans,DEF,TEN,JAX,JAX@TEN,1:00PM EST,14,6.3,NA,NA
Arizona Cardinals,ARI,vs. NE,4 out of 5 stars,C,6.4,nfl.t.22$nfl.g.2449042,Arizona,Cardinals,nfl.t.22$nfl.g.2449042 - Arizona Cardinals,DEF,ARI,NE,NE@ARI,8:15PM EST,15,6.7,NA,NA
New York Jets,NYJ,at BUF,3 out of 5 stars,C,6.4,nfl.t.20$nfl.g.2449018,New York,Jets,nfl.t.20$nfl.g.2449018 - New York Jets,DEF,NYJ,BUF,NYJ@BUF,1:00PM EST,17,8,NA,NA
Carolina Panthers,CAR,at SEA,4 out of 5 stars,C-,6.2,nfl.t.29$nfl.g.2449033,Carolina,Panthers,nfl.t.29$nfl.g.2449033 - Carolina Panthers,DEF,CAR,SEA,CAR@SEA,4:25PM EST,15,7.1,NA,NA
Cleveland Browns,CLE,at CIN,2 out of 5 stars,C-,6,nfl.t.5$nfl.g.2449020,Cleveland,Browns,nfl.t.5$nfl.g.2449020 - Cleveland Browns,DEF,CLE,CIN,CLE@CIN,1:00PM EST,10,6,NA,NA
Miami Dolphins,MIA,at LAC,3 out of 5 stars,D+,6,nfl.t.15$nfl.g.2449031,Miami,Dolphins,nfl.t.15$nfl.g.2449031 - Miami Dolphins,DEF,MIA,LAC,MIA@LAC,8:20PM EST,12,6.2,NA,NA
Detroit Lions,DET,vs. MIN,2 out of 5 stars,D+,5.9,nfl.t.8$nfl.g.2449024,Detroit,Lions,nfl.t.8$nfl.g.2449024 - Detroit Lions,DEF,DET,MIN,MIN@DET,1:00PM EST,11,5,NA,NA
Minnesota Vikings,MIN,at DET,2 out of 5 stars,D,5.7,nfl.t.16$nfl.g.2449024,Minnesota,Vikings,nfl.t.16$nfl.g.2449024 - Minnesota Vikings,DEF,MIN,DET,MIN@DET,1:00PM EST,16,7.1,NA,NA
Denver Broncos,DEN,vs. KC,1 out of 5 stars,D,5.7,nfl.t.7$nfl.g.2449038,Denver,Broncos,nfl.t.7$nfl.g.2449038 - Denver Broncos,DEF,DEN,KC,KC@DEN,4:05PM EST,10,6.6,NA,NA
Jacksonville Jaguars,JAC,at TEN,3 out of 5 stars,D,5.6,nfl.t.30$nfl.g.2449029,Jacksonville,Jaguars,nfl.t.30$nfl.g.2449029 - Jacksonville Jaguars,DEF,JAX,TEN,JAX@TEN,1:00PM EST,11,5.8,NA,NA
Los Angeles Rams,LAR,vs. LV,3 out of 5 stars,D-,5.6,nfl.t.14$nfl.g.2449016,Los Angeles,Rams,nfl.t.14$nfl.g.2449016 - Los Angeles Rams,DEF,LAR,LV,LV@LAR,8:15PM EST,10,5.3,NA,NA
New York Giants,NYG,vs. PHI,2 out of 5 stars,D-,5.5,nfl.t.19$nfl.g.2449025,New York,Giants,nfl.t.19$nfl.g.2449025 - New York Giants,DEF,NYG,PHI,PHI@NYG,1:00PM EST,11,5.5,NA,NA
Los Angeles Chargers,LAC,vs. MIA,2 out of 5 stars,F,5.4,nfl.t.24$nfl.g.2449031,Los Angeles,Chargers,nfl.t.24$nfl.g.2449031 - Los Angeles Chargers,DEF,LAC,MIA,MIA@LAC,8:20PM EST,10,4.9,NA,NA
Houston Texans,HOU,at DAL,1 out of 5 stars,F,5.1,nfl.t.34$nfl.g.2449022,Houston,Texans,nfl.t.34$nfl.g.2449022 - Houston Texans,DEF,HOU,DAL,HOU@DAL,1:00PM EST,10,5.6,NA,NA
