,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
180,James Conner,8,1,8,Sun,5,5,2022-10-09,27-157,ARI,,PHI,L 17-20,1,1,8,8,0,100,8,1,RB,3-105
181,Demarcus Robinson,8,2,8,Sun,5,5,2022-10-09,28-018,BAL,,CIN,W 19-17,2,1,8,8,0,50,4,,WR,4-126
182,Durham Smythe,8,1,8,Sun,5,5,2022-10-09,27-061,MIA,@,NYJ,L 17-40,1,1,8,8,0,100,8,1,TE,4-123
183,Ian Thomas,8,2,8,Sun,5,5,2022-10-09,26-125,CAR,,SFO,L 15-37,2,2,8,4,0,100,4,,TE,4-101
184,Tylan Wallace,8,2,8,Sun,5,5,2022-10-09,23-149,BAL,,CIN,W 19-17,2,1,8,8,0,50,4,,WR,4-131
185,Mo Alie-Cox,7,1,7,Thu,5,5,2022-10-06,29-017,IND,@,DEN,W 12-9 (OT),1,1,7,7,0,100,7,,TE,
186,Noah Gray,7,2,7,Mon,5,5,2022-10-10,23-163,KAN,,LVR,W 30-29,2,1,7,7,0,50,3.5,,TE,5-162
187,Austin Hooper,7,1,7,Sun,5,5,2022-10-09,27-345,TEN,@,WAS,W 21-17,1,1,7,7,0,100,7,1,TE,3-81
188,Isaiah Likely,7,2,7,Sun,5,5,2022-10-09,22-174,BAL,,CIN,W 19-17,2,2,7,3.5,0,100,3.5,,TE,4-139
189,Kyle Philips,7,2,7,Sun,5,5,2022-10-09,23-114,TEN,@,WAS,W 21-17,2,1,7,7,0,50,3.5,,WR,5-163
190,James Proche,7,2,7,Sun,5,5,2022-10-09,26-018,BAL,,CIN,W 19-17,2,1,7,7,0,50,3.5,,WR,6-201
191,Cam Sims,7,2,7,Sun,5,5,2022-10-09,26-276,WAS,,TEN,L 17-21,2,1,7,7,0,50,3.5,,WR,
192,Tyquan Thornton,7,3,7,Sun,5,5,2022-10-09,22-063,NWE,,DET,W 29-0,3,2,7,3.5,0,66.7,2.3,,WR,2-50
193,David Bell,6,1,6,Sun,5,5,2022-10-09,21-299,CLE,,LAC,L 28-30,1,1,6,6,0,100,6,,WR,3-99
194,DeeJay Dallas,6,1,6,Sun,5,5,2022-10-09,24-023,SEA,@,NOR,L 32-39,1,1,6,6,0,100,6,,RB,4-144
195,T.J. Hockenson,6,4,6,Sun,5,5,2022-10-09,25-098,DET,@,NWE,L 0-29,4,1,6,6,0,25,1.5,,TE,1-8
196,Johnny Mundt,6,2,6,Sun,5,5,2022-10-09,27-320,MIN,,CHI,W 29-22,2,2,6,3,0,100,3,,TE,
197,Miles Sanders,6,3,6,Sun,5,5,2022-10-09,25-161,PHI,@,ARI,W 20-17,3,2,6,3,0,66.7,2,0,RB,2-53
198,Mason Schreck,6,1,6,Sun,5,5,2022-10-09,28-339,HOU,@,JAX,W 13-6,1,1,6,6,0,100,6,,TE,7-251
199,Noah Brown,5,2,5,Sun,5,5,2022-10-09,26-276,DAL,@,LAR,W 22-10,2,1,5,5,0,50,2.5,,WR,7-239
200,Marquez Callaway,5,3,5,Sun,5,5,2022-10-09,24-196,NOR,,SEA,W 39-32,3,2,5,2.5,0,66.7,1.7,1,WR,
