,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
10,P.J. Walker,108.3,6,108.3,Sun,5,5,2022-10-09,27-225,CAR,,SFO,L 15-37,5,6,1,83.3,60,0,0,,0,0,108.3,2,15,25,10,10,5.63,12,QB,
11,Carson Wentz,102.9,38,102.9,Sun,5,5,2022-10-09,29-283,WAS,,TEN,L 17-21,25,38,13,65.8,359,2,1,,5.3,2.6,102.9,3,17,7.32,9.4,9.32,8.22,14.4,QB,1-2
12,Daniel Jones,100.2,27,100.2,Sun,5,5,2022-10-09,25-135,NYG,@,GNB,W 27-22,21,27,6,77.8,217,0,0,,0,0,100.2,1,4,3.57,8,8.04,7.61,10.3,QB,1-6
13,Bailey Zappe,100,21,100,Sun,5,5,2022-10-09,23-166,NWE,,DET,W 29-0,17,21,4,81,188,1,1,,4.8,4.8,100,0,0,0,9,7.76,7.76,11.1,QB,4-137
14,Zach Wilson,99.3,21,99.3,Sun,5,5,2022-10-09,23-067,NYJ,,MIA,W 40-17,14,21,7,66.7,210,0,0,,0,0,99.3,2,23,8.7,10,10,8.13,15,QB,1-2
15,Aaron Rodgers,96.3,39,96.3,Sun,5,5,2022-10-09,38-311,GNB,,NYG,L 22-27,25,39,14,64.1,222,2,0,,5.1,0,96.3,2,15,4.88,5.7,6.72,6.02,8.9,QB,1-24
16,Ryan Tannehill,95.6,25,95.6,Sun,5,5,2022-10-09,34-074,TEN,@,WAS,W 21-17,15,25,10,60,181,1,0,,4,0,95.6,5,45,16.67,7.2,8.04,5.2,12.1,QB,1-8
17,Kirk Cousins,94.7,41,94.7,Sun,5,5,2022-10-09,34-051,MIN,,CHI,W 29-22,32,41,9,78,296,1,1,,2.4,2.4,94.7,1,7,2.38,7.2,6.61,6.29,9.3,QB,4-102
18,Justin Herbert,93.7,34,93.7,Sun,5,5,2022-10-09,24-213,LAC,@,CLE,W 30-28,22,34,12,64.7,228,1,0,,2.9,0,93.7,1,1,2.86,6.7,7.29,7.06,10.4,QB,1-6
19,Tom Brady,92.7,52,92.7,Sun,5,5,2022-10-09,45-067,TAM,,ATL,W 21-15,35,52,17,67.3,351,1,0,,1.9,0,92.7,0,0,0,6.8,7.13,7.13,10,QB,6-199
20,Jalen Hurts,89.9,36,89.9,Sun,5,5,2022-10-09,24-063,PHI,@,ARI,W 20-17,26,36,10,72.2,239,0,0,,0,0,89.9,2,21,5.26,6.6,6.64,5.74,9.2,QB,2-53
21,Andy Dalton,86.6,24,86.6,Sun,5,5,2022-10-09,34-345,NOR,,SEA,W 39-32,16,24,8,66.7,187,1,1,,4.2,4.2,86.6,1,6,4,7.8,6.75,6.24,11.7,QB,2-35
22,Marcus Mariota,86.6,25,86.6,Sun,5,5,2022-10-09,28-344,ATL,@,TAM,L 15-21,14,25,11,56,147,1,0,,4,0,86.6,5,37,16.67,5.9,6.68,4.33,10.5,QB,1-2
23,Matthew Stafford,86.2,42,86.2,Sun,5,5,2022-10-09,34-244,LAR,,DAL,L 10-22,28,42,14,66.7,308,1,1,,2.4,2.4,86.2,5,35,10.64,7.3,6.74,5.28,11,QB,1-1
24,Joe Burrow,82.7,35,82.7,Sun,5,5,2022-10-09,25-303,CIN,@,BAL,L 17-19,24,35,11,68.6,217,1,1,,2.9,2.9,82.7,2,15,5.41,6.2,5.49,4.78,9,QB,1-1
25,Davis Mills,81.9,24,81.9,Sun,5,5,2022-10-09,23-353,HOU,@,JAX,W 13-6,16,24,8,66.7,140,0,0,,0,0,81.9,1,8,4,5.8,5.83,5.28,8.8,QB,3-67
26,Cooper Rush,80.7,16,80.7,Sun,5,5,2022-10-09,28-322,DAL,@,LAR,W 22-10,10,16,6,62.5,102,0,0,,0,0,80.7,3,26,15.79,6.4,6.38,4,10.2,QB,
27,Kyler Murray,80.5,42,80.5,Sun,5,5,2022-10-09,25-063,ARI,,PHI,L 17-20,28,42,14,66.7,250,1,1,,2.4,2.4,80.5,1,11,2.33,6,5.36,4.98,8.9,QB,1-1
28,Jacoby Brissett,79.3,34,79.3,Sun,5,5,2022-10-09,29-302,CLE,,LAC,L 28-30,21,34,13,61.8,230,1,1,,2.9,2.9,79.3,0,0,0,6.8,6.03,6.03,11,QB,3-91
29,Kenny Pickett,74.8,52,74.8,Sun,5,5,2022-10-09,24-125,PIT,@,BUF,L 3-38,34,52,18,65.4,327,0,1,,0,1.9,74.8,3,17,5.45,6.3,5.42,4.82,9.6,QB,1-20
30,Lamar Jackson,71.6,32,71.6,Sun,5,5,2022-10-09,25-275,BAL,,CIN,W 19-17,19,32,13,59.4,174,1,1,,3.1,3.1,71.6,1,4,3.03,5.4,4.66,4.39,9.2,QB,1-32
31,Jared Goff,62.7,35,62.7,Sun,5,5,2022-10-09,27-360,DET,@,NWE,L 0-29,19,35,16,54.3,229,0,1,,0,2.9,62.7,2,18,5.41,6.5,5.26,4.49,12.1,QB,1-1
32,Baker Mayfield,61.7,36,61.7,Sun,5,5,2022-10-09,27-178,CAR,,SFO,L 15-37,20,36,16,55.6,215,0,1,1,0,2.8,61.7,4,16,10,6,4.72,3.85,10.8,QB,1-1
33,Matt Ryan,60.1,41,60.1,Thu,5,5,2022-10-06,37-142,IND,@,DEN,W 12-9 (OT),26,41,15,63.4,251,0,2,,0,4.9,60.1,6,51,12.77,6.1,3.93,2.34,9.7,QB,1-3
34,Skylar Thompson,58.4,33,58.4,Sun,5,5,2022-10-09,25-127,MIA,@,NYJ,L 17-40,19,33,14,57.6,166,0,1,,0,3,58.4,2,8,5.71,5,3.67,3.23,8.7,QB,7-247
35,Russell Wilson,54.9,39,54.9,Thu,5,5,2022-10-06,33-311,DEN,,IND,L 9-12 (OT),21,39,18,53.8,274,0,2,,0,5.1,54.9,4,24,9.3,7,4.72,3.72,13,QB,3-75
36,Trevor Lawrence,54,47,54,Sun,5,5,2022-10-09,23-003,JAX,,HOU,L 6-13,25,47,22,53.2,286,0,2,,0,4.3,54,0,0,0,6.1,4.17,4.17,11.4,QB,1-1
37,Case Keenum,47.9,5,47.9,Sun,5,5,2022-10-09,34-234,BUF,,PIT,W 38-3,2,5,3,40,8,0,0,,0,0,47.9,0,0,0,1.6,1.6,1.6,4,QB,
38,Teddy Bridgewater,39.6,1,39.6,Sun,5,5,2022-10-09,29-333,MIA,@,NYJ,L 17-40,0,1,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,QB,1-32
39,Cooper Kupp,39.6,1,39.6,Sun,5,5,2022-10-09,29-116,LAR,,DAL,L 10-22,0,1,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,WR,3-69
