,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
22,Ashton Dulin,79,7,Sun,2,2,2022-09-18,25-126,IND,@,JAX,L 0-24,7,5,79,15.8,0,71.4,11.3,3,WR,
23,Christian Kirk,78,6,Sun,2,2,2022-09-18,25-304,JAX,,IND,W 24-0,6,6,78,13,2,100,13,5,WR,2-47
24,Curtis Samuel,78,9,Sun,2,2,2022-09-18,26-038,WAS,@,DET,L 27-36,9,7,78,11.1,1,77.8,8.7,3,WR,2-40
25,Zach Ertz,75,11,Sun,2,2,2022-09-18,31-312,ARI,@,LVR,W 29-23 (OT),11,8,75,9.4,0,72.7,6.8,5,TE,2-35
26,CeeDee Lamb,75,11,Sun,2,2,2022-09-18,23-163,DAL,,CIN,W 20-17,11,7,75,10.7,0,63.6,6.8,4,WR,1-17
27,Terry McLaurin,75,8,Sun,2,2,2022-09-18,27-003,WAS,@,DET,L 27-36,8,4,75,18.8,0,50,9.4,3,WR,3-76
28,Gerald Everett,71,10,Thu,2,2,2022-09-15,28-082,LAC,@,KAN,L 24-27,10,6,71,11.8,0,60,7.1,2,TE,2-44
29,Tyler Higbee,71,9,Sun,2,2,2022-09-18,29-260,LAR,,ATL,W 31-27,9,7,71,10.1,0,77.8,7.9,3,TE,4-110
30,Tee Higgins,71,10,Sun,2,2,2022-09-18,23-243,CIN,@,DAL,L 17-20,10,6,71,11.8,1,60,7.1,5,WR,2-33
31,A.J. Brown,69,8,Mon,2,2,2022-09-19,25-081,PHI,,MIN,W 24-7,8,5,69,13.8,0,62.5,8.6,2,WR,2-51
32,Quez Watkins,69,2,Mon,2,2,2022-09-19,24-102,PHI,,MIN,W 24-7,2,2,69,34.5,1,100,34.5,1,WR,6-200
33,Marquise Brown,68,11,Sun,2,2,2022-09-18,25-106,ARI,@,LVR,W 29-23 (OT),11,6,68,11.3,0,54.5,6.2,2,WR,1-25
34,Mack Hollins,66,8,Sun,2,2,2022-09-18,29-002,LVR,,ARI,L 23-29 (OT),8,5,66,13.2,0,62.5,8.3,3,WR,4-118
35,Michael Thomas,65,9,Sun,2,2,2022-09-18,29-199,NOR,,TAM,L 10-20,9,6,65,10.8,1,66.7,7.2,6,WR,2-47
36,Brandon Aiyuk,63,8,Sun,2,2,2022-09-18,24-185,SFO,,SEA,W 27-7,8,5,63,12.6,0,62.5,7.9,3,WR,1-25
37,Mike Evans,61,4,Sun,2,2,2022-09-18,29-028,TAM,@,NOR,W 20-10,4,3,61,20.3,0,75,15.3,3,WR,1-7
38,Jahan Dotson,59,5,Sun,2,2,2022-09-18,22-180,WAS,@,DET,L 27-36,5,4,59,14.8,1,80,11.8,4,WR,1-16
39,Hunter Renfrow,59,10,Sun,2,2,2022-09-18,26-271,LVR,,ARI,L 23-29 (OT),10,7,59,8.4,0,70,5.9,3,WR,5-149
40,Nico Collins,58,9,Sun,2,2,2022-09-18,23-183,HOU,@,DEN,L 9-16,9,4,58,14.5,0,44.4,6.4,3,WR,3-89
41,KhaDarel Hodge,57,3,Sun,2,2,2022-09-18,27-258,ATL,@,LAR,L 27-31,3,2,57,28.5,0,66.7,19,2,WR,
42,Diontae Johnson,57,10,Sun,2,2,2022-09-18,26-075,PIT,,NWE,L 14-17,10,6,57,9.5,0,60,5.7,5,WR,3-66
43,DeAndre Carter,55,3,Thu,2,2,2022-09-15,29-158,LAC,@,KAN,L 24-27,3,3,55,18.3,0,100,18.3,3,WR,
44,Greg Dortch,55,4,Sun,2,2,2022-09-18,24-112,ARI,@,LVR,W 29-23 (OT),4,4,55,13.8,1,100,13.8,3,WR,
45,Austin Ekeler,55,10,Thu,2,2,2022-09-15,27-121,LAC,@,KAN,L 24-27,10,9,55,6.1,0,90,5.5,2,RB,
46,Tony Pollard,55,7,Sun,2,2,2022-09-18,25-141,DAL,,CIN,W 20-17,7,4,55,13.8,0,57.1,7.9,2,RB,4-128
47,Ja'Marr Chase,54,9,Sun,2,2,2022-09-18,22-201,CIN,@,DAL,L 17-20,9,5,54,10.8,0,55.6,6,5,WR,1-5
48,Brandin Cooks,54,10,Sun,2,2,2022-09-18,28-358,HOU,@,DEN,L 9-16,10,4,54,13.5,0,40,5.4,2,WR,1-20
49,J.D. McKissic,54,7,Sun,2,2,2022-09-18,29-034,WAS,@,DET,L 27-36,7,7,54,7.7,0,100,7.7,3,RB,
50,Allen Robinson,53,5,Sun,2,2,2022-09-18,29-025,LAR,,ATL,W 31-27,5,4,53,13.3,1,80,10.6,4,WR,2-61
51,Adam Thielen,52,7,Mon,2,2,2022-09-19,32-028,MIN,@,PHI,L 7-24,7,4,52,13,0,57.1,7.4,3,WR,
52,Richie James,51,6,Sun,2,2,2022-09-18,27-013,NYG,,CAR,W 19-16,6,5,51,10.2,0,83.3,8.5,2,WR,7-240
53,Travis Kelce,51,7,Thu,2,2,2022-09-15,32-345,KAN,,LAC,W 27-24,7,5,51,10.2,0,71.4,7.3,3,TE,3-63
54,Jake Kumerow,50,3,Mon,2,2,2022-09-19,30-214,BUF,,TEN,W 41-7,3,2,50,25,0,66.7,16.7,2,WR,
55,Darren Waller,50,8,Sun,2,2,2022-09-18,30-005,LVR,,ARI,L 23-29 (OT),8,6,50,8.3,1,75,6.3,3,TE,6-204
56,Justin Watson,50,2,Thu,2,2,2022-09-15,26-164,KAN,,LAC,W 27-24,2,2,50,25,1,100,25,1,WR,5-144
57,Mecole Hardman,49,4,Thu,2,2,2022-09-15,24-187,KAN,,LAC,W 27-24,4,3,49,16.3,0,75,12.3,2,WR,2-56
58,Justin Jefferson,48,12,Mon,2,2,2022-09-19,23-095,MIN,@,PHI,L 7-24,12,6,48,8,0,50,4,4,WR,1-22
59,Treylon Burks,47,6,Mon,2,2,2022-09-19,22-180,TEN,@,BUF,L 7-41,6,4,47,11.8,0,66.7,7.8,3,WR,1-18
60,Evan Engram,46,8,Sun,2,2,2022-09-18,28-016,JAX,,IND,W 24-0,8,7,46,6.6,0,87.5,5.8,3,TE,1-23
61,Harrison Bryant,45,4,Sun,2,2,2022-09-18,24-148,CLE,,NYJ,L 30-31,4,3,45,15,0,75,11.3,2,TE,4-115
62,Breshad Perriman,45,5,Sun,2,2,2022-09-18,29-008,TAM,@,NOR,W 20-10,5,3,45,15,1,60,9,2,WR,1-26
63,Clyde Edwards-Helaire,44,4,Thu,2,2,2022-09-15,23-157,KAN,,LAC,W 27-24,4,4,44,11,0,100,11,3,RB,1-32
64,Deebo Samuel,44,6,Sun,2,2,2022-09-18,26-246,SFO,,SEA,W 27-7,6,5,44,8.8,0,83.3,7.3,2,WR,2-36
65,Isaiah Likely,43,5,Sun,2,2,2022-09-18,22-153,BAL,,MIA,L 38-42,5,4,43,10.8,0,80,8.6,1,TE,4-139
66,D.J. Moore,43,6,Sun,2,2,2022-09-18,25-157,CAR,@,NYG,L 16-19,6,3,43,14.3,1,50,7.2,2,WR,1-24
67,Devin Duvernay,42,2,Sun,2,2,2022-09-18,25-006,BAL,,MIA,L 38-42,2,2,42,21,0,100,21,2,WR,3-92
68,Mike Gesicki,41,4,Sun,2,2,2022-09-18,26-350,MIA,@,BAL,W 42-38,4,4,41,10.3,1,100,10.3,2,TE,2-42
69,Dawson Knox,41,5,Mon,2,2,2022-09-19,25-309,BUF,,TEN,W 41-7,5,4,41,10.3,0,80,8.2,2,TE,3-96
70,Elijah Moore,41,5,Sun,2,2,2022-09-18,22-175,NYJ,@,CLE,W 31-30,5,3,41,13.7,0,60,8.2,2,WR,2-34
71,Tyler Conklin,40,9,Sun,2,2,2022-09-18,27-050,NYJ,@,CLE,W 31-30,9,6,40,6.7,0,66.7,4.4,1,TE,5-157
72,Najee Harris,40,6,Sun,2,2,2022-09-18,24-193,PIT,,NWE,L 14-17,6,5,40,8,0,83.3,6.7,3,RB,1-24
73,Juwan Johnson,40,7,Sun,2,2,2022-09-18,26-005,NOR,,TAM,L 10-20,7,4,40,10,0,57.1,5.7,2,TE,
74,Equanimeous St. Brown,39,4,Sun,2,2,2022-09-18,25-353,CHI,@,GNB,L 10-27,4,2,39,19.5,0,50,9.8,1,WR,6-207
75,Robert Woods,39,5,Mon,2,2,2022-09-19,30-162,TEN,@,BUF,L 7-41,5,4,39,9.8,0,80,7.8,2,WR,2-41
76,Ross Dwelley,38,1,Sun,2,2,2022-09-18,27-235,SFO,,SEA,W 27-7,1,1,38,38,1,100,38,1,TE,
77,Aaron Jones,38,3,Sun,2,2,2022-09-18,27-290,GNB,,CHI,W 27-10,3,3,38,12.7,1,100,12.7,3,RB,5-182
78,Josh Reynolds,38,3,Sun,2,2,2022-09-18,27-214,DET,,WAS,W 36-27,3,3,38,12.7,1,100,12.7,3,WR,4-117
79,Randall Cobb,37,3,Sun,2,2,2022-09-18,32-027,GNB,,CHI,W 27-10,3,3,37,12.3,0,100,12.3,2,WR,2-64
80,Nyheim Hines,37,5,Sun,2,2,2022-09-18,25-310,IND,@,JAX,L 0-24,5,4,37,9.3,0,80,7.4,1,RB,4-104
81,Isaiah McKenzie,37,3,Mon,2,2,2022-09-19,27-163,BUF,,TEN,W 41-7,3,2,37,18.5,0,66.7,12.3,1,WR,5-172
82,David Sills,37,4,Sun,2,2,2022-09-18,26-112,NYG,,CAR,W 19-16,4,3,37,12.3,0,75,9.3,2,WR,
83,Logan Thomas,37,5,Sun,2,2,2022-09-18,31-079,WAS,@,DET,L 27-36,5,3,37,12.3,1,60,7.4,1,TE,4-120
84,Irv Smith Jr.,36,8,Mon,2,2,2022-09-19,24-041,MIN,@,PHI,L 7-24,8,5,36,7.2,1,62.5,4.5,3,TE,2-50
85,D.K. Metcalf,35,6,Sun,2,2,2022-09-18,24-278,SEA,@,SFO,L 7-27,6,4,35,8.8,0,66.7,5.8,2,WR,2-64
86,Scott Miller,34,8,Sun,2,2,2022-09-18,25-049,TAM,@,NOR,W 20-10,8,3,34,11.3,0,37.5,4.3,2,WR,6-208
87,Sterling Shepard,34,10,Sun,2,2,2022-09-18,29-220,NYG,,CAR,W 19-16,10,6,34,5.7,0,60,3.4,1,WR,2-40
88,Travis Etienne,33,3,Sun,2,2,2022-09-18,23-235,JAX,,IND,W 24-0,3,3,33,11,0,100,11,2,RB,1-25
89,Travis Homer,33,4,Sun,2,2,2022-09-18,24-042,SEA,@,SFO,L 7-27,4,4,33,8.3,0,100,8.3,2,RB,6-204
90,Marvin Jones,33,5,Sun,2,2,2022-09-18,32-190,JAX,,IND,W 24-0,5,3,33,11,0,60,6.6,2,WR,5-166
91,Robbie Anderson,32,5,Sun,2,2,2022-09-18,29-132,CAR,@,NYG,L 16-19,5,3,32,10.7,0,60,6.4,1,WR,
92,David Njoku,32,5,Sun,2,2,2022-09-18,26-070,CLE,,NYJ,L 30-31,5,3,32,10.7,0,60,6.4,3,TE,1-29
93,D'Andre Swift,31,5,Sun,2,2,2022-09-18,23-247,DET,,WAS,W 36-27,5,2,31,15.5,1,40,6.2,1,RB,2-35
94,Foster Moreau,30,4,Sun,2,2,2022-09-18,25-135,LVR,,ARI,L 23-29 (OT),4,3,30,10,0,75,7.5,2,TE,4-137
95,Josh Palmer,30,8,Thu,2,2,2022-09-15,23-358,LAC,@,KAN,L 24-27,8,4,30,7.5,1,50,3.8,3,WR,3-77
96,Tyrie Cleveland,28,3,Sun,2,2,2022-09-18,24-363,DEN,,HOU,W 16-9,3,2,28,14,0,66.7,9.3,1,WR,7-252
97,Russell Gage,28,6,Sun,2,2,2022-09-18,26-239,TAM,@,NOR,W 20-10,6,5,28,5.6,0,83.3,4.7,1,WR,6-194
98,Raheem Mostert,28,3,Sun,2,2,2022-09-18,30-162,MIA,@,BAL,W 42-38,3,3,28,9.3,0,100,9.3,2,RB,
99,Johnny Mundt,28,3,Mon,2,2,2022-09-19,27-300,MIN,@,PHI,L 7-24,3,2,28,14,0,66.7,9.3,1,TE,
100,Michael Carter,27,5,Sun,2,2,2022-09-18,23-134,NYJ,@,CLE,W 31-30,5,5,27,5.4,0,100,5.4,3,RB,4-107
101,Romeo Doubs,27,3,Sun,2,2,2022-09-18,22-158,GNB,,CHI,W 27-10,3,2,27,13.5,0,66.7,9,,WR,4-132
102,Nick Chubb,26,3,Sun,2,2,2022-09-18,26-265,CLE,,NYJ,L 30-31,3,3,26,8.7,0,100,8.7,1,RB,2-35
103,Chase Claypool,26,6,Sun,2,2,2022-09-18,24-073,PIT,,NWE,L 14-17,6,4,26,6.5,0,66.7,4.3,1,WR,2-49
104,James Conner,26,4,Sun,2,2,2022-09-18,27-136,ARI,@,LVR,W 29-23 (OT),4,2,26,13,0,50,6.5,1,RB,3-105
105,T.J. Hockenson,26,7,Sun,2,2,2022-09-18,25-077,DET,,WAS,W 36-27,7,3,26,8.7,0,42.9,3.7,1,TE,1-8
106,Christian McCaffrey,26,5,Sun,2,2,2022-09-18,26-103,CAR,@,NYG,L 16-19,5,4,26,6.5,0,80,5.2,1,RB,1-8
107,Joe Mixon,26,4,Sun,2,2,2022-09-18,26-056,CIN,@,DAL,L 17-20,4,3,26,8.7,0,75,6.5,1,RB,2-48
108,Jarvis Landry,25,5,Sun,2,2,2022-09-18,29-294,NOR,,TAM,L 10-20,5,4,25,6.3,0,80,5,,WR,2-63
109,K.J. Osborn,25,2,Mon,2,2,2022-09-19,25-101,MIN,@,PHI,L 7-24,2,2,25,12.5,0,100,12.5,2,WR,5-176
110,Brock Wright,25,1,Sun,2,2,2022-09-18,23-295,DET,,WAS,W 36-27,1,1,25,25,0,100,25,1,TE,
111,Pharaoh Brown,24,5,Sun,2,2,2022-09-18,28-137,HOU,@,DEN,L 9-16,5,3,24,8,0,60,4.8,1,TE,
112,Hayden Hurst,24,7,Sun,2,2,2022-09-18,29-025,CIN,@,DAL,L 17-20,7,5,24,4.8,0,71.4,3.4,2,TE,1-25
113,Dezmon Patmon,24,6,Sun,2,2,2022-09-18,24-043,IND,@,JAX,L 0-24,6,2,24,12,0,33.3,4,1,WR,6-212
114,Ameer Abdullah,23,1,Sun,2,2,2022-09-18,29-097,LVR,,ARI,L 23-29 (OT),1,1,23,23,0,100,23,1,RB,2-54
115,Zay Jones,23,4,Sun,2,2,2022-09-18,27-172,JAX,,IND,W 24-0,4,3,23,7.7,0,75,5.8,1,WR,2-37
116,George Pickens,23,2,Sun,2,2,2022-09-18,21-198,PIT,,NWE,L 14-17,2,1,23,23,0,50,11.5,1,WR,2-52
117,Mike Strachan,23,3,Sun,2,2,2022-09-18,25-036,IND,@,JAX,L 0-24,3,1,23,23,0,33.3,7.7,1,WR,7-229
118,Pat Freiermuth,22,7,Sun,2,2,2022-09-18,23-328,PIT,,NWE,L 14-17,7,4,22,5.5,1,57.1,3.1,1,TE,2-55
119,Tanner Hudson,22,3,Sun,2,2,2022-09-18,27-310,NYG,,CAR,W 19-16,3,2,22,11,0,66.7,7.3,2,TE,
120,Eric Saubert,22,2,Sun,2,2,2022-09-18,28-140,DEN,,HOU,W 16-9,2,1,22,22,1,50,11,1,TE,5-174
121,Olamide Zaccheaus,21,2,Sun,2,2,2022-09-18,25-057,ATL,@,LAR,L 27-31,2,2,21,10.5,1,100,10.5,2,WR,
122,Eno Benjamin,20,4,Sun,2,2,2022-09-18,23-158,ARI,@,LVR,W 29-23 (OT),4,3,20,6.7,0,75,5,0,RB,7-222
123,Kendall Hinton,20,1,Sun,2,2,2022-09-18,25-211,DEN,,HOU,W 16-9,1,1,20,20,0,100,20,1,WR,
124,Dalvin Cook,19,6,Mon,2,2,2022-09-19,27-040,MIN,@,PHI,L 7-24,6,4,19,4.8,0,66.7,3.2,2,RB,2-41
125,Austin Hooper,19,5,Mon,2,2,2022-09-19,27-325,TEN,@,BUF,L 7-41,5,1,19,19,0,20,3.8,1,TE,3-81
126,Kyle Pitts,19,3,Sun,2,2,2022-09-18,21-347,ATL,@,LAR,L 27-31,3,2,19,9.5,0,66.7,6.3,1,TE,1-4
127,Jeff Wilson,19,2,Sun,2,2,2022-09-18,26-306,SFO,,SEA,W 27-7,2,2,19,9.5,0,100,9.5,1,RB,
128,Cam Akers,18,3,Sun,2,2,2022-09-18,23-088,LAR,,ATL,W 31-27,3,2,18,9,0,66.7,6,1,RB,2-52
129,Ryan Griffin,18,1,Sun,2,2,2022-09-18,32-250,CHI,@,GNB,L 10-27,1,1,18,18,0,100,18,1,TE,6-201
130,Dalton Schultz,18,4,Sun,2,2,2022-09-18,26-069,DAL,,CIN,W 20-17,4,2,18,9,0,50,4.5,,TE,4-137
131,Tyler Boyd,17,2,Sun,2,2,2022-09-18,27-307,CIN,@,DAL,L 17-20,2,2,17,8.5,0,100,8.5,,WR,2-55
132,Reggie Gilliam,17,3,Mon,2,2,2022-09-19,25-030,BUF,,TEN,W 41-7,3,2,17,8.5,1,66.7,5.7,1,FB,
133,Jeff Smith,17,1,Sun,2,2,2022-09-18,25-150,NYJ,@,CLE,W 31-30,1,1,17,17,0,100,17,1,WR,
134,Saquon Barkley,16,4,Sun,2,2,2022-09-18,25-221,NYG,,CAR,W 19-16,4,3,16,5.3,0,75,4,0,RB,1-2
135,Daniel Bellinger,16,1,Sun,2,2,2022-09-18,21-361,NYG,,CAR,W 19-16,1,1,16,16,1,100,16,1,TE,4-112
136,Kendrick Bourne,16,3,Sun,2,2,2022-09-18,27-045,NWE,@,PIT,W 17-14,3,2,16,8,0,66.7,5.3,2,WR,
137,Jamison Crowder,16,2,Mon,2,2,2022-09-19,29-094,BUF,,TEN,W 41-7,2,1,16,16,0,50,8,1,WR,4-105
138,A.J. Green,16,7,Sun,2,2,2022-09-18,34-049,ARI,@,LVR,W 29-23 (OT),7,3,16,5.3,0,42.9,2.3,1,WR,1-4
139,Damien Harris,16,2,Sun,2,2,2022-09-18,25-219,NWE,@,PIT,W 17-14,2,2,16,8,0,100,8,1,RB,3-87
140,Kareem Hunt,16,2,Sun,2,2,2022-09-18,27-043,CLE,,NYJ,L 30-31,2,2,16,8,0,100,8,1,RB,3-86
141,Ray-Ray McCloud,16,2,Sun,2,2,2022-09-18,25-338,SFO,,SEA,W 27-7,2,1,16,16,0,50,8,1,WR,6-187
142,Giovanni Ricci,16,1,Sun,2,2,2022-09-18,25-337,CAR,@,NYG,L 16-19,1,1,16,16,0,100,16,1,FB,
143,Ben Skowronek,16,3,Sun,2,2,2022-09-18,25-083,LAR,,ATL,W 31-27,3,2,16,8,0,66.7,5.3,,WR,7-249
144,John Bates,15,3,Sun,2,2,2022-09-18,24-316,WAS,@,DET,L 27-36,3,2,15,7.5,0,66.7,5,,TE,4-124
145,Alec Ingold,15,2,Sun,2,2,2022-09-18,26-071,MIA,@,BAL,W 42-38,2,2,15,7.5,0,100,7.5,1,FB,
146,Kylen Granson,14,2,Sun,2,2,2022-09-18,24-175,IND,@,JAX,L 0-24,2,2,14,7,0,100,7,,TE,4-127
147,David Montgomery,14,2,Sun,2,2,2022-09-18,25-103,CHI,@,GNB,L 10-27,2,2,14,7,0,100,7,0,RB,3-73
148,Chris Moore,14,4,Sun,2,2,2022-09-18,29-094,HOU,@,DEN,L 9-16,4,2,14,7,0,50,3.5,,WR,4-107
149,Zach Pascal,14,2,Mon,2,2,2022-09-19,27-275,PHI,,MIN,W 24-7,2,2,14,7,0,100,7,1,WR,
150,James Robinson,14,2,Sun,2,2,2022-09-18,24-040,JAX,,IND,W 24-0,2,2,14,7,0,100,7,1,RB,
151,Antonio Gibson,13,4,Sun,2,2,2022-09-18,24-087,WAS,@,DET,L 27-36,4,2,13,6.5,0,50,3.3,1,RB,3-66
152,Allen Lazard,13,3,Sun,2,2,2022-09-18,26-281,GNB,,CHI,W 27-10,3,2,13,6.5,1,66.7,4.3,2,WR,
153,Craig Reynolds,13,1,Sun,2,2,2022-09-18,26-095,DET,,WAS,W 36-27,1,1,13,13,0,100,13,1,RB,
154,Stephen Sullivan,13,1,Sun,2,2,2022-09-18,25-294,CAR,@,NYG,L 16-19,1,1,13,13,0,100,13,1,TE,7-251
155,Ian Thomas,13,3,Sun,2,2,2022-09-18,26-104,CAR,@,NYG,L 16-19,3,1,13,13,0,33.3,4.3,1,TE,4-101
156,Marquez Valdes-Scantling,13,7,Thu,2,2,2022-09-15,27-340,KAN,,LAC,W 27-24,7,2,13,6.5,0,28.6,1.9,,WR,5-174
157,Nick Westbrook-Ikhine,13,4,Mon,2,2,2022-09-19,25-182,TEN,@,BUF,L 7-41,4,1,13,13,0,25,3.3,,WR,
158,Davante Adams,12,7,Sun,2,2,2022-09-18,29-268,LVR,,ARI,L 23-29 (OT),7,2,12,6,1,28.6,1.7,2,WR,2-53
159,Andre Baccellia,12,2,Sun,2,2,2022-09-18,25-254,ARI,@,LVR,W 29-23 (OT),2,2,12,6,0,100,6,1,WR,
160,Noah Gray,12,3,Thu,2,2,2022-09-15,23-138,KAN,,LAC,W 27-24,3,2,12,6,0,66.7,4,1,TE,5-162
161,Josh Jacobs,12,1,Sun,2,2,2022-09-18,24-219,LVR,,ARI,L 23-29 (OT),1,1,12,12,0,100,12,0,RB,1-24
162,Tony Jones,12,2,Sun,2,2,2022-09-18,24-298,NOR,,TAM,L 10-20,2,2,12,6,0,100,6,,RB,
163,Demarcus Robinson,12,2,Sun,2,2,2022-09-18,27-362,BAL,,MIA,L 38-42,2,1,12,12,1,50,6,1,WR,4-126
164,Noah Fant,11,2,Sun,2,2,2022-09-18,24-302,SEA,@,SFO,L 7-27,2,2,11,5.5,0,100,5.5,,TE,1-20
165,Kenneth Gainwell,11,2,Mon,2,2,2022-09-19,23-189,PHI,,MIN,W 24-7,2,1,11,11,0,50,5.5,0,RB,5-150
166,Lil'Jordan Humphrey,11,2,Sun,2,2,2022-09-18,24-152,NWE,@,PIT,W 17-14,2,1,11,11,0,50,5.5,,WR,
167,Jerry Jeudy,11,3,Sun,2,2,2022-09-18,23-147,DEN,,HOU,W 16-9,3,1,11,11,0,33.3,3.7,1,WR,1-15
168,Robert Tonyan,11,2,Sun,2,2,2022-09-18,28-141,GNB,,CHI,W 27-10,2,2,11,5.5,0,100,5.5,,TE,
169,Breece Hall,10,1,Sun,2,2,2022-09-18,21-110,NYJ,@,CLE,W 31-30,1,1,10,10,1,100,10,1,RB,2-36
170,JuJu Smith-Schuster,10,3,Thu,2,2,2022-09-15,25-297,KAN,,LAC,W 27-24,3,3,10,3.3,0,100,3.3,,WR,2-62
171,Javonte Williams,10,4,Sun,2,2,2022-09-18,22-146,DEN,,HOU,W 16-9,4,1,10,10,0,25,2.5,1,RB,2-35
172,Mo Alie-Cox,9,3,Sun,2,2,2022-09-18,28-364,IND,@,JAX,L 0-24,3,1,9,9,0,33.3,3,,TE,
173,Cameron Brate,9,2,Sun,2,2,2022-09-18,31-077,TAM,@,NOR,W 20-10,2,1,9,9,0,50,4.5,,TE,
174,Rex Burkhead,9,3,Sun,2,2,2022-09-18,32-078,HOU,@,DEN,L 9-16,3,2,9,4.5,0,66.7,3,,RB,6-190
175,Leonard Fournette,9,4,Sun,2,2,2022-09-18,27-243,TAM,@,NOR,W 20-10,4,2,9,4.5,0,50,2.3,0,RB,1-4
176,Deonte Harty,9,1,Sun,2,2,2022-09-18,24-288,NOR,,TAM,L 10-20,1,1,9,9,0,100,9,,WR,
177,Trent Sherfield,9,2,Sun,2,2,2022-09-18,26-204,MIA,@,BAL,W 42-38,2,2,9,4.5,0,100,4.5,1,WR,
178,Jonathan Taylor,9,1,Sun,2,2,2022-09-18,23-242,IND,@,JAX,L 0-24,1,1,9,9,0,100,9,0,RB,2-41
179,Tylan Wallace,9,2,Sun,2,2,2022-09-18,23-128,BAL,,MIA,L 38-42,2,1,9,9,0,50,4.5,,WR,4-131
180,Christian Watson,9,3,Sun,2,2,2022-09-18,23-129,GNB,,CHI,W 27-10,3,3,9,3,0,100,3,,WR,2-34
181,Dan Arnold,8,1,Sun,2,2,2022-09-18,27-187,JAX,,IND,W 24-0,1,1,8,8,0,100,8,,TE,
182,Chase Edmonds,8,3,Sun,2,2,2022-09-18,26-158,MIA,@,BAL,W 42-38,3,1,8,8,0,33.3,2.7,0,RB,4-134
183,Samaje Perine,8,1,Sun,2,2,2022-09-18,27-002,CIN,@,DAL,L 17-20,1,1,8,8,0,100,8,,RB,4-114
184,Dameon Pierce,8,1,Sun,2,2,2022-09-18,22-211,HOU,@,DEN,L 9-16,1,1,8,8,0,100,8,0,RB,4-107
