,,Rushing,,,,,,,,,,,Rushing,,,,,,
37,Tony Pollard,43,9,Sun,2,2,2022-09-18,25-141,DAL,,CIN,W 20-17,9,43,4.8,1,3,RB,4-128
38,Cordarrelle Patterson,41,10,Sun,2,2,2022-09-18,31-185,ATL,@,LAR,L 27-31,10,41,4.1,0,2,RB,1-29
39,Austin Ekeler,39,14,Thu,2,2,2022-09-15,27-121,LAC,@,KAN,L 24-27,14,39,2.8,0,4,RB,
40,Khalil Herbert,38,4,Sun,2,2,2022-09-18,24-150,CHI,@,GNB,L 10-27,4,38,9.5,0,1,RB,6-217
41,Hassan Haskins,37,9,Mon,2,2,2022-09-19,22-297,TEN,@,BUF,L 7-41,9,37,4.1,0,2,RB,4-131
42,Baker Mayfield,35,6,Sun,2,2,2022-09-18,27-157,CAR,@,NYG,L 16-19,6,35,5.8,0,2,QB,1-1
43,Tyrion Davis-Price,33,14,Sun,2,2,2022-09-18,21-330,SFO,,SEA,W 27-7,14,33,2.4,0,2,RB,3-93
44,Chase Edmonds,33,5,Sun,2,2,2022-09-18,26-158,MIA,@,BAL,W 42-38,5,33,6.6,0,2,RB,4-134
45,Eno Benjamin,31,8,Sun,2,2,2022-09-18,23-158,ARI,@,LVR,W 29-23 (OT),8,31,3.9,0,2,RB,7-222
46,Tyler Allgeier,30,10,Sun,2,2,2022-09-18,22-156,ATL,@,LAR,L 27-31,10,30,3,0,1,RB,5-151
47,Antonio Gibson,28,14,Sun,2,2,2022-09-18,24-087,WAS,@,DET,L 27-36,14,28,2,1,1,RB,3-66
48,Kyler Murray,28,5,Sun,2,2,2022-09-18,25-042,ARI,@,LVR,W 29-23 (OT),5,28,5.6,1,4,QB,1-1
49,Joe Burrow,26,4,Sun,2,2,2022-09-18,25-282,CIN,@,DAL,L 17-20,4,26,6.5,0,1,QB,1-1
50,James Conner,25,7,Sun,2,2,2022-09-18,27-136,ARI,@,LVR,W 29-23 (OT),7,25,3.6,0,1,RB,3-105
51,Derrick Henry,25,13,Mon,2,2,2022-09-19,28-258,TEN,@,BUF,L 7-41,13,25,1.9,1,1,RB,2-45
52,Michael Carter,23,7,Sun,2,2,2022-09-18,23-134,NYJ,@,CLE,W 31-30,7,23,3.3,0,0,RB,4-107
53,Carson Wentz,23,2,Sun,2,2,2022-09-18,29-262,WAS,@,DET,L 27-36,2,23,11.5,0,2,QB,1-2
54,Braxton Berrios,22,2,Sun,2,2,2022-09-18,26-347,NYJ,@,CLE,W 31-30,2,22,11,0,1,WR,6-210
55,Joshua Kelley,22,4,Thu,2,2,2022-09-15,24-299,LAC,@,KAN,L 24-27,4,22,5.5,0,,RB,4-112
56,Daniel Jones,21,10,Sun,2,2,2022-09-18,25-114,NYG,,CAR,W 19-16,10,21,2.1,0,4,QB,1-6
57,Curtis Samuel,21,1,Sun,2,2,2022-09-18,26-038,WAS,@,DET,L 27-36,1,21,21,0,1,WR,2-40
58,Kirk Cousins,20,2,Mon,2,2,2022-09-19,34-031,MIN,@,PHI,L 7-24,2,20,10,0,1,QB,4-102
59,Travis Etienne,20,9,Sun,2,2,2022-09-18,23-235,JAX,,IND,W 24-0,9,20,2.2,0,1,RB,1-25
60,Justin Fields,20,8,Sun,2,2,2022-09-18,23-197,CHI,@,GNB,L 10-27,8,20,2.5,1,2,QB,1-11
61,Boston Scott,19,4,Mon,2,2,2022-09-19,27-145,PHI,,MIN,W 24-7,4,19,4.8,0,1,RB,6-201
62,Devin Singletary,19,6,Mon,2,2,2022-09-19,25-016,BUF,,TEN,W 41-7,6,19,3.2,0,1,RB,3-74
63,Montrell Washington,19,1,Sun,2,2,2022-09-18,23-188,DEN,,HOU,W 16-9,1,19,19,0,,WR,5-162
64,Gunner Olszewski,18,1,Sun,2,2,2022-09-18,25-296,PIT,,NWE,L 14-17,1,18,18,0,1,WR,
65,Dwayne Washington,18,4,Sun,2,2,2022-09-18,28-147,NOR,,TAM,L 10-20,4,18,4.5,0,2,RB,7-236
66,Dalvin Cook,17,6,Mon,2,2,2022-09-19,27-040,MIN,@,PHI,L 7-24,6,17,2.8,0,1,RB,2-41
67,Zack Moss,17,3,Mon,2,2,2022-09-19,24-278,BUF,,TEN,W 41-7,3,17,5.7,0,1,RB,3-86
68,Jalen Reagor,17,1,Mon,2,2,2022-09-19,23-260,MIN,@,PHI,L 7-24,1,17,17,0,1,WR,1-21
69,Justice Hill,16,3,Sun,2,2,2022-09-18,24-308,BAL,,MIA,L 38-42,3,16,5.3,0,1,RB,4-113
70,Marcus Mariota,16,6,Sun,2,2,2022-09-18,28-323,ATL,@,LAR,L 27-31,6,16,2.7,0,1,QB,1-2
71,Craig Reynolds,16,3,Sun,2,2,2022-09-18,26-095,DET,,WAS,W 36-27,3,16,5.3,0,1,RB,
72,Malik Willis,16,4,Mon,2,2,2022-09-19,23-117,TEN,@,BUF,L 7-41,4,16,4,0,1,QB,3-86
73,Rashaad Penny,15,6,Sun,2,2,2022-09-18,26-228,SEA,@,SFO,L 7-27,6,15,2.5,0,,RB,1-27
74,Jaylen Warren,15,4,Sun,2,2,2022-09-18,23-321,PIT,,NWE,L 14-17,4,15,3.8,0,1,RB,
75,Gary Brightwell,14,1,Sun,2,2,2022-09-18,23-202,NYG,,CAR,W 19-16,1,14,14,0,1,RB,6-196
76,Taysom Hill,14,3,Sun,2,2,2022-09-18,32-026,NOR,,TAM,L 10-20,3,14,4.7,0,1,TE,
77,Trey Lance,13,3,Sun,2,2,2022-09-18,22-132,SFO,,SEA,W 27-7,3,13,4.3,0,1,QB,1-3
78,Sony Michel,13,4,Thu,2,2,2022-09-15,27-210,LAC,@,KAN,L 24-27,4,13,3.3,0,,RB,1-31
79,Jerick McKinnon,12,4,Thu,2,2,2022-09-15,30-135,KAN,,LAC,W 27-24,4,12,3,0,0,RB,3-96
80,Trevor Lawrence,11,3,Sun,2,2,2022-09-18,22-347,JAX,,IND,W 24-0,3,11,3.7,0,0,QB,1-1
81,Josh Allen,10,1,Mon,2,2,2022-09-19,26-121,BUF,,TEN,W 41-7,1,10,10,0,1,QB,1-7
82,Jeff Driskel,10,1,Sun,2,2,2022-09-18,29-148,HOU,@,DEN,L 9-16,1,10,10,0,1,QB,6-207
83,Aaron Rodgers,10,5,Sun,2,2,2022-09-18,38-290,GNB,,CHI,W 27-10,5,10,2,0,1,QB,1-24
84,Kenneth Walker III,10,4,Sun,2,2,2022-09-18,21-333,SEA,@,SFO,L 7-27,4,10,2.5,0,1,RB,2-41
85,Derek Carr,9,1,Sun,2,2,2022-09-18,31-174,LVR,,ARI,L 23-29 (OT),1,9,9,0,0,QB,2-36
86,D'Onta Foreman,9,2,Sun,2,2,2022-09-18,26-147,CAR,@,NYG,L 16-19,2,9,4.5,0,,RB,3-89
87,Travis Homer,9,2,Sun,2,2,2022-09-18,24-042,SEA,@,SFO,L 7-27,2,9,4.5,0,2,RB,6-204
88,J.D. McKissic,9,3,Sun,2,2,2022-09-18,29-034,WAS,@,DET,L 27-36,3,9,3,0,1,RB,
89,Kenyan Drake,8,6,Sun,2,2,2022-09-18,28-235,BAL,,MIA,L 38-42,6,8,1.3,0,,RB,3-73
90,Tony Jones,8,2,Sun,2,2,2022-09-18,24-298,NOR,,TAM,L 10-20,2,8,4,0,,RB,
91,Alexander Mattison,8,2,Mon,2,2,2022-09-19,24-092,MIN,@,PHI,L 7-24,2,8,4,0,0,RB,3-102
92,Scott Miller,8,1,Sun,2,2,2022-09-18,25-049,TAM,@,NOR,W 20-10,1,8,8,0,0,WR,6-208
93,Kenneth Gainwell,7,2,Mon,2,2,2022-09-19,23-189,PHI,,MIN,W 24-7,2,7,3.5,0,1,RB,5-150
94,Terry McLaurin,7,1,Sun,2,2,2022-09-18,27-003,WAS,@,DET,L 27-36,1,7,7,0,1,WR,3-76
95,Mitchell Trubisky,7,1,Sun,2,2,2022-09-18,28-029,PIT,,NWE,L 14-17,1,7,7,0,0,QB,1-2
96,Michael Burton,6,1,Thu,2,2,2022-09-15,30-226,KAN,,LAC,W 27-24,1,6,6,0,1,FB,5-168
97,Joe Flacco,6,2,Sun,2,2,2022-09-18,37-245,NYJ,@,CLE,W 31-30,2,6,3,0,1,QB,1-18
98,Mac Jones,6,7,Sun,2,2,2022-09-18,24-013,NWE,@,PIT,W 17-14,7,6,0.9,0,2,QB,1-15
99,CeeDee Lamb,6,1,Sun,2,2,2022-09-18,23-163,DAL,,CIN,W 20-17,1,6,6,0,1,WR,1-17
100,Isiah Pacheco,6,2,Thu,2,2,2022-09-15,22-197,KAN,,LAC,W 27-24,2,6,3,0,,RB,7-251
101,Jimmy Garoppolo,5,4,Sun,2,2,2022-09-18,30-320,SFO,,SEA,W 27-7,4,5,1.3,1,2,QB,2-62
102,Patrick Ricard,5,1,Sun,2,2,2022-09-18,28-114,BAL,,MIA,L 38-42,1,5,5,0,1,FB,
103,Courtland Sutton,5,1,Sun,2,2,2022-09-18,26-343,DEN,,HOU,W 16-9,1,5,5,0,0,WR,2-40
104,Ja'Marr Chase,4,1,Sun,2,2,2022-09-18,22-201,CIN,@,DAL,L 17-20,1,4,4,0,0,WR,1-5
105,Mike Davis,4,5,Sun,2,2,2022-09-18,29-211,BAL,,MIA,L 38-42,5,4,0.8,0,,RB,4-126
106,Mark Andrews,3,1,Sun,2,2,2022-09-18,27-012,BAL,,MIA,L 38-42,1,3,3,0,1,TE,3-86
107,Ashton Dulin,3,1,Sun,2,2,2022-09-18,25-126,IND,@,JAX,L 0-24,1,3,3,0,0,WR,
108,Caleb Huntley,3,1,Sun,2,2,2022-09-18,24-003,ATL,@,LAR,L 27-31,1,3,3,0,,RB,
109,KaVontae Turpin,3,1,Sun,2,2,2022-09-18,26-047,DAL,,CIN,W 20-17,1,3,3,0,,WR,
110,Russell Wilson,3,2,Sun,2,2,2022-09-18,33-293,DEN,,HOU,W 16-9,2,3,1.5,0,0,QB,3-75
111,Case Keenum,2,3,Mon,2,2,2022-09-19,34-214,BUF,,TEN,W 41-7,3,2,0.7,0,,QB,
112,Samaje Perine,2,1,Sun,2,2,2022-09-18,27-002,CIN,@,DAL,L 17-20,1,2,2,0,,RB,4-114
113,Cooper Rush,2,1,Sun,2,2,2022-09-18,28-301,DAL,,CIN,W 20-17,1,2,2,0,0,QB,
114,Geno Smith,2,2,Sun,2,2,2022-09-18,31-343,SEA,@,SFO,L 7-27,2,2,1,0,0,QB,2-39
115,Ryan Tannehill,2,1,Mon,2,2,2022-09-19,34-054,TEN,@,BUF,L 7-41,1,2,2,0,1,QB,1-8
116,Derek Watt,2,1,Sun,2,2,2022-09-18,29-315,PIT,,NWE,L 14-17,1,2,2,0,1,FB,6-198
117,Zamir White,2,1,Sun,2,2,2022-09-18,23-000,LVR,,ARI,L 23-29 (OT),1,2,2,0,,RB,4-122
118,Jameis Winston,2,1,Sun,2,2,2022-09-18,28-255,NOR,,TAM,L 10-20,1,2,2,0,0,QB,1-1
119,Jamal Agnew,1,2,Sun,2,2,2022-09-18,27-168,JAX,,IND,W 24-0,2,1,0.5,0,,WR,5-165
120,Justin Herbert,1,2,Thu,2,2,2022-09-15,24-189,LAC,@,KAN,L 24-27,2,1,0.5,0,1,QB,1-6
121,Alec Ingold,1,1,Sun,2,2,2022-09-18,26-071,MIA,@,BAL,W 42-38,1,1,1,0,1,FB,
122,Jerry Jeudy,1,1,Sun,2,2,2022-09-18,23-147,DEN,,HOU,W 16-9,1,1,1,0,1,WR,1-15
123,Kyle Juszczyk,1,2,Sun,2,2,2022-09-18,31-148,SFO,,SEA,W 27-7,2,1,0.5,1,1,FB,4-130
124,Davis Mills,1,2,Sun,2,2,2022-09-18,23-332,HOU,@,DEN,L 9-16,2,1,0.5,0,0,QB,3-67
125,Tua Tagovailoa,1,1,Sun,2,2,2022-09-18,24-200,MIA,@,BAL,W 42-38,1,1,1,0,1,QB,1-5
126,Rachaad White,1,2,Sun,2,2,2022-09-18,23-249,TAM,@,NOR,W 20-10,2,1,0.5,0,,RB,3-91
127,Nyheim Hines,0,1,Sun,2,2,2022-09-18,25-310,IND,@,JAX,L 0-24,1,0,0,0,0,RB,4-104
128,Andrew Beck,-1,1,Sun,2,2,2022-09-18,26-126,DEN,,HOU,W 16-9,1,-1,-1,0,,FB,
129,Patrick Mahomes,-1,2,Thu,2,2,2022-09-15,26-363,KAN,,LAC,W 27-24,2,-1,-0.5,0,0,QB,1-10
130,Tom Brady,-2,3,Sun,2,2,2022-09-18,45-046,TAM,@,NOR,W 20-10,3,-2,-0.7,0,0,QB,6-199
131,Jared Goff,-2,2,Sun,2,2,2022-09-18,27-339,DET,,WAS,W 36-27,2,-2,-1,0,0,QB,1-1
132,Garrett Wilson,-2,1,Sun,2,2,2022-09-18,22-058,NYJ,@,CLE,W 31-30,1,-2,-2,0,0,WR,1-10
133,Deon Jackson,-3,2,Sun,2,2,2022-09-18,23-212,IND,@,JAX,L 0-24,2,-3,-1.5,0,,RB,
134,Matt Breida,-4,1,Sun,2,2,2022-09-18,27-202,NYG,,CAR,W 19-16,1,-4,-4,0,,RB,
135,Demetric Felton,-4,1,Sun,2,2,2022-09-18,24-064,CLE,,NYJ,L 30-31,1,-4,-4,0,,RB,6-211
136,Mecole Hardman,-4,1,Thu,2,2,2022-09-15,24-187,KAN,,LAC,W 27-24,1,-4,-4,0,0,WR,2-56
137,Elijah Moore,-6,1,Sun,2,2,2022-09-18,22-175,NYJ,@,CLE,W 31-30,1,-6,-6,0,0,WR,2-34
138,Brandon Powell,-26,1,Sun,2,2,2022-09-18,27-006,LAR,,ATL,W 31-27,1,-26,-26,0,,WR,
